epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.34,5.93003,11.3771,6.72315,0.00407,0.04594,0.00447,0.00204,4.37355,7.86095,4.81381,0.00333153,0.00333153,0.00333153
2,844.528,3.78292,7.73697,3.93451,0.23989,0.07106,0.04553,0.02595,3.54129,5.97182,3.71669,0.00665167,0.00665167,0.00665167
3,1267.22,3.37297,6.08764,3.42899,0.25462,0.17538,0.12329,0.07405,3.25174,4.94399,3.35206,0.0099586,0.0099586,0.0099586
4,1691.6,3.17495,5.20955,3.17573,0.354,0.24792,0.21698,0.13775,2.98736,4.18573,3.08599,0.0099406,0.0099406,0.0099406
5,2114.68,3.02359,4.68197,3.01967,0.42422,0.29701,0.2807,0.18412,2.85352,3.79426,2.93559,0.0099208,0.0099208,0.0099208
6,2537.27,2.92658,4.40071,2.92442,0.44667,0.33222,0.32189,0.21576,2.75565,3.56968,2.83578,0.009901,0.009901,0.009901
7,2960.68,2.86728,4.1959,2.85089,0.477,0.34842,0.3533,0.23882,2.6929,3.41089,2.76365,0.0098812,0.0098812,0.0098812
8,3383.93,2.82478,4.05441,2.7957,0.50173,0.36413,0.37449,0.25603,2.64863,3.31129,2.71384,0.0098614,0.0098614,0.0098614
9,3808.26,2.78128,3.94732,2.7509,0.50889,0.37523,0.38841,0.26729,2.62005,3.24036,2.68226,0.0098416,0.0098416,0.0098416
10,4231.12,2.758,3.84985,2.71832,0.51883,0.38271,0.39865,0.27514,2.59915,3.19196,2.65933,0.0098218,0.0098218,0.0098218
11,4653.82,2.72588,3.79272,2.68317,0.51819,0.39017,0.40541,0.28018,2.58416,3.15599,2.64146,0.009802,0.009802,0.009802
12,5076.68,2.71122,3.72625,2.66358,0.52824,0.39031,0.41187,0.28523,2.57187,3.12397,2.62572,0.0097822,0.0097822,0.0097822
13,5499.22,2.69689,3.68331,2.64445,0.54015,0.39132,0.41683,0.28923,2.55912,3.1004,2.60949,0.0097624,0.0097624,0.0097624
14,5921.95,2.67307,3.62359,2.62373,0.53742,0.39581,0.42235,0.29384,2.54754,3.07652,2.59498,0.0097426,0.0097426,0.0097426
