epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.669,6.03355,11.4954,6.8404,0.00337,0.04231,0.00415,0.00167,4.44824,7.91558,4.90254,0.00333153,0.00333153,0.00333153
2,841.18,3.80657,7.78754,3.97321,0.22632,0.06582,0.04339,0.02454,3.5488,6.03026,3.75556,0.00665167,0.00665167,0.00665167
3,1261.54,3.37562,6.09346,3.44658,0.2756,0.17506,0.12762,0.07619,3.24082,4.94424,3.36105,0.0099586,0.0099586,0.0099586
4,1681.7,3.17242,5.21407,3.18752,0.33039,0.2467,0.21044,0.13395,2.9981,4.20388,3.10148,0.0099406,0.0099406,0.0099406
5,2101.97,3.02238,4.68599,3.03253,0.41247,0.2911,0.27928,0.18277,2.85038,3.80085,2.94334,0.0099208,0.0099208,0.0099208
6,2522.51,2.92678,4.40364,2.93682,0.4532,0.32674,0.32226,0.21457,2.75614,3.55958,2.84719,0.009901,0.009901,0.009901
7,2941.83,2.86642,4.20314,2.86075,0.46993,0.34978,0.34955,0.23762,2.69266,3.40783,2.77667,0.0098812,0.0098812,0.0098812
8,3361.47,2.82364,4.05935,2.8081,0.49895,0.36351,0.36944,0.2522,2.64548,3.31135,2.72637,0.0098614,0.0098614,0.0098614
9,3781.39,2.78089,3.95267,2.76281,0.50151,0.36643,0.38274,0.26275,2.61592,3.24235,2.69269,0.0098416,0.0098416,0.0098416
10,4201.37,2.75777,3.85914,2.73139,0.49928,0.37959,0.39033,0.26979,2.59746,3.19458,2.66941,0.0098218,0.0098218,0.0098218
11,4620.68,2.72525,3.79745,2.6954,0.51359,0.38425,0.39859,0.27594,2.58014,3.15984,2.65027,0.009802,0.009802,0.009802
12,5039.77,2.70971,3.72989,2.67196,0.51148,0.39166,0.40497,0.28178,2.56659,3.12895,2.63316,0.0097822,0.0097822,0.0097822
13,5460.79,2.69628,3.68428,2.65379,0.52038,0.39195,0.41058,0.28657,2.55487,3.1002,2.61873,0.0097624,0.0097624,0.0097624
14,5881.41,2.67343,3.62999,2.63342,0.52248,0.39642,0.41627,0.29111,2.54375,3.07827,2.60478,0.0097426,0.0097426,0.0097426
15,6301.65,2.66785,3.60383,2.61802,0.53201,0.40059,0.42144,0.29555,2.53377,3.05414,2.59213,0.0097228,0.0097228,0.0097228
16,6721.27,2.65314,3.56273,2.60036,0.54462,0.39985,0.42676,0.29958,2.52393,3.03462,2.57908,0.009703,0.009703,0.009703
17,7141.04,2.64917,3.52902,2.58596,0.54921,0.40392,0.43225,0.3038,2.51501,3.01412,2.56581,0.0096832,0.0096832,0.0096832
18,7561.4,2.62325,3.50931,2.57178,0.55521,0.40705,0.4369,0.30818,2.50331,2.99543,2.5512,0.0096634,0.0096634,0.0096634
19,7980.88,2.6271,3.48577,2.56362,0.56201,0.41115,0.44217,0.31224,2.49311,2.97293,2.53828,0.0096436,0.0096436,0.0096436
20,8400.32,2.60713,3.46226,2.55045,0.57241,0.41358,0.44745,0.31648,2.48403,2.95042,2.52658,0.0096238,0.0096238,0.0096238
21,8819.35,2.60894,3.44265,2.5388,0.57647,0.41766,0.45272,0.32103,2.47384,2.92928,2.51265,0.009604,0.009604,0.009604
22,9239.45,2.59673,3.41603,2.5303,0.58258,0.42132,0.45767,0.32417,2.46228,2.90846,2.49778,0.0095842,0.0095842,0.0095842
23,9659.14,2.59498,3.39558,2.52398,0.58425,0.42283,0.46173,0.32785,2.45245,2.88685,2.48478,0.0095644,0.0095644,0.0095644
24,10078.3,2.58016,3.37339,2.51808,0.58264,0.42693,0.46658,0.33113,2.44279,2.8644,2.47286,0.0095446,0.0095446,0.0095446
25,10498.2,2.57998,3.36453,2.50936,0.5817,0.43258,0.47113,0.33453,2.4324,2.84457,2.46087,0.0095248,0.0095248,0.0095248
26,10918.3,2.57573,3.35336,2.50326,0.58685,0.433,0.47437,0.3374,2.42379,2.82319,2.44987,0.009505,0.009505,0.009505
27,11338.4,2.57025,3.34244,2.49722,0.58337,0.44081,0.47796,0.3404,2.41723,2.80141,2.44133,0.0094852,0.0094852,0.0094852
28,11758.4,2.56897,3.32208,2.49132,0.58907,0.44217,0.4821,0.34357,2.41091,2.78293,2.43251,0.0094654,0.0094654,0.0094654
29,12178.6,2.55757,3.30982,2.48395,0.58731,0.44787,0.48438,0.34567,2.40408,2.76415,2.42299,0.0094456,0.0094456,0.0094456
30,12598.2,2.549,3.30162,2.47678,0.58654,0.45204,0.4881,0.34886,2.39467,2.7464,2.41402,0.0094258,0.0094258,0.0094258
31,13018,2.56113,3.29157,2.47352,0.591,0.45294,0.49209,0.35221,2.38639,2.73206,2.40421,0.009406,0.009406,0.009406
32,13437.8,2.54361,3.27147,2.46682,0.59651,0.45564,0.49522,0.3547,2.38044,2.71417,2.39702,0.0093862,0.0093862,0.0093862
33,13857.7,2.54018,3.25497,2.4596,0.59817,0.4588,0.4983,0.35709,2.37569,2.70027,2.38972,0.0093664,0.0093664,0.0093664
34,14278,2.5392,3.25482,2.45877,0.60103,0.46015,0.501,0.35929,2.36982,2.68567,2.38323,0.0093466,0.0093466,0.0093466
35,14697.5,2.53622,3.2453,2.45368,0.59678,0.46436,0.50417,0.36176,2.36635,2.67258,2.37796,0.0093268,0.0093268,0.0093268
36,15117.7,2.5345,3.25063,2.45363,0.59418,0.47042,0.50709,0.36417,2.3599,2.66337,2.37126,0.009307,0.009307,0.009307
37,15537.2,2.5313,3.23297,2.44746,0.59801,0.46987,0.50996,0.36598,2.35646,2.65349,2.36644,0.0092872,0.0092872,0.0092872
38,15957,2.52347,3.21306,2.4428,0.59532,0.47631,0.51123,0.36733,2.35417,2.64027,2.36219,0.0092674,0.0092674,0.0092674
39,16377.2,2.52591,3.2109,2.43996,0.5956,0.47695,0.51349,0.36908,2.35119,2.62959,2.35725,0.0092476,0.0092476,0.0092476
40,16797.3,2.51987,3.20295,2.43581,0.59898,0.47841,0.5156,0.37066,2.34827,2.618,2.35267,0.0092278,0.0092278,0.0092278
41,17217.3,2.52698,3.19864,2.43692,0.60086,0.47917,0.51668,0.37149,2.34542,2.61068,2.34831,0.009208,0.009208,0.009208
42,17637.3,2.52366,3.19626,2.43362,0.59915,0.48204,0.51879,0.37306,2.34346,2.60199,2.34484,0.0091882,0.0091882,0.0091882
43,18056.7,2.5162,3.18429,2.43024,0.59455,0.48527,0.52018,0.37424,2.34048,2.59479,2.34119,0.0091684,0.0091684,0.0091684
44,18476.7,2.50813,3.17751,2.42403,0.6008,0.48588,0.52144,0.37531,2.33673,2.58756,2.33694,0.0091486,0.0091486,0.0091486
45,18896.1,2.50363,3.16692,2.42187,0.60918,0.48305,0.52317,0.37678,2.33373,2.57948,2.33321,0.0091288,0.0091288,0.0091288
46,19315.9,2.50895,3.16794,2.42091,0.6132,0.48398,0.52524,0.37813,2.33046,2.57314,2.32993,0.009109,0.009109,0.009109
47,19735.2,2.51154,3.16525,2.42075,0.61871,0.48233,0.52617,0.37917,2.32719,2.56744,2.32721,0.0090892,0.0090892,0.0090892
48,20154.3,2.5053,3.15616,2.41937,0.62277,0.48411,0.52829,0.38094,2.32513,2.56153,2.32496,0.0090694,0.0090694,0.0090694
49,20574.6,2.49581,3.13987,2.41227,0.62346,0.48542,0.52989,0.38214,2.32446,2.55605,2.32286,0.0090496,0.0090496,0.0090496
50,20994.8,2.50544,3.14979,2.41278,0.63388,0.48353,0.53221,0.38363,2.32262,2.54914,2.32064,0.0090298,0.0090298,0.0090298
51,21414.8,2.49959,3.13354,2.41049,0.628,0.48794,0.53328,0.38461,2.32037,2.54391,2.31765,0.00901,0.00901,0.00901
52,21834.6,2.49445,3.13372,2.40712,0.62786,0.48922,0.53396,0.38508,2.31884,2.53902,2.3148,0.0089902,0.0089902,0.0089902
53,22254.7,2.4871,3.10967,2.40313,0.61897,0.49218,0.53563,0.38649,2.31623,2.53682,2.31177,0.0089704,0.0089704,0.0089704
54,22676.4,2.5007,3.1108,2.40511,0.61961,0.493,0.53713,0.38742,2.31587,2.52907,2.31036,0.0089506,0.0089506,0.0089506
55,23096.2,2.48373,3.11435,2.40031,0.61984,0.4976,0.53748,0.38766,2.31336,2.5243,2.30749,0.0089308,0.0089308,0.0089308
56,23516.8,2.48767,3.10992,2.40127,0.62534,0.49621,0.53865,0.38881,2.31169,2.51831,2.30526,0.008911,0.008911,0.008911
57,23936.4,2.4865,3.1082,2.39647,0.62211,0.49769,0.5393,0.38989,2.31038,2.51608,2.30383,0.0088912,0.0088912,0.0088912
58,24356.1,2.4883,3.09606,2.39731,0.62496,0.49607,0.53999,0.39006,2.31075,2.51036,2.30286,0.0088714,0.0088714,0.0088714
59,24776.5,2.48177,3.09512,2.3954,0.62336,0.4982,0.54032,0.3906,2.3089,2.50697,2.30051,0.0088516,0.0088516,0.0088516
60,25196.8,2.49098,3.094,2.39511,0.62465,0.5017,0.54132,0.39161,2.30671,2.50512,2.29817,0.0088318,0.0088318,0.0088318
61,25616.7,2.48279,3.08606,2.39125,0.62338,0.50177,0.54272,0.39277,2.30577,2.49845,2.29745,0.008812,0.008812,0.008812
62,26037,2.47703,3.08202,2.38964,0.62919,0.49599,0.54333,0.39344,2.30374,2.49371,2.2958,0.0087922,0.0087922,0.0087922
63,26457,2.47644,3.06985,2.38853,0.63324,0.49668,0.54399,0.39443,2.30221,2.49132,2.29438,0.0087724,0.0087724,0.0087724
64,26878.3,2.47877,3.08204,2.38801,0.63588,0.49696,0.54512,0.39513,2.30112,2.48719,2.29245,0.0087526,0.0087526,0.0087526
65,27298.8,2.47806,3.0677,2.38822,0.62639,0.50356,0.5457,0.39542,2.29939,2.48343,2.29118,0.0087328,0.0087328,0.0087328
66,27718.9,2.47206,3.06922,2.38347,0.63281,0.49957,0.54583,0.39583,2.29694,2.48113,2.28876,0.008713,0.008713,0.008713
67,28139.6,2.47012,3.06756,2.38042,0.6341,0.49973,0.54708,0.39667,2.29374,2.47786,2.28618,0.0086932,0.0086932,0.0086932
68,28560.2,2.46321,3.06821,2.38182,0.63873,0.4975,0.54747,0.39707,2.29172,2.47716,2.28392,0.0086734,0.0086734,0.0086734
69,28980.2,2.46877,3.05932,2.38126,0.63489,0.50039,0.54806,0.39755,2.29191,2.47257,2.28254,0.0086536,0.0086536,0.0086536
70,29401,2.47266,3.05708,2.37903,0.64008,0.4975,0.54868,0.39788,2.29073,2.46988,2.28124,0.0086338,0.0086338,0.0086338
71,29821.7,2.4644,3.04911,2.37464,0.64179,0.4989,0.54974,0.3989,2.28832,2.46646,2.27942,0.008614,0.008614,0.008614
72,30241.8,2.46972,3.04768,2.37771,0.6459,0.49939,0.55015,0.39911,2.2874,2.46229,2.27894,0.0085942,0.0085942,0.0085942
73,30662.2,2.46727,3.04395,2.3751,0.65012,0.50017,0.55194,0.40029,2.28498,2.4601,2.27731,0.0085744,0.0085744,0.0085744
74,31082.2,2.46459,3.03801,2.37516,0.64457,0.50208,0.55299,0.40136,2.28455,2.45709,2.27635,0.0085546,0.0085546,0.0085546
75,31501.5,2.46084,3.02954,2.3713,0.64353,0.50443,0.55346,0.4014,2.28527,2.4566,2.27622,0.0085348,0.0085348,0.0085348
76,31920.8,2.46015,3.03618,2.37198,0.64792,0.50237,0.55443,0.40209,2.28539,2.45238,2.27621,0.008515,0.008515,0.008515
77,32341.2,2.46514,3.02966,2.37338,0.64171,0.50479,0.55518,0.40222,2.28414,2.45268,2.27534,0.0084952,0.0084952,0.0084952
78,32761.3,2.46131,3.02313,2.37019,0.64444,0.50542,0.55588,0.40318,2.28356,2.44645,2.27418,0.0084754,0.0084754,0.0084754
79,33182,2.45467,3.02463,2.3671,0.64295,0.50856,0.55751,0.40424,2.28178,2.44455,2.27215,0.0084556,0.0084556,0.0084556
80,33603.2,2.44919,3.01681,2.36649,0.63906,0.51002,0.5575,0.4045,2.27966,2.4421,2.27045,0.0084358,0.0084358,0.0084358
81,34023.8,2.45906,3.01698,2.36803,0.63984,0.50952,0.55777,0.40508,2.27863,2.4411,2.26869,0.008416,0.008416,0.008416
82,34443.7,2.45211,3.01816,2.36605,0.63837,0.5135,0.55924,0.40629,2.27853,2.43316,2.26794,0.0083962,0.0083962,0.0083962
83,34864.6,2.46158,3.02201,2.36831,0.6523,0.50722,0.56093,0.40733,2.27809,2.43186,2.26711,0.0083764,0.0083764,0.0083764
84,35286.6,2.4531,3.018,2.36524,0.65123,0.51007,0.56071,0.40697,2.27565,2.42966,2.26491,0.0083566,0.0083566,0.0083566
85,35707.3,2.45566,3.00824,2.36293,0.64415,0.51354,0.56121,0.40761,2.27606,2.42569,2.26484,0.0083368,0.0083368,0.0083368
86,36128.6,2.44567,3.00327,2.35696,0.65052,0.51084,0.56243,0.40841,2.27411,2.42339,2.26322,0.008317,0.008317,0.008317
87,36548.8,2.45145,3.00546,2.36094,0.64251,0.51562,0.56297,0.40892,2.27348,2.42111,2.26294,0.0082972,0.0082972,0.0082972
88,36970.4,2.45189,3.00865,2.36142,0.63702,0.51949,0.5633,0.40943,2.27248,2.41865,2.26164,0.0082774,0.0082774,0.0082774
89,37390.7,2.44282,2.99116,2.35837,0.63751,0.51763,0.56295,0.40964,2.27066,2.41709,2.25935,0.0082576,0.0082576,0.0082576
90,37811.9,2.44396,2.99417,2.35798,0.64232,0.51436,0.56321,0.40966,2.27095,2.41371,2.25855,0.0082378,0.0082378,0.0082378
91,38231.7,2.44964,2.99706,2.36032,0.64113,0.51543,0.56358,0.41004,2.27037,2.4114,2.25747,0.008218,0.008218,0.008218
92,38652.4,2.44277,2.99249,2.3551,0.64179,0.51644,0.56469,0.41086,2.26971,2.4082,2.25685,0.0081982,0.0081982,0.0081982
93,39072.3,2.4479,2.99028,2.35625,0.64857,0.51403,0.56545,0.41132,2.26771,2.4091,2.25437,0.0081784,0.0081784,0.0081784
94,39491.5,2.44548,2.98668,2.35534,0.64344,0.51677,0.56559,0.41117,2.26719,2.407,2.2541,0.0081586,0.0081586,0.0081586
95,39912.9,2.44846,2.98986,2.35714,0.64011,0.51885,0.56555,0.41185,2.26633,2.40242,2.25366,0.0081388,0.0081388,0.0081388
96,40334.3,2.43985,2.97815,2.3525,0.64023,0.51949,0.56618,0.4126,2.26519,2.40082,2.25248,0.008119,0.008119,0.008119
97,40755.5,2.44939,2.97702,2.35508,0.64007,0.51993,0.56622,0.41285,2.26502,2.40068,2.25178,0.0080992,0.0080992,0.0080992
98,41176.1,2.43868,2.96875,2.3508,0.64484,0.51951,0.56707,0.41339,2.26438,2.39989,2.25034,0.0080794,0.0080794,0.0080794
99,41597.2,2.43739,2.97005,2.35129,0.64631,0.5203,0.56761,0.41382,2.26345,2.3969,2.24946,0.0080596,0.0080596,0.0080596
100,42017.8,2.43926,2.96681,2.34839,0.64957,0.51674,0.56769,0.41375,2.26336,2.39367,2.24961,0.0080398,0.0080398,0.0080398
101,42438,2.43194,2.96692,2.34904,0.64521,0.52077,0.56811,0.41428,2.26152,2.39295,2.24789,0.00802,0.00802,0.00802
102,42859.8,2.43005,2.96612,2.34979,0.6409,0.52601,0.56819,0.41402,2.26049,2.3924,2.24664,0.0080002,0.0080002,0.0080002
