epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.556,2.83579,4.60245,3.28897,0.32641,0.05405,0.03267,0.01625,2.06735,3.20444,2.43489,0.00333153,0.00333153,0.00333153
2,1091.79,1.76094,3.10275,1.97792,0.24819,0.16581,0.12421,0.0733,1.63571,2.49782,1.84808,0.00665167,0.00665167,0.00665167
3,1637.99,1.51568,2.53382,1.6975,0.34714,0.24821,0.22172,0.14062,1.43431,2.04029,1.63595,0.0099586,0.0099586,0.0099586
4,2183.24,1.38699,2.16418,1.55922,0.45634,0.32427,0.32123,0.2113,1.29987,1.69988,1.49564,0.0099406,0.0099406,0.0099406
5,2728.45,1.29894,1.92258,1.47736,0.502,0.36353,0.37857,0.25631,1.22267,1.52835,1.42189,0.0099208,0.0099208,0.0099208
6,3273.4,1.24776,1.79598,1.4307,0.51637,0.40107,0.41647,0.2862,1.17511,1.42876,1.37804,0.009901,0.009901,0.009901
7,3818.75,1.21569,1.7059,1.39504,0.54311,0.41938,0.44218,0.30767,1.14081,1.3611,1.3418,0.0098812,0.0098812,0.0098812
8,4363.96,1.19346,1.64092,1.37053,0.5566,0.43549,0.46125,0.32221,1.12116,1.31816,1.32208,0.0098614,0.0098614,0.0098614
9,4909.23,1.171,1.5928,1.34995,0.57585,0.44393,0.47437,0.33285,1.10625,1.2888,1.30721,0.0098416,0.0098416,0.0098416
10,5454.13,1.15909,1.54965,1.33523,0.59046,0.44768,0.48305,0.34001,1.09635,1.26818,1.29792,0.0098218,0.0098218,0.0098218
11,5999.22,1.14281,1.52454,1.32023,0.59695,0.45104,0.49022,0.3461,1.08824,1.25304,1.2896,0.009802,0.009802,0.009802
12,6544.2,1.13456,1.49324,1.31061,0.58586,0.46147,0.49448,0.3498,1.08216,1.24083,1.28321,0.0097822,0.0097822,0.0097822
13,7089.6,1.12786,1.47407,1.30247,0.59509,0.46438,0.49978,0.3543,1.07698,1.22929,1.27687,0.0097624,0.0097624,0.0097624
14,7634.74,1.11772,1.4526,1.29254,0.60058,0.46711,0.50458,0.3593,1.07112,1.21757,1.27052,0.0097426,0.0097426,0.0097426
15,8179.85,1.11505,1.43963,1.28657,0.60956,0.47162,0.51006,0.36345,1.06713,1.20608,1.26518,0.0097228,0.0097228,0.0097228
16,8725.21,1.10854,1.42235,1.27935,0.61876,0.47447,0.5148,0.3675,1.06264,1.19579,1.25945,0.009703,0.009703,0.009703
17,9270.39,1.10452,1.40737,1.27216,0.62054,0.47794,0.51981,0.37158,1.0578,1.18605,1.25353,0.0096832,0.0096832,0.0096832
18,9815.32,1.09479,1.3976,1.26733,0.6102,0.48553,0.52388,0.37516,1.05405,1.17633,1.24841,0.0096634,0.0096634,0.0096634
19,10360.4,1.09572,1.38607,1.26416,0.61084,0.4893,0.52735,0.37867,1.05015,1.16736,1.2433,0.0096436,0.0096436,0.0096436
20,10905.4,1.08847,1.37867,1.25888,0.61179,0.49152,0.53155,0.38229,1.04657,1.15778,1.23871,0.0096238,0.0096238,0.0096238
21,11450.4,1.08782,1.37056,1.25419,0.60772,0.50041,0.53554,0.38563,1.043,1.14765,1.23391,0.009604,0.009604,0.009604
22,11995.2,1.08376,1.35966,1.25247,0.61455,0.50044,0.53902,0.38935,1.03956,1.13885,1.22938,0.0095842,0.0095842,0.0095842
23,12540.3,1.0807,1.35028,1.24714,0.62871,0.49966,0.54326,0.3929,1.03561,1.1296,1.22457,0.0095644,0.0095644,0.0095644
24,13085.2,1.07666,1.34202,1.24627,0.62879,0.50474,0.54731,0.39578,1.03152,1.12095,1.21986,0.0095446,0.0095446,0.0095446
25,13630,1.07467,1.33919,1.24109,0.63644,0.5052,0.55025,0.39861,1.02773,1.11346,1.21561,0.0095248,0.0095248,0.0095248
