epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.754,5.97248,11.4549,6.8268,0.00437,0.04066,0.0053,0.00231,4.41868,9.57256,4.8875,0.00333153,0.00333153,0.00333153
2,1010.89,3.84153,7.82817,4.02564,0.22668,0.06888,0.04609,0.02544,3.54881,6.70087,3.70955,0.00659888,0.00659888,0.00659888
3,1549.07,3.44373,6.16783,3.52899,0.22582,0.1757,0.11876,0.07044,3.26797,5.40559,3.35597,0.00980023,0.00980023,0.00980023
4,2088.71,3.26194,5.30856,3.29179,0.33669,0.24495,0.21412,0.13469,3.02275,4.46428,3.11496,0.009703,0.009703,0.009703
5,2626.28,3.10681,4.76902,3.12882,0.40073,0.29222,0.27326,0.17687,2.87283,4.02233,2.96227,0.009604,0.009604,0.009604
6,3163.08,3.0142,4.47723,3.03758,0.4506,0.32177,0.31659,0.20964,2.78266,3.75558,2.86542,0.009505,0.009505,0.009505
7,3698.32,2.95832,4.29071,2.97187,0.46562,0.34504,0.34678,0.23252,2.71631,3.58919,2.7948,0.009406,0.009406,0.009406
8,4233.79,2.91241,4.14284,2.91729,0.49263,0.35698,0.36601,0.2471,2.66989,3.48129,2.74604,0.009307,0.009307,0.009307
9,4767.02,2.87045,4.01882,2.86918,0.50889,0.36677,0.38036,0.25842,2.64227,3.40153,2.71513,0.009208,0.009208,0.009208
10,5299.18,2.84035,3.92986,2.83651,0.53387,0.36316,0.39061,0.26667,2.62029,3.3493,2.69175,0.009109,0.009109,0.009109
11,5833.18,2.81867,3.86704,2.8067,0.5349,0.37201,0.39845,0.27261,2.60355,3.31009,2.6732,0.00901,0.00901,0.00901
12,6367.34,2.80285,3.79984,2.78236,0.54056,0.37799,0.40422,0.27717,2.58896,3.27952,2.65621,0.008911,0.008911,0.008911
13,6899.13,2.77803,3.74406,2.75777,0.54809,0.37828,0.41027,0.28228,2.57416,3.24758,2.63987,0.008812,0.008812,0.008812
