epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,731.469,2.90888,4.78816,3.32107,0.29231,0.04478,0.02137,0.0105,2.05438,3.78631,2.24144,0.00333243,0.00333243,0.00333243
2,1524.3,1.79599,3.22175,1.92634,0.26321,0.1488,0.1015,0.06047,1.64225,2.76837,1.77233,0.00659977,0.00659977,0.00659977
3,2307.26,1.61849,2.74669,1.73169,0.30029,0.20966,0.16383,0.10211,1.49411,2.33801,1.61444,0.00980112,0.00980112,0.00980112
4,3088.04,1.52424,2.47232,1.63556,0.35571,0.25407,0.22541,0.14705,1.38811,2.0467,1.51461,0.009703,0.009703,0.009703
5,3867.44,1.44585,2.25847,1.56069,0.41539,0.28218,0.26912,0.17918,1.32845,1.88603,1.45498,0.009604,0.009604,0.009604
6,4644.59,1.39995,2.13738,1.51849,0.43318,0.30922,0.29895,0.20201,1.29086,1.78784,1.42034,0.009505,0.009505,0.009505
7,5420.56,1.37099,2.05599,1.48982,0.44658,0.32492,0.31935,0.2171,1.26675,1.72414,1.39696,0.009406,0.009406,0.009406
8,6195.86,1.34842,1.99183,1.46667,0.46602,0.32966,0.33181,0.22605,1.25094,1.68446,1.38163,0.009307,0.009307,0.009307
9,6970.74,1.33401,1.9452,1.45074,0.46834,0.3371,0.34108,0.23353,1.23889,1.65706,1.36965,0.009208,0.009208,0.009208
10,7745.68,1.31688,1.90519,1.43441,0.48625,0.34137,0.34798,0.23869,1.2307,1.63508,1.36154,0.009109,0.009109,0.009109
11,8519.86,1.307,1.86826,1.42392,0.48713,0.34617,0.35394,0.24309,1.22355,1.61602,1.35417,0.00901,0.00901,0.00901
12,9293.44,1.29737,1.83927,1.41251,0.49013,0.35327,0.36008,0.24755,1.21588,1.5993,1.34711,0.008911,0.008911,0.008911
13,10066.9,1.28709,1.81447,1.40377,0.49743,0.35697,0.36656,0.25265,1.20921,1.58469,1.34041,0.008812,0.008812,0.008812
14,10840,1.28152,1.79339,1.39648,0.50506,0.36101,0.3723,0.25694,1.20261,1.57036,1.3337,0.008713,0.008713,0.008713
15,11612.2,1.27417,1.77668,1.38886,0.50998,0.36511,0.37755,0.26141,1.19633,1.55748,1.32759,0.008614,0.008614,0.008614
16,12384.3,1.26721,1.75613,1.38357,0.51053,0.36943,0.38318,0.26561,1.19063,1.54486,1.32158,0.008515,0.008515,0.008515
17,13155.6,1.26376,1.73848,1.37758,0.51677,0.37355,0.38879,0.27011,1.18432,1.53137,1.31553,0.008416,0.008416,0.008416
18,13927,1.25846,1.72241,1.37263,0.52247,0.37799,0.3955,0.27502,1.17908,1.51857,1.31041,0.008317,0.008317,0.008317
19,14697.6,1.25364,1.71077,1.36721,0.53152,0.38046,0.40077,0.27911,1.17321,1.50579,1.30482,0.008218,0.008218,0.008218
20,15467.2,1.2498,1.69975,1.36459,0.54039,0.38359,0.4072,0.2839,1.16769,1.49253,1.29948,0.008119,0.008119,0.008119
21,16235.5,1.24631,1.68678,1.3601,0.53888,0.39166,0.41337,0.28878,1.16272,1.47905,1.29433,0.00802,0.00802,0.00802
22,17004.8,1.24248,1.67587,1.35544,0.55048,0.39287,0.41928,0.2934,1.15793,1.46613,1.28925,0.007921,0.007921,0.007921
23,17772.9,1.23899,1.66635,1.35333,0.56229,0.39378,0.42432,0.29741,1.15239,1.45265,1.28409,0.007822,0.007822,0.007822
24,18540.8,1.23535,1.65597,1.34951,0.55076,0.40557,0.43004,0.30166,1.1472,1.43936,1.27914,0.007723,0.007723,0.007723
25,19308.1,1.23232,1.64924,1.34709,0.55778,0.41097,0.43522,0.30565,1.14261,1.42533,1.27467,0.007624,0.007624,0.007624
26,20075.3,1.22959,1.63789,1.34418,0.56729,0.41244,0.4404,0.30946,1.13871,1.41203,1.27057,0.007525,0.007525,0.007525
27,20842,1.22508,1.63213,1.34068,0.56738,0.41868,0.44476,0.31276,1.13581,1.39926,1.26681,0.007426,0.007426,0.007426
28,21608.5,1.2229,1.62074,1.33779,0.56527,0.4233,0.44833,0.31576,1.13275,1.38703,1.26319,0.007327,0.007327,0.007327
29,22374.9,1.22217,1.61208,1.33623,0.57055,0.4245,0.45213,0.31891,1.12979,1.37604,1.25962,0.007228,0.007228,0.007228
30,23141.5,1.21699,1.60797,1.3337,0.58167,0.42263,0.45614,0.32197,1.12731,1.3647,1.25634,0.007129,0.007129,0.007129
31,23908,1.2155,1.60101,1.33112,0.58248,0.42533,0.4597,0.32509,1.12396,1.35392,1.25261,0.00703,0.00703,0.00703
32,24674.1,1.21311,1.59108,1.3271,0.58011,0.42928,0.46228,0.32734,1.12153,1.34421,1.24954,0.006931,0.006931,0.006931
33,25440.1,1.21044,1.58477,1.32548,0.57726,0.43347,0.4654,0.32967,1.1186,1.33491,1.24616,0.006832,0.006832,0.006832
34,26206.6,1.20917,1.5769,1.32512,0.5782,0.43457,0.46784,0.33151,1.11606,1.32678,1.24313,0.006733,0.006733,0.006733
35,26972.3,1.20621,1.56708,1.32193,0.57929,0.43683,0.4704,0.33375,1.11328,1.3186,1.2402,0.006634,0.006634,0.006634
36,27738.7,1.20443,1.56771,1.31961,0.58166,0.43776,0.47334,0.33636,1.11118,1.31134,1.23753,0.006535,0.006535,0.006535
37,28504.9,1.20158,1.55846,1.31763,0.57782,0.44421,0.47621,0.3383,1.10915,1.30312,1.23473,0.006436,0.006436,0.006436
38,29271.3,1.1986,1.55166,1.31527,0.58162,0.44476,0.47891,0.34037,1.10681,1.29627,1.23176,0.006337,0.006337,0.006337
39,30038.2,1.19601,1.54413,1.31204,0.58584,0.44481,0.48148,0.34259,1.10429,1.28948,1.22956,0.006238,0.006238,0.006238
40,30804.5,1.19523,1.53982,1.3111,0.59006,0.44639,0.48349,0.34461,1.10193,1.28369,1.22715,0.006139,0.006139,0.006139
41,31570.4,1.19325,1.53246,1.30967,0.59497,0.44701,0.48608,0.34636,1.09955,1.27698,1.22463,0.00604,0.00604,0.00604
42,32336.1,1.19031,1.52662,1.30801,0.58941,0.45374,0.48936,0.34869,1.09831,1.27096,1.22283,0.005941,0.005941,0.005941
43,33101.5,1.18804,1.52175,1.3068,0.59145,0.45751,0.4919,0.35078,1.09733,1.2657,1.22115,0.005842,0.005842,0.005842
44,33867.4,1.1867,1.51575,1.30495,0.58778,0.4626,0.49419,0.35284,1.09569,1.26028,1.21936,0.005743,0.005743,0.005743
45,34633.2,1.18498,1.51311,1.30192,0.58584,0.46544,0.49629,0.35421,1.09444,1.25508,1.21779,0.005644,0.005644,0.005644
46,35399.2,1.1819,1.50357,1.30047,0.58825,0.46761,0.49824,0.35568,1.09343,1.24887,1.21636,0.005545,0.005545,0.005545
47,36164.7,1.1798,1.49576,1.29747,0.5933,0.46844,0.5004,0.35713,1.09219,1.24398,1.21498,0.005446,0.005446,0.005446
48,36930.3,1.17908,1.49337,1.298,0.59187,0.4704,0.5018,0.35824,1.09187,1.23984,1.21429,0.005347,0.005347,0.005347
49,37695.2,1.17575,1.48852,1.29521,0.59768,0.46847,0.50334,0.3593,1.08953,1.23449,1.2124,0.005248,0.005248,0.005248
50,38460.6,1.17307,1.48015,1.29391,0.59867,0.46948,0.50525,0.36075,1.08761,1.23011,1.21099,0.005149,0.005149,0.005149
51,39225.8,1.17278,1.4772,1.29231,0.60196,0.47052,0.50668,0.36179,1.08675,1.22565,1.20955,0.00505,0.00505,0.00505
52,39991.1,1.1687,1.46898,1.28885,0.59805,0.47271,0.50837,0.36347,1.08558,1.22087,1.20797,0.004951,0.004951,0.004951
53,40756.2,1.16811,1.46503,1.28912,0.59908,0.47521,0.50996,0.36437,1.08447,1.21648,1.20663,0.004852,0.004852,0.004852
54,41521.3,1.16507,1.45691,1.28643,0.6002,0.47686,0.5118,0.36577,1.08272,1.21178,1.20482,0.004753,0.004753,0.004753
55,42286.3,1.16336,1.45586,1.28553,0.59791,0.48066,0.5134,0.36682,1.0807,1.20748,1.20317,0.004654,0.004654,0.004654
56,43051.3,1.15916,1.44806,1.28314,0.59666,0.48416,0.51524,0.36815,1.08,1.2043,1.2023,0.004555,0.004555,0.004555
57,43816,1.15882,1.44132,1.28188,0.59514,0.48824,0.51702,0.36948,1.07908,1.20109,1.20112,0.004456,0.004456,0.004456
58,44580.9,1.15618,1.43708,1.28048,0.59364,0.49115,0.51817,0.37014,1.07817,1.1979,1.20004,0.004357,0.004357,0.004357
59,45346,1.15543,1.43247,1.27963,0.60262,0.48552,0.51833,0.37073,1.07726,1.19476,1.19924,0.004258,0.004258,0.004258
60,46110.9,1.15298,1.42629,1.27649,0.60398,0.48813,0.51949,0.37178,1.07595,1.19112,1.19815,0.004159,0.004159,0.004159
61,46875.3,1.15077,1.42403,1.27442,0.6166,0.48137,0.52043,0.37252,1.07491,1.1877,1.19663,0.00406,0.00406,0.00406
62,47640.4,1.14668,1.41515,1.27285,0.61644,0.48434,0.5223,0.37338,1.07395,1.18411,1.19545,0.003961,0.003961,0.003961
63,48404.7,1.1464,1.41019,1.27131,0.61873,0.48353,0.52363,0.3747,1.07364,1.18055,1.19481,0.003862,0.003862,0.003862
64,49168.8,1.14254,1.40115,1.26825,0.61721,0.48591,0.52514,0.37586,1.0723,1.17768,1.19352,0.003763,0.003763,0.003763
65,49932.7,1.14187,1.39718,1.26772,0.61837,0.48866,0.52677,0.37735,1.07201,1.17534,1.19301,0.003664,0.003664,0.003664
