epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.576,2.6594,4.43689,3.06772,0.29819,0.0628,0.04053,0.02035,2.00209,3.50323,2.25998,0.00333243,0.00333243,0.00333243
2,1546.31,1.7813,3.10072,1.97717,0.25716,0.1782,0.13544,0.07886,1.64555,2.64358,1.82377,0.00664377,0.00664377,0.00664377
3,2341.27,1.61628,2.64867,1.78028,0.33807,0.24111,0.20703,0.12584,1.49397,2.22185,1.66347,0.0099331,0.0099331,0.0099331
4,3137.28,1.52181,2.36044,1.66644,0.4239,0.29222,0.28324,0.18145,1.38529,1.92642,1.54379,0.009901,0.009901,0.009901
5,3930.7,1.44267,2.14266,1.58357,0.47993,0.32909,0.3279,0.21469,1.3211,1.77604,1.4733,0.009868,0.009868,0.009868
6,4723.44,1.39496,2.02044,1.53098,0.49398,0.35084,0.35517,0.2362,1.28477,1.68484,1.43544,0.009835,0.009835,0.009835
7,5515.2,1.36508,1.93843,1.49615,0.51353,0.36159,0.37393,0.24992,1.26226,1.62723,1.40936,0.009802,0.009802,0.009802
8,6306.81,1.34167,1.87378,1.47067,0.51099,0.37318,0.38558,0.25912,1.24707,1.59115,1.39236,0.009769,0.009769,0.009769
9,7097.37,1.32603,1.83008,1.45137,0.5152,0.37951,0.39453,0.26604,1.23569,1.56493,1.37951,0.009736,0.009736,0.009736
10,7888.22,1.31042,1.78751,1.43219,0.52202,0.38547,0.40175,0.2716,1.22777,1.54482,1.36971,0.009703,0.009703,0.009703
11,8678.27,1.29819,1.75568,1.419,0.53176,0.39124,0.40851,0.27682,1.21977,1.52721,1.36035,0.00967,0.00967,0.00967
12,9468.33,1.28794,1.72821,1.40622,0.53751,0.39432,0.41522,0.28214,1.21256,1.51097,1.35149,0.009637,0.009637,0.009637
13,10257.9,1.2777,1.70409,1.39485,0.5412,0.39735,0.42011,0.2867,1.2063,1.49549,1.34333,0.009604,0.009604,0.009604
14,11045.8,1.27217,1.6852,1.3866,0.55479,0.39731,0.42597,0.29149,1.20075,1.48011,1.33619,0.009571,0.009571,0.009571
15,11833.4,1.26449,1.6687,1.3769,0.56431,0.40135,0.43186,0.29618,1.19509,1.46529,1.32889,0.009538,0.009538,0.009538
16,12620.6,1.25898,1.65216,1.37032,0.56261,0.40825,0.43764,0.30103,1.18898,1.45043,1.32065,0.009505,0.009505,0.009505
17,13406.4,1.25376,1.63545,1.36246,0.57032,0.40882,0.44308,0.30548,1.18314,1.4356,1.31284,0.009472,0.009472,0.009472
18,14192.3,1.24838,1.62186,1.35592,0.57126,0.41574,0.44791,0.30895,1.17674,1.42183,1.30533,0.009439,0.009439,0.009439
19,14977.4,1.24331,1.61114,1.34971,0.57586,0.42112,0.45266,0.31341,1.17155,1.40715,1.29796,0.009406,0.009406,0.009406
20,15762.7,1.24046,1.60274,1.34555,0.58666,0.42137,0.45785,0.31799,1.16637,1.39256,1.29067,0.009373,0.009373,0.009373
21,16546.9,1.23594,1.59002,1.33836,0.58868,0.42443,0.46261,0.32151,1.1607,1.37863,1.28355,0.00934,0.00934,0.00934
22,17331,1.23267,1.58061,1.33332,0.59486,0.42772,0.46691,0.32509,1.15595,1.36632,1.27719,0.009307,0.009307,0.009307
23,18115.2,1.22925,1.57276,1.33106,0.5974,0.4318,0.47206,0.32891,1.15088,1.35438,1.27105,0.009274,0.009274,0.009274
24,18899.5,1.22601,1.56515,1.32647,0.5948,0.43695,0.47601,0.33207,1.14654,1.34208,1.26509,0.009241,0.009241,0.009241
25,19683.3,1.22414,1.55887,1.32286,0.59749,0.4415,0.4791,0.33454,1.14201,1.3305,1.25898,0.009208,0.009208,0.009208
26,20467.1,1.22138,1.54874,1.31942,0.5914,0.44767,0.48222,0.33769,1.13745,1.31988,1.25297,0.009175,0.009175,0.009175
27,21250.4,1.21701,1.54443,1.31674,0.6012,0.44778,0.48583,0.34088,1.13323,1.30958,1.24744,0.009142,0.009142,0.009142
28,22033.7,1.2146,1.53682,1.31174,0.60086,0.45111,0.48925,0.34348,1.12916,1.29958,1.24277,0.009109,0.009109,0.009109
29,22816.6,1.21322,1.52903,1.30856,0.59824,0.45453,0.49232,0.34609,1.12565,1.29089,1.23843,0.009076,0.009076,0.009076
30,23599.5,1.20881,1.52298,1.30673,0.60055,0.45747,0.49521,0.34849,1.12164,1.28318,1.23373,0.009043,0.009043,0.009043
31,24382.5,1.20814,1.51896,1.30301,0.59606,0.46245,0.49902,0.35178,1.11783,1.27503,1.22895,0.00901,0.00901,0.00901
32,25165.4,1.20608,1.51313,1.29908,0.60666,0.45866,0.50109,0.35412,1.11462,1.26819,1.22458,0.008977,0.008977,0.008977
33,25947.9,1.2043,1.50842,1.2971,0.60075,0.46271,0.50396,0.35608,1.11229,1.26135,1.22082,0.008944,0.008944,0.008944
34,26730.5,1.20293,1.50236,1.29575,0.59991,0.46563,0.50565,0.35763,1.11029,1.25564,1.21774,0.008911,0.008911,0.008911
