epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.774,3.11966,4.90837,3.59032,0.52459,0.01368,0.0098,0.00387,2.44182,3.64017,2.80178,0.00332973,0.00332973,0.00332973
2,568.587,2.00554,3.4954,2.26871,0.20493,0.11547,0.07303,0.03901,1.86929,2.80892,2.10544,0.00664107,0.00664107,0.00664107
3,852.33,1.70763,2.88623,1.90389,0.24846,0.18041,0.12866,0.07411,1.65584,2.52555,1.82676,0.00993042,0.00993042,0.00993042
4,1134.83,1.56129,2.47274,1.72815,0.35343,0.25224,0.22065,0.13401,1.50695,2.08223,1.66596,0.009901,0.009901,0.009901
5,1418.69,1.47015,2.20872,1.63286,0.42915,0.28575,0.27591,0.17413,1.40884,1.886,1.57216,0.009868,0.009868,0.009868
6,1702.69,1.42041,2.06914,1.57779,0.46297,0.3109,0.31029,0.19974,1.36231,1.77687,1.51995,0.009835,0.009835,0.009835
7,1987.22,1.38501,1.9779,1.54096,0.47809,0.33836,0.3412,0.22157,1.32126,1.68041,1.47161,0.009802,0.009802,0.009802
8,2270.55,1.35968,1.91036,1.51108,0.49815,0.35419,0.3638,0.24095,1.28471,1.61138,1.43819,0.009769,0.009769,0.009769
9,2553.5,1.33944,1.86047,1.48558,0.52061,0.3707,0.38562,0.2569,1.26277,1.55033,1.41057,0.009736,0.009736,0.009736
10,2835.43,1.32295,1.8157,1.46628,0.52093,0.38411,0.40082,0.2697,1.23785,1.50635,1.38622,0.009703,0.009703,0.009703
11,3119.27,1.30896,1.78259,1.44779,0.53431,0.39659,0.41705,0.28204,1.22307,1.46496,1.3655,0.00967,0.00967,0.00967
12,3403.18,1.30327,1.74773,1.43524,0.5357,0.40346,0.42563,0.2895,1.20745,1.43546,1.34712,0.009637,0.009637,0.009637
13,3685.75,1.28956,1.72515,1.42151,0.55567,0.41052,0.43861,0.2993,1.19546,1.41077,1.33446,0.009604,0.009604,0.009604
14,3968.23,1.27739,1.70355,1.4098,0.56368,0.42141,0.44798,0.30658,1.18618,1.39008,1.32143,0.009571,0.009571,0.009571
15,4252,1.27544,1.6857,1.40129,0.58036,0.4203,0.45326,0.31122,1.17763,1.37317,1.31176,0.009538,0.009538,0.009538
16,4535.2,1.26693,1.66325,1.39074,0.5726,0.42564,0.45647,0.3158,1.17163,1.36017,1.30388,0.009505,0.009505,0.009505
17,4817.8,1.26333,1.65349,1.38512,0.57538,0.42755,0.46095,0.31957,1.16565,1.34923,1.29728,0.009472,0.009472,0.009472
18,5100.51,1.25537,1.63997,1.37684,0.57895,0.42836,0.46439,0.32271,1.16034,1.34118,1.29134,0.009439,0.009439,0.009439
19,5383.7,1.25419,1.62488,1.37216,0.58409,0.43138,0.46758,0.3256,1.15573,1.33401,1.28664,0.009406,0.009406,0.009406
20,5666.02,1.24732,1.6131,1.36469,0.57516,0.43619,0.46936,0.32706,1.15253,1.32702,1.28213,0.009373,0.009373,0.009373
21,5948.91,1.24352,1.60048,1.35795,0.57302,0.43855,0.47114,0.32816,1.15044,1.32119,1.27894,0.00934,0.00934,0.00934
22,6232.51,1.23887,1.59375,1.35323,0.57858,0.43744,0.47303,0.32991,1.14821,1.3164,1.27613,0.009307,0.009307,0.009307
23,6516.71,1.23623,1.58469,1.35001,0.57632,0.43894,0.47452,0.33099,1.14545,1.31274,1.27331,0.009274,0.009274,0.009274
24,6800.74,1.23042,1.57215,1.3429,0.57475,0.44138,0.47566,0.33202,1.14349,1.3086,1.27088,0.009241,0.009241,0.009241
25,7084.33,1.22691,1.563,1.3355,0.57848,0.4416,0.47717,0.33332,1.14156,1.3048,1.26803,0.009208,0.009208,0.009208
26,7367.23,1.22787,1.55703,1.33419,0.57763,0.44334,0.47824,0.33423,1.14026,1.30185,1.2663,0.009175,0.009175,0.009175
27,7651.15,1.22557,1.55471,1.33062,0.57322,0.44628,0.4796,0.33502,1.13907,1.2988,1.26453,0.009142,0.009142,0.009142
28,7934.4,1.22016,1.54442,1.32689,0.57212,0.44935,0.48089,0.33625,1.13779,1.2964,1.26235,0.009109,0.009109,0.009109
29,8218.93,1.22011,1.53795,1.32383,0.57187,0.44855,0.4822,0.33715,1.13737,1.29427,1.2607,0.009076,0.009076,0.009076
30,8501.74,1.21525,1.5318,1.32078,0.57429,0.4495,0.48347,0.33837,1.1366,1.29163,1.259,0.009043,0.009043,0.009043
