                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7643,                 5.7077,                 4.1687,                   3.58,                 7.5479,                 4.1978,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070032,              0.0033297,              0.0033297
                      2,                 2.7043,                 4.3575,                 2.7011,                 2.6009,                  5.116,                 2.3611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0066499,              0.0066499
                      3,                 1.8793,                 3.3437,                  1.923,                 1.9837,                 3.9053,                 1.6824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099928,              0.0099568,              0.0099568
                      4,                 1.6158,                 2.7845,                 1.6918,                 1.8241,                 3.2519,                 1.5453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4863,                 2.4373,                  1.578,                 1.7474,                 2.8647,                 1.4758,                0.30324,                0.22101,                0.18365,                0.11794,                 1.3742,                 2.1384,                 1.5809,                 1.5217,                 2.5329,                 1.5068,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4128,                 2.2333,                 1.5134,                  1.696,                 2.6552,                 1.4331,                0.30324,                0.22101,                0.18365,                0.11794,                 1.3742,                 2.1384,                 1.5809,                 1.5217,                 2.5329,                 1.5068,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3596,                  2.078,                 1.4706,                 1.6547,                 2.5028,                 1.4037,                0.30324,                0.22101,                0.18365,                0.11794,                 1.3742,                 2.1384,                 1.5809,                 1.5217,                 2.5329,                 1.5068,               0.009901,               0.009901,               0.009901
                      8,                 1.3177,                 1.9737,                 1.4387,                 1.6192,                 2.3958,                 1.3813,                0.30324,                0.22101,                0.18365,                0.11794,                 1.3742,                 2.1384,                 1.5809,                 1.5217,                 2.5329,                 1.5068,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2842,                 1.8884,                 1.4117,                 1.5922,                 2.3096,                 1.3617,                0.30324,                0.22101,                0.18365,                0.11794,                 1.3742,                 2.1384,                 1.5809,                 1.5217,                 2.5329,                 1.5068,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2633,                 1.8136,                 1.3947,                 1.5742,                 2.2343,                 1.3484,                0.49664,                0.36379,                0.37696,                0.25718,                 1.1734,                 1.5308,                 1.3939,                 1.3657,                 1.8695,                 1.3722,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2416,                 1.7622,                 1.3776,                 1.5563,                 2.1825,                 1.3363,                0.49664,                0.36379,                0.37696,                0.25718,                 1.1734,                 1.5308,                 1.3939,                 1.3657,                 1.8695,                 1.3722,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2282,                 1.7091,                 1.3639,                 1.5514,                 2.1324,                 1.3266,                0.49664,                0.36379,                0.37696,                0.25718,                 1.1734,                 1.5308,                 1.3939,                 1.3657,                 1.8695,                 1.3722,               0.009802,               0.009802,               0.009802
                     13,                  1.208,                 1.6571,                 1.3473,                 1.5366,                 2.0774,                  1.314,                0.49664,                0.36379,                0.37696,                0.25718,                 1.1734,                 1.5308,                 1.3939,                 1.3657,                 1.8695,                 1.3722,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1895,                 1.6154,                 1.3331,                 1.5223,                 2.0332,                 1.3025,                0.49664,                0.36379,                0.37696,                0.25718,                 1.1734,                 1.5308,                 1.3939,                 1.3657,                 1.8695,                 1.3722,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1783,                 1.5811,                 1.3242,                 1.5067,                 1.9927,                 1.2949,                0.55578,                0.42944,                0.46407,                0.32676,                   1.09,                 1.3061,                 1.3157,                 1.2901,                  1.624,                 1.3026,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.1753,                 1.5612,                 1.3166,                  1.511,                 1.9775,                 1.2889,                0.55578,                0.42944,                0.46407,                0.32676,                   1.09,                 1.3061,                 1.3157,                 1.2901,                  1.624,                 1.3026,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.1664,                 1.5376,                 1.3099,                  1.501,                 1.9498,                 1.2846,                0.55578,                0.42944,                0.46407,                0.32676,                   1.09,                 1.3061,                 1.3157,                 1.2901,                  1.624,                 1.3026,               0.009703,               0.009703,               0.009703
                     18,                 1.1514,                 1.5137,                 1.2996,                 1.4846,                 1.9217,                 1.2761,                0.55578,                0.42944,                0.46407,                0.32676,                   1.09,                 1.3061,                 1.3157,                 1.2901,                  1.624,                 1.3026,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.1407,                 1.4822,                 1.2894,                 1.4753,                 1.8918,                 1.2688,                0.55578,                0.42944,                0.46407,                0.32676,                   1.09,                 1.3061,                 1.3157,                 1.2901,                  1.624,                 1.3026,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1342,                 1.4702,                 1.2868,                 1.4683,                 1.8774,                  1.265,                0.60097,                0.47315,                0.51535,                0.36835,                 1.0444,                 1.1908,                 1.2729,                 1.2408,                 1.4977,                 1.2649,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.1271,                   1.45,                 1.2787,                 1.4613,                 1.8536,                 1.2595,                0.60097,                0.47315,                0.51535,                0.36835,                 1.0444,                 1.1908,                 1.2729,                 1.2408,                 1.4977,                 1.2649,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1206,                 1.4327,                 1.2719,                 1.4571,                 1.8381,                 1.2547,                0.60097,                0.47315,                0.51535,                0.36835,                 1.0444,                 1.1908,                 1.2729,                 1.2408,                 1.4977,                 1.2649,               0.009604,               0.009604,               0.009604
                     23,                 1.1142,                  1.413,                 1.2656,                 1.4509,                 1.8177,                 1.2497,                0.60097,                0.47315,                0.51535,                0.36835,                 1.0444,                 1.1908,                 1.2729,                 1.2408,                 1.4977,                 1.2649,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1108,                 1.3991,                 1.2602,                 1.4485,                 1.7997,                 1.2439,                0.60097,                0.47315,                0.51535,                0.36835,                 1.0444,                 1.1908,                 1.2729,                 1.2408,                 1.4977,                 1.2649,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1061,                 1.3851,                 1.2558,                 1.4397,                 1.7851,                 1.2414,                0.62264,                0.49729,                0.54441,                0.39412,                 1.0169,                 1.1239,                 1.2418,                 1.2132,                 1.4213,                 1.2385,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.1008,                 1.3706,                 1.2511,                  1.438,                 1.7731,                 1.2371,                0.62264,                0.49729,                0.54441,                0.39412,                 1.0169,                 1.1239,                 1.2418,                 1.2132,                 1.4213,                 1.2385,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1009,                 1.3639,                 1.2471,                 1.4403,                  1.765,                 1.2335,                0.62264,                0.49729,                0.54441,                0.39412,                 1.0169,                 1.1239,                 1.2418,                 1.2132,                 1.4213,                 1.2385,               0.009505,               0.009505,               0.009505
                     28,                 1.0917,                 1.3447,                 1.2441,                 1.4263,                 1.7431,                 1.2299,                0.62264,                0.49729,                0.54441,                0.39412,                 1.0169,                 1.1239,                 1.2418,                 1.2132,                 1.4213,                 1.2385,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.0886,                 1.3401,                 1.2414,                 1.4219,                 1.7372,                 1.2286,                0.62264,                0.49729,                0.54441,                0.39412,                 1.0169,                 1.1239,                 1.2418,                 1.2132,                 1.4213,                 1.2385,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0858,                 1.3321,                 1.2397,                 1.4171,                 1.7278,                 1.2268,                0.63793,                0.51435,                0.56437,                0.41031,                0.99862,                 1.0803,                 1.2239,                 1.1928,                 1.3713,                 1.2222,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0806,                 1.3232,                 1.2343,                 1.4204,                 1.7195,                 1.2236,                0.63793,                0.51435,                0.56437,                0.41031,                0.99862,                 1.0803,                 1.2239,                 1.1928,                 1.3713,                 1.2222,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0769,                 1.3147,                 1.2318,                 1.4142,                 1.7129,                 1.2213,                0.63793,                0.51435,                0.56437,                0.41031,                0.99862,                 1.0803,                 1.2239,                 1.1928,                 1.3713,                 1.2222,               0.009406,               0.009406,               0.009406
                     33,                 1.0742,                 1.3028,                 1.2272,                 1.4097,                 1.6959,                 1.2168,                0.63793,                0.51435,                0.56437,                0.41031,                0.99862,                 1.0803,                 1.2239,                 1.1928,                 1.3713,                 1.2222,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0677,                 1.2902,                 1.2227,                 1.4065,                  1.684,                 1.2136,                0.63793,                0.51435,                0.56437,                0.41031,                0.99862,                 1.0803,                 1.2239,                 1.1928,                 1.3713,                 1.2222,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.0659,                 1.2922,                 1.2227,                 1.3971,                 1.6863,                 1.2136,                0.65586,                0.51468,                0.57628,                0.42042,                0.98831,                 1.0558,                 1.2129,                 1.1792,                  1.344,                 1.2119,              0.0093466,              0.0093466,              0.0093466
                     36,                  1.064,                 1.2778,                 1.2165,                 1.3996,                 1.6693,                 1.2074,                0.65586,                0.51468,                0.57628,                0.42042,                0.98831,                 1.0558,                 1.2129,                 1.1792,                  1.344,                 1.2119,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.0615,                 1.2714,                  1.216,                 1.3981,                 1.6631,                 1.2072,                0.65586,                0.51468,                0.57628,                0.42042,                0.98831,                 1.0558,                 1.2129,                 1.1792,                  1.344,                 1.2119,               0.009307,               0.009307,               0.009307
                     38,                 1.0599,                 1.2661,                 1.2142,                 1.3932,                 1.6563,                  1.206,                0.65586,                0.51468,                0.57628,                0.42042,                0.98831,                 1.0558,                 1.2129,                 1.1792,                  1.344,                 1.2119,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.0564,                 1.2592,                 1.2135,                 1.3891,                 1.6493,                 1.2056,                0.65586,                0.51468,                0.57628,                0.42042,                0.98831,                 1.0558,                 1.2129,                 1.1792,                  1.344,                 1.2119,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0512,                 1.2464,                 1.2053,                 1.3887,                 1.6357,                 1.1979,                0.66796,                0.51984,                0.58428,                0.42791,                0.98182,                 1.0404,                  1.206,                 1.1709,                 1.3256,                 1.2035,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.0521,                 1.2457,                 1.2073,                 1.3862,                 1.6358,                 1.2007,                0.66796,                0.51984,                0.58428,                0.42791,                0.98182,                 1.0404,                  1.206,                 1.1709,                 1.3256,                 1.2035,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0492,                 1.2465,                 1.2049,                 1.3848,                 1.6345,                 1.1981,                0.66796,                0.51984,                0.58428,                0.42791,                0.98182,                 1.0404,                  1.206,                 1.1709,                 1.3256,                 1.2035,               0.009208,               0.009208,               0.009208
                     43,                 1.0472,                 1.2368,                 1.2022,                 1.3805,                  1.626,                 1.1959,                0.66796,                0.51984,                0.58428,                0.42791,                0.98182,                 1.0404,                  1.206,                 1.1709,                 1.3256,                 1.2035,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.0419,                 1.2311,                 1.1995,                 1.3752,                 1.6184,                 1.1939,                0.66796,                0.51984,                0.58428,                0.42791,                0.98182,                 1.0404,                  1.206,                 1.1709,                 1.3256,                 1.2035,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.0402,                 1.2304,                 1.1977,                 1.3776,                 1.6182,                 1.1915,                0.66966,                 0.5258,                0.59021,                0.43278,                0.97838,                  1.031,                 1.2014,                 1.1657,                  1.311,                 1.1988,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.0409,                 1.2206,                 1.1967,                 1.3745,                 1.6069,                 1.1923,                0.66966,                 0.5258,                0.59021,                0.43278,                0.97838,                  1.031,                 1.2014,                 1.1657,                  1.311,                 1.1988,              0.0091288,              0.0091288,              0.0091288
                     47,                  1.036,                  1.218,                 1.1941,                 1.3711,                 1.6034,                 1.1903,                0.66966,                 0.5258,                0.59021,                0.43278,                0.97838,                  1.031,                 1.2014,                 1.1657,                  1.311,                 1.1988,               0.009109,               0.009109,               0.009109
                     48,                 1.0383,                 1.2203,                 1.1932,                 1.3745,                 1.6065,                 1.1883,                0.66966,                 0.5258,                0.59021,                0.43278,                0.97838,                  1.031,                 1.2014,                 1.1657,                  1.311,                 1.1988,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.0352,                 1.2059,                 1.1916,                 1.3673,                 1.5926,                 1.1869,                0.66966,                 0.5258,                0.59021,                0.43278,                0.97838,                  1.031,                 1.2014,                 1.1657,                  1.311,                 1.1988,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.0348,                 1.2066,                 1.1908,                 1.3711,                 1.5906,                 1.1866,                0.68392,                0.52607,                0.59588,                0.43716,                0.97506,                 1.0238,                  1.197,                 1.1605,                 1.2999,                 1.1941,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.0289,                    1.2,                 1.1863,                 1.3654,                 1.5831,                 1.1821,                0.68392,                0.52607,                0.59588,                0.43716,                0.97506,                 1.0238,                  1.197,                 1.1605,                 1.2999,                 1.1941,              0.0090298,              0.0090298,              0.0090298
                     52,                   1.03,                 1.1954,                  1.185,                 1.3647,                  1.578,                 1.1808,                0.68392,                0.52607,                0.59588,                0.43716,                0.97506,                 1.0238,                  1.197,                 1.1605,                 1.2999,                 1.1941,                0.00901,                0.00901,                0.00901
                     53,                 1.0256,                 1.1943,                 1.1848,                 1.3579,                 1.5755,                 1.1821,                0.68392,                0.52607,                0.59588,                0.43716,                0.97506,                 1.0238,                  1.197,                 1.1605,                 1.2999,                 1.1941,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.0279,                 1.1886,                 1.1816,                 1.3636,                  1.572,                 1.1783,                0.68392,                0.52607,                0.59588,                0.43716,                0.97506,                 1.0238,                  1.197,                 1.1605,                 1.2999,                 1.1941,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.0233,                 1.1933,                 1.1805,                 1.3544,                 1.5753,                 1.1778,                0.68317,                0.53097,                0.60011,                0.44108,                0.97221,                 1.0197,                 1.1935,                 1.1563,                 1.2918,                 1.1908,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.0167,                 1.1757,                 1.1789,                 1.3465,                 1.5517,                 1.1776,                0.68317,                0.53097,                0.60011,                0.44108,                0.97221,                 1.0197,                 1.1935,                 1.1563,                 1.2918,                 1.1908,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.0202,                 1.1818,                 1.1803,                 1.3494,                  1.561,                 1.1777,                0.68317,                0.53097,                0.60011,                0.44108,                0.97221,                 1.0197,                 1.1935,                 1.1563,                 1.2918,                 1.1908,               0.008911,               0.008911,               0.008911
                     58,                 1.0233,                 1.1818,                 1.1785,                 1.3608,                 1.5683,                 1.1762,                0.68317,                0.53097,                0.60011,                0.44108,                0.97221,                 1.0197,                 1.1935,                 1.1563,                 1.2918,                 1.1908,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.0141,                 1.1697,                 1.1742,                  1.347,                 1.5504,                 1.1722,                0.68317,                0.53097,                0.60011,                0.44108,                0.97221,                 1.0197,                 1.1935,                 1.1563,                 1.2918,                 1.1908,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.0182,                 1.1699,                 1.1763,                 1.3537,                 1.5519,                  1.173,                0.68409,                0.53753,                0.60389,                0.44448,                 0.9692,                 1.0187,                 1.1906,                 1.1529,                 1.2867,                 1.1882,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.0106,                 1.1632,                 1.1705,                 1.3433,                 1.5406,                 1.1684,                0.68409,                0.53753,                0.60389,                0.44448,                 0.9692,                 1.0187,                 1.1906,                 1.1529,                 1.2867,                 1.1882,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.0062,                  1.163,                 1.1712,                 1.3348,                  1.542,                 1.1704,                0.68409,                0.53753,                0.60389,                0.44448,                 0.9692,                 1.0187,                 1.1906,                 1.1529,                 1.2867,                 1.1882,               0.008812,               0.008812,               0.008812
                     63,                 1.0105,                 1.1602,                 1.1702,                 1.3483,                 1.5419,                 1.1692,                0.68409,                0.53753,                0.60389,                0.44448,                 0.9692,                 1.0187,                 1.1906,                 1.1529,                 1.2867,                 1.1882,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.0105,                 1.1701,                 1.1718,                 1.3414,                 1.5477,                 1.1708,                0.68409,                0.53753,                0.60389,                0.44448,                 0.9692,                 1.0187,                 1.1906,                 1.1529,                 1.2867,                 1.1882,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.0072,                  1.155,                 1.1672,                 1.3415,                 1.5333,                  1.166,                0.68348,                0.54399,                0.60744,                 0.4474,                0.96707,                 1.0197,                 1.1885,                   1.15,                 1.2826,                 1.1862,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.0065,                  1.145,                 1.1667,                 1.3413,                 1.5226,                  1.165,                0.68348,                0.54399,                0.60744,                 0.4474,                0.96707,                 1.0197,                 1.1885,                   1.15,                 1.2826,                 1.1862,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0037,                 1.1462,                 1.1648,                 1.3339,                 1.5243,                 1.1631,                0.68348,                0.54399,                0.60744,                 0.4474,                0.96707,                 1.0197,                 1.1885,                   1.15,                 1.2826,                 1.1862,               0.008713,               0.008713,               0.008713
                     68,                 1.0034,                 1.1474,                 1.1653,                 1.3362,                 1.5264,                 1.1642,                0.68348,                0.54399,                0.60744,                 0.4474,                0.96707,                 1.0197,                 1.1885,                   1.15,                 1.2826,                 1.1862,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0032,                 1.1488,                 1.1634,                 1.3341,                 1.5258,                 1.1626,                0.68348,                0.54399,                0.60744,                 0.4474,                0.96707,                 1.0197,                 1.1885,                   1.15,                 1.2826,                 1.1862,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.0007,                 1.1418,                 1.1618,                 1.3344,                 1.5213,                  1.162,                0.68766,                0.54562,                0.61097,                0.45043,                0.96523,                 1.0191,                 1.1862,                 1.1462,                 1.2794,                 1.1831,              0.0086536,              0.0086536,              0.0086536
                     71,                0.99924,                 1.1382,                 1.1601,                 1.3336,                 1.5163,                 1.1603,                0.68766,                0.54562,                0.61097,                0.45043,                0.96523,                 1.0191,                 1.1862,                 1.1462,                 1.2794,                 1.1831,              0.0086338,              0.0086338,              0.0086338
