                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7927,                 5.5782,                 4.0128,                 3.6189,                 7.3609,                 4.0152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070032,              0.0033297,              0.0033297
                      2,                 2.6537,                 4.2673,                  2.556,                  2.568,                 4.9147,                 2.1609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0066499,              0.0066499
                      3,                 1.8987,                  3.354,                 1.8976,                  2.003,                 3.8953,                 1.6553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099928,              0.0099568,              0.0099568
                      4,                 1.6346,                 2.7927,                 1.6703,                 1.8365,                 3.2653,                 1.5201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.503,                 2.4565,                  1.556,                 1.7537,                 2.8956,                 1.4524,                0.31804,                0.21684,                0.17599,                 0.1142,                  1.392,                 2.1664,                 1.5671,                 1.5243,                 2.5627,                 1.4844,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4311,                 2.2559,                 1.4997,                 1.7018,                  2.682,                 1.4186,                0.31804,                0.21684,                0.17599,                 0.1142,                  1.392,                 2.1664,                 1.5671,                 1.5243,                 2.5627,                 1.4844,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3818,                 2.1239,                 1.4628,                 1.6686,                 2.5427,                 1.3941,                0.31804,                0.21684,                0.17599,                 0.1142,                  1.392,                 2.1664,                 1.5671,                 1.5243,                 2.5627,                 1.4844,               0.009901,               0.009901,               0.009901
                      8,                 1.3357,                  2.007,                 1.4275,                 1.6284,                 2.4201,                 1.3699,                0.31804,                0.21684,                0.17599,                 0.1142,                  1.392,                 2.1664,                 1.5671,                 1.5243,                 2.5627,                 1.4844,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3012,                 1.9187,                 1.3997,                 1.5993,                 2.3324,                 1.3497,                0.31804,                0.21684,                0.17599,                 0.1142,                  1.392,                 2.1664,                 1.5671,                 1.5243,                 2.5627,                 1.4844,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2829,                 1.8517,                  1.381,                 1.5934,                 2.2639,                 1.3342,                0.47421,                0.35294,                0.35877,                0.24376,                 1.1993,                 1.5642,                 1.3865,                 1.3806,                  1.897,                 1.3573,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2605,                 1.7915,                 1.3627,                 1.5782,                 2.2064,                 1.3211,                0.47421,                0.35294,                0.35877,                0.24376,                 1.1993,                 1.5642,                 1.3865,                 1.3806,                  1.897,                 1.3573,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2398,                 1.7448,                 1.3496,                 1.5577,                 2.1625,                 1.3123,                0.47421,                0.35294,                0.35877,                0.24376,                 1.1993,                 1.5642,                 1.3865,                 1.3806,                  1.897,                 1.3573,               0.009802,               0.009802,               0.009802
                     13,                 1.2243,                 1.6904,                 1.3331,                  1.549,                 2.1039,                 1.2991,                0.47421,                0.35294,                0.35877,                0.24376,                 1.1993,                 1.5642,                 1.3865,                 1.3806,                  1.897,                 1.3573,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2119,                 1.6507,                 1.3243,                   1.54,                 2.0636,                 1.2925,                0.47421,                0.35294,                0.35877,                0.24376,                 1.1993,                 1.5642,                 1.3865,                 1.3806,                  1.897,                 1.3573,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1978,                 1.6221,                 1.3138,                 1.5265,                 2.0352,                 1.2838,                0.54447,                0.41986,                0.45192,                0.31659,                 1.1104,                 1.3347,                 1.3049,                 1.3069,                 1.6569,                 1.2934,              0.0097426,              0.0097426,              0.0097426
