                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7604,                 5.4706,                 3.9496,                 3.5807,                 7.2842,                 3.9209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070016,              0.0033315,              0.0033315
                      2,                  2.658,                 4.3204,                 2.6279,                 2.5532,                 4.9471,                  2.216,                 0.2597,                0.01395,                0.00742,                0.00376,                 2.0217,                 3.8274,                 2.1532,                  1.943,                 4.4594,                 1.8366,               0.040003,              0.0066517,              0.0066517
                      3,                 1.9268,                 3.3169,                 1.9613,                 2.0207,                 3.8587,                 1.7103,                 0.2597,                0.01395,                0.00742,                0.00376,                 2.0217,                 3.8274,                 2.1532,                  1.943,                 4.4594,                 1.8366,              0.0099766,              0.0099586,              0.0099586
                      4,                 1.6997,                 2.7521,                 1.7561,                 1.8844,                  3.249,                 1.5885,                 0.2528,                0.17664,                0.13184,                0.08149,                 1.4864,                  2.358,                 1.6354,                 1.5938,                 2.8095,                 1.5214,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5802,                 2.4318,                 1.6517,                 1.8126,                 2.9033,                 1.5297,                 0.2528,                0.17664,                0.13184,                0.08149,                 1.4864,                  2.358,                 1.6354,                 1.5938,                 2.8095,                 1.5214,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5121,                  2.243,                 1.5922,                 1.7692,                 2.6954,                 1.4944,                0.39557,                0.26394,                 0.2447,                0.15901,                 1.3325,                 1.9088,                    1.5,                 1.4899,                 2.2874,                 1.4413,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4612,                 2.1135,                 1.5505,                 1.7323,                 2.5587,                 1.4679,                0.39557,                0.26394,                 0.2447,                0.15901,                 1.3325,                 1.9088,                    1.5,                 1.4899,                 2.2874,                 1.4413,               0.009901,               0.009901,               0.009901
                      8,                 1.4223,                 2.0086,                  1.517,                 1.7071,                  2.447,                 1.4458,                0.42169,                0.32216,                0.31569,                0.21004,                 1.2432,                 1.6732,                 1.4233,                 1.4189,                 2.0257,                 1.3894,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3915,                 1.9238,                 1.4929,                 1.6852,                 2.3642,                 1.4295,                0.42169,                0.32216,                0.31569,                0.21004,                 1.2432,                 1.6732,                 1.4233,                 1.4189,                 2.0257,                 1.3894,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3685,                 1.8611,                 1.4696,                  1.668,                 2.2991,                 1.4125,                0.46429,                0.37232,                0.37792,                 0.2558,                 1.1852,                  1.512,                 1.3748,                 1.3721,                 1.8504,                 1.3503,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.3462,                 1.8067,                  1.451,                 1.6528,                 2.2435,                 1.3995,                0.46429,                0.37232,                0.37792,                 0.2558,                 1.1852,                  1.512,                 1.3748,                 1.3721,                 1.8504,                 1.3503,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.3263,                 1.7622,                 1.4371,                 1.6368,                 2.2007,                 1.3904,                0.50547,                0.39736,                0.41963,                0.28795,                  1.146,                 1.4098,                 1.3381,                  1.339,                 1.7393,                 1.3211,               0.009802,               0.009802,               0.009802
                     13,                 1.3104,                 1.7142,                 1.4192,                 1.6259,                 2.1519,                 1.3765,                0.50547,                0.39736,                0.41963,                0.28795,                  1.146,                 1.4098,                 1.3381,                  1.339,                 1.7393,                 1.3211,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.3007,                 1.6863,                  1.411,                 1.6179,                 2.1261,                 1.3698,                 0.5242,                0.42508,                0.44453,                0.30935,                 1.1143,                  1.339,                 1.3075,                 1.3102,                 1.6592,                  1.297,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2823,                 1.6523,                 1.3967,                 1.6027,                 2.0859,                 1.3588,                 0.5242,                0.42508,                0.44453,                0.30935,                 1.1143,                  1.339,                 1.3075,                 1.3102,                 1.6592,                  1.297,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2757,                 1.6241,                 1.3901,                 1.5957,                 2.0575,                 1.3544,                0.54722,                0.45012,                0.47502,                0.33407,                 1.0916,                 1.2741,                 1.2876,                 1.2861,                 1.5883,                 1.2765,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.2639,                 1.5958,                 1.3807,                 1.5844,                 2.0257,                 1.3472,                0.54722,                0.45012,                0.47502,                0.33407,                 1.0916,                 1.2741,                 1.2876,                 1.2861,                 1.5883,                 1.2765,               0.009703,               0.009703,               0.009703
                     18,                 1.2536,                 1.5785,                 1.3727,                   1.58,                 2.0057,                 1.3403,                0.57529,                0.45616,                0.49257,                0.34869,                 1.0727,                 1.2312,                 1.2694,                 1.2685,                 1.5401,                 1.2622,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.2484,                 1.5491,                 1.3639,                 1.5768,                  1.977,                 1.3339,                0.57529,                0.45616,                0.49257,                0.34869,                 1.0727,                 1.2312,                 1.2694,                 1.2685,                 1.5401,                 1.2622,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.2376,                 1.5336,                 1.3575,                 1.5634,                 1.9628,                 1.3293,                0.59115,                0.47231,                0.51023,                0.36307,                 1.0559,                 1.1922,                 1.2544,                 1.2512,                 1.4953,                 1.2488,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.2302,                 1.5159,                 1.3518,                 1.5537,                 1.9436,                 1.3236,                0.59115,                0.47231,                0.51023,                0.36307,                 1.0559,                 1.1922,                 1.2544,                 1.2512,                 1.4953,                 1.2488,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.2243,                  1.495,                 1.3444,                 1.5553,                 1.9201,                  1.319,                0.60695,                0.48639,                0.52915,                0.37758,                 1.0447,                 1.1612,                  1.244,                 1.2379,                 1.4616,                  1.239,               0.009604,               0.009604,               0.009604
                     23,                 1.2156,                 1.4825,                 1.3401,                 1.5434,                  1.906,                 1.3156,                0.60695,                0.48639,                0.52915,                0.37758,                 1.0447,                 1.1612,                  1.244,                 1.2379,                 1.4616,                  1.239,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.2105,                 1.4688,                 1.3345,                 1.5394,                 1.8943,                 1.3116,                0.61252,                0.49878,                0.54139,                0.38827,                 1.0332,                 1.1375,                 1.2337,                  1.227,                  1.434,                 1.2297,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.2048,                 1.4543,                 1.3275,                 1.5346,                 1.8768,                  1.305,                0.61252,                0.49878,                0.54139,                0.38827,                 1.0332,                 1.1375,                 1.2337,                  1.227,                  1.434,                 1.2297,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.2018,                 1.4379,                 1.3256,                 1.5317,                 1.8626,                 1.3029,                0.63507,                0.49776,                0.55219,                0.39734,                 1.0248,                 1.1172,                 1.2256,                 1.2163,                 1.4149,                 1.2225,              0.0095248,              0.0095248,              0.0095248
