                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5826,                  5.215,                 3.6438,                 3.3785,                  6.529,                 3.4153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070032,              0.0033297,              0.0033297
                      2,                 2.2134,                 3.9439,                 2.2528,                 2.2011,                 4.5314,                 1.9035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0066499,              0.0066499
                      3,                 1.8564,                  3.303,                 1.8768,                 1.9662,                 3.8252,                 1.6475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099928,              0.0099568,              0.0099568
                      4,                 1.6648,                 2.8526,                 1.6914,                 1.8502,                 3.3235,                 1.5354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5609,                 2.5218,                 1.5888,                 1.7975,                 2.9684,                 1.4727,                0.27742,                 0.2015,                0.16069,                0.10047,                 1.4496,                 2.2266,                  1.581,                 1.5697,                 2.6262,                 1.4854,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4849,                 2.3254,                  1.528,                 1.7431,                 2.7613,                  1.437,                0.27742,                 0.2015,                0.16069,                0.10047,                 1.4496,                 2.2266,                  1.581,                 1.5697,                 2.6262,                 1.4854,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4395,                 2.1843,                 1.4879,                 1.7131,                 2.6178,                 1.4107,                0.27742,                 0.2015,                0.16069,                0.10047,                 1.4496,                 2.2266,                  1.581,                 1.5697,                 2.6262,                 1.4854,               0.009901,               0.009901,               0.009901
                      8,                 1.3922,                 2.0676,                 1.4494,                 1.6774,                 2.4952,                 1.3855,                0.27742,                 0.2015,                0.16069,                0.10047,                 1.4496,                 2.2266,                  1.581,                 1.5697,                 2.6262,                 1.4854,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3586,                 1.9795,                 1.4215,                 1.6528,                 2.4062,                 1.3648,                0.27742,                 0.2015,                0.16069,                0.10047,                 1.4496,                 2.2266,                  1.581,                 1.5697,                 2.6262,                 1.4854,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3386,                 1.9042,                 1.3985,                 1.6412,                 2.3333,                 1.3479,                0.47204,                0.35281,                0.36108,                0.24314,                 1.2305,                 1.5853,                 1.3733,                 1.4137,                 1.9345,                 1.3448,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.3179,                 1.8495,                  1.383,                 1.6244,                 2.2853,                 1.3365,                0.47204,                0.35281,                0.36108,                0.24314,                 1.2305,                 1.5853,                 1.3733,                 1.4137,                 1.9345,                 1.3448,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.3001,                 1.8023,                 1.3679,                 1.6133,                 2.2386,                  1.327,                0.47204,                0.35281,                0.36108,                0.24314,                 1.2305,                 1.5853,                 1.3733,                 1.4137,                 1.9345,                 1.3448,               0.009802,               0.009802,               0.009802
                     13,                 1.2832,                 1.7553,                 1.3524,                 1.6023,                 2.1888,                 1.3145,                0.47204,                0.35281,                0.36108,                0.24314,                 1.2305,                 1.5853,                 1.3733,                 1.4137,                 1.9345,                 1.3448,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2647,                 1.7098,                  1.338,                 1.5859,                 2.1447,                 1.3031,                0.47204,                0.35281,                0.36108,                0.24314,                 1.2305,                 1.5853,                 1.3733,                 1.4137,                 1.9345,                 1.3448,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2534,                 1.6898,                 1.3298,                  1.579,                 2.1202,                 1.2979,                0.54395,                0.41787,                0.44523,                0.30974,                 1.1351,                 1.3643,                 1.2878,                 1.3344,                 1.6984,                 1.2756,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2444,                 1.6535,                 1.3223,                  1.568,                 2.0858,                 1.2919,                0.54395,                0.41787,                0.44523,                0.30974,                 1.1351,                 1.3643,                 1.2878,                 1.3344,                 1.6984,                 1.2756,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.2328,                 1.6299,                 1.3113,                 1.5554,                 2.0634,                 1.2838,                0.54395,                0.41787,                0.44523,                0.30974,                 1.1351,                 1.3643,                 1.2878,                 1.3344,                 1.6984,                 1.2756,               0.009703,               0.009703,               0.009703
                     18,                 1.2269,                 1.6029,                 1.3046,                 1.5561,                 2.0349,                 1.2773,                0.54395,                0.41787,                0.44523,                0.30974,                 1.1351,                 1.3643,                 1.2878,                 1.3344,                 1.6984,                 1.2756,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.2142,                 1.5786,                 1.2954,                 1.5445,                 2.0079,                 1.2701,                0.54395,                0.41787,                0.44523,                0.30974,                 1.1351,                 1.3643,                 1.2878,                 1.3344,                 1.6984,                 1.2756,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.2046,                  1.559,                 1.2861,                 1.5356,                 1.9883,                 1.2644,                 0.5872,                 0.4609,                0.49731,                0.35092,                 1.0893,                  1.247,                 1.2437,                 1.2903,                  1.572,                 1.2368,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.1975,                   1.55,                 1.2848,                 1.5261,                 1.9817,                 1.2628,                 0.5872,                 0.4609,                0.49731,                0.35092,                 1.0893,                  1.247,                 1.2437,                 1.2903,                  1.572,                 1.2368,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1897,                 1.5328,                  1.277,                   1.52,                   1.96,                 1.2562,                 0.5872,                 0.4609,                0.49731,                0.35092,                 1.0893,                  1.247,                 1.2437,                 1.2903,                  1.572,                 1.2368,               0.009604,               0.009604,               0.009604
                     23,                 1.1878,                 1.5116,                 1.2723,                 1.5188,                 1.9429,                 1.2528,                 0.5872,                 0.4609,                0.49731,                0.35092,                 1.0893,                  1.247,                 1.2437,                 1.2903,                  1.572,                 1.2368,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1838,                 1.4984,                 1.2659,                 1.5176,                 1.9256,                 1.2461,                 0.5872,                 0.4609,                0.49731,                0.35092,                 1.0893,                  1.247,                 1.2437,                 1.2903,                  1.572,                 1.2368,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1765,                 1.4846,                 1.2623,                 1.5111,                 1.9108,                  1.244,                0.61321,                0.48165,                 0.5286,                0.37647,                 1.0567,                 1.1759,                 1.2152,                 1.2557,                 1.4945,                 1.2131,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.1679,                 1.4707,                 1.2579,                 1.5013,                 1.8974,                  1.242,                0.61321,                0.48165,                 0.5286,                0.37647,                 1.0567,                 1.1759,                 1.2152,                 1.2557,                 1.4945,                 1.2131,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1721,                 1.4626,                 1.2554,                 1.5086,                 1.8904,                 1.2378,                0.61321,                0.48165,                 0.5286,                0.37647,                 1.0567,                 1.1759,                 1.2152,                 1.2557,                 1.4945,                 1.2131,               0.009505,               0.009505,               0.009505
                     28,                 1.1646,                 1.4481,                 1.2513,                 1.4986,                  1.875,                 1.2351,                0.61321,                0.48165,                 0.5286,                0.37647,                 1.0567,                 1.1759,                 1.2152,                 1.2557,                 1.4945,                 1.2131,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1583,                 1.4381,                 1.2459,                 1.4903,                 1.8639,                  1.232,                0.61321,                0.48165,                 0.5286,                0.37647,                 1.0567,                 1.1759,                 1.2152,                 1.2557,                 1.4945,                 1.2131,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.1582,                 1.4325,                  1.246,                 1.4924,                 1.8554,                 1.2315,                0.63055,                0.49753,                0.54593,                0.39177,                 1.0376,                 1.1339,                 1.1959,                 1.2347,                 1.4463,                 1.1946,              0.0094456,              0.0094456,              0.0094456
