                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6122,                 5.2146,                 3.6433,                 3.4031,                 6.5373,                   3.42,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070032,              0.0033297,              0.0033297
                      2,                 2.2155,                 3.9252,                  2.244,                 2.1984,                 4.5107,                 1.8963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040019,              0.0066499,              0.0066499
                      3,                 1.8463,                 3.2705,                 1.8698,                 1.9618,                 3.7944,                 1.6439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099928,              0.0099568,              0.0099568
                      4,                 1.6506,                 2.7891,                 1.6877,                 1.8448,                 3.2583,                 1.5362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5385,                 2.4454,                 1.5822,                 1.7882,                 2.8882,                 1.4726,                0.32498,                0.22709,                0.19276,                0.12162,                 1.4171,                 2.1125,                 1.5609,                 1.5575,                 2.4933,                 1.4826,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4616,                 2.2534,                 1.5205,                 1.7287,                 2.6871,                  1.434,                0.32498,                0.22709,                0.19276,                0.12162,                 1.4171,                 2.1125,                 1.5609,                 1.5575,                 2.4933,                 1.4826,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4156,                 2.1127,                 1.4793,                 1.6959,                 2.5512,                 1.4062,                0.32498,                0.22709,                0.19276,                0.12162,                 1.4171,                 2.1125,                 1.5609,                 1.5575,                 2.4933,                 1.4826,               0.009901,               0.009901,               0.009901
                      8,                 1.3697,                 2.0011,                 1.4428,                 1.6605,                 2.4335,                 1.3822,                0.32498,                0.22709,                0.19276,                0.12162,                 1.4171,                 2.1125,                 1.5609,                 1.5575,                 2.4933,                 1.4826,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3399,                 1.9236,                  1.417,                 1.6399,                 2.3582,                 1.3637,                0.32498,                0.22709,                0.19276,                0.12162,                 1.4171,                 2.1125,                 1.5609,                 1.5575,                 2.4933,                 1.4826,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3223,                 1.8543,                 1.3968,                 1.6315,                 2.2921,                 1.3481,                 0.4743,                 0.3669,                0.37656,                0.25582,                 1.2076,                 1.5397,                  1.367,                 1.3939,                 1.8913,                 1.3418,              0.0098416,              0.0098416,              0.0098416
