epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.562,3.06213,4.99356,3.49988,0.45634,0.01862,0.01226,0.00586,2.19065,3.60278,2.47936,0.00333153,0.00333153,0.00333153
2,509.915,1.85313,3.41165,2.00045,0.22541,0.12231,0.0691,0.04003,1.72382,2.75013,1.86879,0.00665167,0.00665167,0.00665167
3,765.219,1.60068,2.82906,1.71928,0.24195,0.17257,0.1276,0.07766,1.55847,2.39443,1.67656,0.0099586,0.0099586,0.0099586
4,1019.11,1.47858,2.47754,1.59055,0.33925,0.24482,0.20656,0.13298,1.41171,2.01999,1.5427,0.0099406,0.0099406,0.0099406
5,1274.41,1.39857,2.24803,1.51531,0.37865,0.27925,0.25946,0.1708,1.34038,1.84194,1.47216,0.0099208,0.0099208,0.0099208
6,1527.17,1.35189,2.12595,1.47319,0.43757,0.30351,0.29933,0.20201,1.29026,1.72266,1.42901,0.009901,0.009901,0.009901
7,1781.15,1.32327,2.03275,1.44127,0.45556,0.32955,0.32509,0.22008,1.26119,1.64788,1.39737,0.0098812,0.0098812,0.0098812
8,2035.65,1.30278,1.97031,1.41898,0.45299,0.34502,0.34005,0.23243,1.23656,1.59742,1.37647,0.0098614,0.0098614,0.0098614
9,2288.96,1.28099,1.92193,1.39895,0.47947,0.35225,0.35233,0.24179,1.22597,1.56143,1.36482,0.0098416,0.0098416,0.0098416
10,2542.16,1.27261,1.87434,1.38626,0.48326,0.36137,0.3607,0.24791,1.21561,1.53723,1.35432,0.0098218,0.0098218,0.0098218
11,2796.9,1.25728,1.84863,1.37265,0.49244,0.36343,0.36739,0.25322,1.20778,1.52034,1.34656,0.009802,0.009802,0.009802
12,3049.41,1.25038,1.81596,1.36459,0.50431,0.36564,0.37313,0.25784,1.20153,1.50587,1.33999,0.0097822,0.0097822,0.0097822
13,3303.41,1.24453,1.79481,1.35851,0.50608,0.37318,0.37911,0.26223,1.19462,1.4935,1.33324,0.0097624,0.0097624,0.0097624
14,3557.38,1.23371,1.76976,1.34992,0.51668,0.37295,0.38454,0.26633,1.18854,1.48246,1.32686,0.0097426,0.0097426,0.0097426
15,3811.27,1.23182,1.75761,1.34543,0.52252,0.3794,0.38955,0.27059,1.18286,1.47172,1.32142,0.0097228,0.0097228,0.0097228
16,4064.15,1.22718,1.73777,1.33986,0.5339,0.3769,0.3944,0.27478,1.17766,1.46217,1.31659,0.009703,0.009703,0.009703
17,4318.03,1.22341,1.72423,1.33419,0.53589,0.38181,0.39915,0.27874,1.17174,1.4518,1.31137,0.0096832,0.0096832,0.0096832
18,4571.52,1.21373,1.71522,1.3299,0.54496,0.38233,0.40307,0.28197,1.1682,1.44242,1.30739,0.0096634,0.0096634,0.0096634
19,4823.84,1.21299,1.70286,1.32644,0.54553,0.38694,0.40812,0.2855,1.16478,1.43288,1.30336,0.0096436,0.0096436,0.0096436
20,5077.43,1.20654,1.69168,1.32249,0.5575,0.38907,0.41337,0.28986,1.16077,1.42436,1.29856,0.0096238,0.0096238,0.0096238
21,5329.99,1.20663,1.68307,1.31907,0.56108,0.3928,0.41837,0.29359,1.15654,1.41408,1.29388,0.009604,0.009604,0.009604
22,5583.23,1.20214,1.66904,1.31648,0.56563,0.39674,0.42273,0.29676,1.15204,1.40431,1.28915,0.0095842,0.0095842,0.0095842
23,5835.44,1.20239,1.66224,1.31367,0.56707,0.40106,0.4275,0.30077,1.14828,1.394,1.28486,0.0095644,0.0095644,0.0095644
24,6088.79,1.1965,1.65135,1.31287,0.56409,0.40671,0.43141,0.30387,1.14496,1.38409,1.2808,0.0095446,0.0095446,0.0095446
25,6342,1.19394,1.64757,1.30678,0.5657,0.40942,0.43582,0.30708,1.14258,1.37405,1.2777,0.0095248,0.0095248,0.0095248
26,6595.6,1.19286,1.64087,1.30543,0.56822,0.41262,0.43973,0.30958,1.13961,1.364,1.27401,0.009505,0.009505,0.009505
27,6848.33,1.19204,1.63617,1.30432,0.55589,0.41774,0.44363,0.31301,1.13635,1.35369,1.27027,0.0094852,0.0094852,0.0094852
28,7101.68,1.19053,1.62748,1.3029,0.56046,0.42202,0.4481,0.31623,1.13317,1.34444,1.26663,0.0094654,0.0094654,0.0094654
29,7355.43,1.18472,1.622,1.29857,0.57156,0.42368,0.45162,0.31862,1.13064,1.33451,1.26324,0.0094456,0.0094456,0.0094456
30,7609.44,1.18317,1.62035,1.29734,0.56991,0.42818,0.45535,0.32129,1.1281,1.32451,1.25997,0.0094258,0.0094258,0.0094258
31,7862.83,1.18553,1.61432,1.29646,0.57653,0.42921,0.45864,0.32398,1.12484,1.31526,1.25673,0.009406,0.009406,0.009406
32,8116.31,1.17946,1.60511,1.29339,0.58168,0.43311,0.46302,0.32715,1.1224,1.30697,1.25404,0.0093862,0.0093862,0.0093862
33,8369.96,1.17686,1.59796,1.29072,0.58427,0.43507,0.46655,0.32977,1.11952,1.29861,1.25131,0.0093664,0.0093664,0.0093664
34,8624.52,1.17818,1.59878,1.29078,0.58252,0.43803,0.46832,0.33103,1.11734,1.29192,1.24882,0.0093466,0.0093466,0.0093466
35,8877.81,1.17769,1.59337,1.28928,0.58123,0.43993,0.4706,0.33324,1.11488,1.28618,1.24635,0.0093268,0.0093268,0.0093268
36,9131.28,1.1772,1.59728,1.28964,0.5825,0.43995,0.47239,0.33451,1.11319,1.28,1.24433,0.009307,0.009307,0.009307
37,9383.8,1.1765,1.59014,1.28631,0.57995,0.44286,0.47472,0.33643,1.11169,1.27519,1.2425,0.0092872,0.0092872,0.0092872
38,9637.04,1.17261,1.57779,1.2843,0.57948,0.44591,0.47684,0.3378,1.10916,1.26949,1.23992,0.0092674,0.0092674,0.0092674
39,9890.09,1.1738,1.57555,1.28457,0.58769,0.44388,0.47838,0.33916,1.10745,1.2642,1.23805,0.0092476,0.0092476,0.0092476
40,10145,1.16978,1.57388,1.28348,0.59569,0.44551,0.4802,0.34037,1.1067,1.25987,1.23682,0.0092278,0.0092278,0.0092278
41,10398.6,1.17336,1.57079,1.28334,0.60146,0.4447,0.48179,0.34203,1.10554,1.25536,1.23572,0.009208,0.009208,0.009208
42,10652.5,1.1718,1.5692,1.28194,0.60473,0.4446,0.48426,0.34407,1.10488,1.25201,1.23485,0.0091882,0.0091882,0.0091882
43,10906.5,1.16888,1.56421,1.27895,0.59962,0.44755,0.48598,0.34551,1.10218,1.24783,1.23265,0.0091684,0.0091684,0.0091684
