epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.046,3.13941,5.08086,3.59503,0.43532,0.01556,0.00893,0.00409,2.23138,3.65377,2.52134,0.00333153,0.00333153,0.00333153
2,505.755,1.89262,3.49507,2.0127,0.28107,0.10172,0.06259,0.03501,1.75543,2.80749,1.87936,0.00665167,0.00665167,0.00665167
3,754.441,1.61648,2.86418,1.70098,0.24622,0.17378,0.12532,0.07547,1.57801,2.41045,1.65216,0.0099586,0.0099586,0.0099586
4,1005.55,1.48578,2.49179,1.56639,0.34296,0.2422,0.21186,0.13646,1.41433,2.00571,1.51189,0.0099406,0.0099406,0.0099406
5,1258.3,1.40223,2.25765,1.48679,0.41147,0.27826,0.26563,0.17517,1.3441,1.83488,1.44445,0.0099208,0.0099208,0.0099208
6,1509.32,1.35411,2.13266,1.44402,0.44636,0.30509,0.29944,0.20157,1.29259,1.71905,1.39987,0.009901,0.009901,0.009901
7,1761.5,1.32471,2.03763,1.41251,0.46474,0.32905,0.32378,0.22085,1.25582,1.6453,1.36642,0.0098812,0.0098812,0.0098812
8,2013.53,1.30411,1.97063,1.39304,0.48442,0.33551,0.34241,0.23498,1.23812,1.59809,1.34921,0.0098614,0.0098614,0.0098614
9,2265.59,1.28182,1.91936,1.37523,0.49266,0.34663,0.35534,0.24425,1.22369,1.56419,1.33609,0.0098416,0.0098416,0.0098416
10,2517.44,1.27374,1.87522,1.36325,0.47869,0.35606,0.36273,0.25026,1.21292,1.54098,1.32642,0.0098218,0.0098218,0.0098218
11,2770.8,1.25766,1.85084,1.35122,0.49542,0.36055,0.36841,0.2549,1.2048,1.52377,1.31904,0.009802,0.009802,0.009802
12,3022.91,1.25027,1.81656,1.34419,0.50786,0.36116,0.37451,0.25945,1.19847,1.50867,1.31285,0.0097822,0.0097822,0.0097822
13,3274.71,1.24459,1.79582,1.33793,0.50775,0.36624,0.37992,0.26383,1.19216,1.4946,1.30695,0.0097624,0.0097624,0.0097624
14,3527.06,1.23496,1.76987,1.33111,0.51169,0.37172,0.38457,0.26771,1.18679,1.48292,1.30196,0.0097426,0.0097426,0.0097426
15,3779.87,1.23261,1.75962,1.32692,0.51512,0.37764,0.38964,0.272,1.18171,1.47215,1.29721,0.0097228,0.0097228,0.0097228
16,4031.55,1.22709,1.73848,1.32113,0.5255,0.37867,0.3942,0.27593,1.17758,1.46208,1.29336,0.009703,0.009703,0.009703
17,4284.92,1.22544,1.72422,1.31726,0.53431,0.38038,0.3985,0.27893,1.17304,1.45347,1.28917,0.0096832,0.0096832,0.0096832
18,4537.35,1.21539,1.71688,1.314,0.53812,0.38375,0.40252,0.28199,1.16862,1.44412,1.28524,0.0096634,0.0096634,0.0096634
19,4790.17,1.21415,1.70401,1.31016,0.54651,0.38744,0.40732,0.28552,1.16384,1.43504,1.28103,0.0096436,0.0096436,0.0096436
20,5043.03,1.20865,1.69442,1.3067,0.55197,0.39051,0.4119,0.2889,1.15941,1.42504,1.27708,0.0096238,0.0096238,0.0096238
21,5295.02,1.20736,1.68196,1.30299,0.56302,0.39116,0.41703,0.29292,1.15482,1.41434,1.27304,0.009604,0.009604,0.009604
22,5546.4,1.20293,1.67083,1.30026,0.56719,0.39489,0.42209,0.29659,1.15077,1.40402,1.26882,0.0095842,0.0095842,0.0095842
23,5799.38,1.20208,1.66446,1.29801,0.57212,0.39411,0.42751,0.30075,1.14749,1.39398,1.26537,0.0095644,0.0095644,0.0095644
24,6050.77,1.19729,1.65372,1.29711,0.57507,0.39737,0.43184,0.30416,1.14346,1.38379,1.26164,0.0095446,0.0095446,0.0095446
25,6302.93,1.19534,1.65011,1.29339,0.57627,0.4023,0.43621,0.30766,1.14036,1.37403,1.25872,0.0095248,0.0095248,0.0095248
26,6556.16,1.19468,1.64134,1.29182,0.57557,0.40784,0.44084,0.31045,1.13684,1.36267,1.25487,0.009505,0.009505,0.009505
27,6808.69,1.19294,1.63946,1.29075,0.57919,0.40963,0.44483,0.31389,1.13306,1.35326,1.25101,0.0094852,0.0094852,0.0094852
28,7061.21,1.19231,1.62964,1.28936,0.58158,0.41036,0.44823,0.31644,1.13063,1.34453,1.24882,0.0094654,0.0094654,0.0094654
29,7312.87,1.18625,1.6257,1.2855,0.57859,0.41557,0.45257,0.31986,1.12785,1.33574,1.2458,0.0094456,0.0094456,0.0094456
30,7565.66,1.18431,1.6243,1.28579,0.58252,0.41711,0.45592,0.32254,1.12471,1.32765,1.24278,0.0094258,0.0094258,0.0094258
31,7817.51,1.18899,1.61677,1.28473,0.58467,0.4199,0.45925,0.32463,1.12191,1.31818,1.23956,0.009406,0.009406,0.009406
32,8070.86,1.1816,1.60704,1.28154,0.57698,0.42715,0.46342,0.32779,1.11993,1.3101,1.2371,0.0093862,0.0093862,0.0093862
33,8323.47,1.18045,1.60149,1.27996,0.58001,0.43039,0.46583,0.32987,1.11785,1.30222,1.23504,0.0093664,0.0093664,0.0093664
34,8575.13,1.17956,1.6035,1.28057,0.57771,0.43384,0.46839,0.33195,1.11554,1.29466,1.23281,0.0093466,0.0093466,0.0093466
35,8827.32,1.17928,1.59745,1.279,0.58398,0.43274,0.47029,0.33374,1.11332,1.28774,1.2305,0.0093268,0.0093268,0.0093268
36,9080.07,1.17876,1.59979,1.27892,0.58479,0.43632,0.47244,0.33514,1.11164,1.28126,1.22841,0.009307,0.009307,0.009307
37,9332.25,1.17764,1.59029,1.27619,0.58795,0.43929,0.47518,0.3368,1.10944,1.27533,1.22651,0.0092872,0.0092872,0.0092872
38,9585.47,1.17315,1.58204,1.27457,0.59216,0.43981,0.47787,0.33912,1.10757,1.27009,1.22452,0.0092674,0.0092674,0.0092674
39,9837.59,1.17374,1.579,1.27439,0.59539,0.4399,0.47947,0.34031,1.10576,1.26418,1.22289,0.0092476,0.0092476,0.0092476
40,10090,1.17216,1.57706,1.27407,0.59584,0.44222,0.48074,0.34157,1.10452,1.25814,1.22157,0.0092278,0.0092278,0.0092278
41,10342.4,1.17542,1.57412,1.27492,0.60098,0.44241,0.48296,0.34244,1.10379,1.25365,1.22032,0.009208,0.009208,0.009208
42,10593.9,1.17455,1.57074,1.27329,0.60177,0.44405,0.48525,0.34437,1.10263,1.24939,1.21883,0.0091882,0.0091882,0.0091882
43,10845.8,1.17133,1.56779,1.26986,0.60105,0.44537,0.48719,0.34579,1.10155,1.24482,1.2175,0.0091684,0.0091684,0.0091684
44,11098.6,1.16452,1.56385,1.26822,0.59904,0.44691,0.48904,0.34746,1.10032,1.24115,1.21634,0.0091486,0.0091486,0.0091486
45,11351.4,1.16526,1.56027,1.26863,0.59033,0.4544,0.4908,0.34865,1.0991,1.23763,1.21492,0.0091288,0.0091288,0.0091288
46,11603.1,1.16657,1.55856,1.26823,0.59289,0.45563,0.4923,0.34961,1.09785,1.23475,1.21382,0.009109,0.009109,0.009109
47,11855.7,1.16849,1.5593,1.26857,0.58856,0.46132,0.49323,0.35087,1.09608,1.2303,1.21213,0.0090892,0.0090892,0.0090892
48,12107.6,1.16525,1.55402,1.26652,0.586,0.46403,0.49425,0.3522,1.09428,1.22587,1.2108,0.0090694,0.0090694,0.0090694
49,12359.3,1.16299,1.54793,1.26629,0.58377,0.46498,0.49558,0.35358,1.09433,1.22276,1.21043,0.0090496,0.0090496,0.0090496
50,12611.1,1.16549,1.55319,1.26628,0.58207,0.46633,0.49711,0.35506,1.09301,1.21908,1.20934,0.0090298,0.0090298,0.0090298
51,12863.7,1.16341,1.54498,1.26728,0.58305,0.46913,0.49743,0.35561,1.09173,1.21639,1.20868,0.00901,0.00901,0.00901
52,13114.7,1.16264,1.54435,1.26555,0.58392,0.4707,0.49916,0.35655,1.0908,1.21353,1.20804,0.0089902,0.0089902,0.0089902
53,13367.4,1.15999,1.53837,1.26454,0.58428,0.47257,0.50063,0.35732,1.09056,1.211,1.20713,0.0089704,0.0089704,0.0089704
54,13619.6,1.16407,1.53486,1.26382,0.58914,0.46815,0.50176,0.35803,1.08968,1.20811,1.20645,0.0089506,0.0089506,0.0089506
55,13871.7,1.15693,1.53722,1.26229,0.58648,0.46978,0.50219,0.35886,1.08879,1.20593,1.20568,0.0089308,0.0089308,0.0089308
56,14123.2,1.15847,1.53585,1.26295,0.59527,0.46698,0.50373,0.35968,1.08758,1.20342,1.20479,0.008911,0.008911,0.008911
57,14374.8,1.15717,1.53355,1.26013,0.58639,0.47303,0.50408,0.36021,1.08763,1.2008,1.20425,0.0088912,0.0088912,0.0088912
58,14626.6,1.15888,1.52922,1.25972,0.58651,0.4754,0.50465,0.36073,1.08756,1.19885,1.20389,0.0088714,0.0088714,0.0088714
59,14879.6,1.15515,1.52836,1.25993,0.58761,0.47649,0.50548,0.36174,1.08667,1.19752,1.20296,0.0088516,0.0088516,0.0088516
60,15130.9,1.15902,1.52606,1.25945,0.5981,0.4725,0.50672,0.36229,1.08649,1.19499,1.20262,0.0088318,0.0088318,0.0088318
61,15383.7,1.15414,1.52249,1.25768,0.60044,0.47349,0.50787,0.36298,1.08578,1.19351,1.20175,0.008812,0.008812,0.008812
62,15635.6,1.15361,1.51936,1.25767,0.61018,0.46912,0.50778,0.36385,1.08456,1.19164,1.2007,0.0087922,0.0087922,0.0087922
63,15888.4,1.15299,1.51693,1.25675,0.61049,0.47286,0.5089,0.36448,1.08397,1.19032,1.20047,0.0087724,0.0087724,0.0087724
64,16140.3,1.15298,1.5215,1.25507,0.60544,0.47443,0.50985,0.36488,1.08335,1.18911,1.19994,0.0087526,0.0087526,0.0087526
65,16393.1,1.1537,1.51706,1.25573,0.6067,0.47532,0.50948,0.36516,1.08285,1.18777,1.19904,0.0087328,0.0087328,0.0087328
66,16645.3,1.15082,1.51558,1.2549,0.60138,0.47999,0.51068,0.36588,1.08257,1.18594,1.19898,0.008713,0.008713,0.008713
67,16898,1.14854,1.51491,1.2526,0.60676,0.47551,0.51033,0.36593,1.08126,1.18405,1.19815,0.0086932,0.0086932,0.0086932
68,17150.3,1.14791,1.51569,1.25435,0.60308,0.47768,0.51041,0.36583,1.08012,1.18174,1.19736,0.0086734,0.0086734,0.0086734
69,17402,1.15057,1.50999,1.25422,0.61325,0.47136,0.51129,0.36634,1.07897,1.18095,1.19667,0.0086536,0.0086536,0.0086536
70,17654.3,1.15201,1.50834,1.25411,0.60611,0.47557,0.51139,0.36664,1.07789,1.18042,1.19584,0.0086338,0.0086338,0.0086338
71,17906.1,1.14801,1.50593,1.25136,0.60587,0.47465,0.51128,0.36668,1.07765,1.17923,1.19527,0.008614,0.008614,0.008614
