epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.852,3.19039,4.99341,3.65536,0.47358,0.01101,0.00603,0.00248,2.54146,3.76525,2.86027,0.00332973,0.00332973,0.00332973
2,374.675,2.02591,3.55963,2.24033,0.27474,0.09775,0.06407,0.03303,1.89968,2.86592,2.09458,0.00664107,0.00664107,0.00664107
3,561.076,1.70302,2.95331,1.85339,0.20556,0.1703,0.11054,0.06233,1.71651,2.6211,1.82993,0.00993042,0.00993042,0.00993042
4,746.247,1.55777,2.54358,1.66765,0.317,0.23433,0.19698,0.11817,1.55177,2.16936,1.66425,0.009901,0.009901,0.009901
5,930.298,1.46813,2.28377,1.56715,0.37721,0.2691,0.24895,0.15444,1.46159,1.9678,1.55838,0.009868,0.009868,0.009868
6,1114.34,1.41753,2.13905,1.50797,0.45183,0.29996,0.29386,0.1869,1.40848,1.83501,1.505,0.009835,0.009835,0.009835
7,1298.38,1.38118,2.0414,1.46567,0.44536,0.32605,0.32196,0.20728,1.36234,1.73488,1.45488,0.009802,0.009802,0.009802
8,1482.71,1.35464,1.97457,1.43819,0.49328,0.34018,0.34332,0.22402,1.32625,1.66909,1.41792,0.009769,0.009769,0.009769
9,1666.73,1.33495,1.91733,1.4133,0.50706,0.36032,0.36732,0.24166,1.29961,1.60757,1.38635,0.009736,0.009736,0.009736
10,1851.49,1.32226,1.87343,1.39428,0.52001,0.36647,0.38115,0.25201,1.28276,1.56413,1.36545,0.009703,0.009703,0.009703
11,2035.49,1.30874,1.8372,1.37791,0.53793,0.374,0.39472,0.26352,1.26344,1.52716,1.34676,0.00967,0.00967,0.00967
12,2219.17,1.29642,1.80887,1.36663,0.53887,0.38819,0.40801,0.2735,1.24779,1.48938,1.33075,0.009637,0.009637,0.009637
13,2403.28,1.28628,1.78363,1.35454,0.54655,0.3941,0.41721,0.28035,1.23655,1.46699,1.31824,0.009604,0.009604,0.009604
14,2587.43,1.277,1.75821,1.34301,0.54213,0.40134,0.42604,0.28723,1.22569,1.44677,1.30617,0.009571,0.009571,0.009571
15,2772.11,1.27243,1.74728,1.33606,0.54842,0.408,0.43107,0.29245,1.21536,1.43139,1.29592,0.009538,0.009538,0.009538
16,2956.2,1.26615,1.72841,1.32946,0.56848,0.40638,0.43701,0.29653,1.20992,1.41883,1.28897,0.009505,0.009505,0.009505
17,3141.14,1.26236,1.70567,1.32137,0.57691,0.40782,0.44165,0.30021,1.20284,1.40589,1.28121,0.009472,0.009472,0.009472
18,3325.39,1.25655,1.70111,1.31673,0.56162,0.41625,0.44461,0.30288,1.19876,1.39782,1.27644,0.009439,0.009439,0.009439
19,3509.89,1.24943,1.68459,1.30785,0.57067,0.41429,0.44729,0.3054,1.19475,1.39096,1.27237,0.009406,0.009406,0.009406
20,3694.47,1.24584,1.67339,1.30395,0.57008,0.41754,0.44973,0.30708,1.192,1.38494,1.26888,0.009373,0.009373,0.009373
21,3878.47,1.2426,1.66371,1.29867,0.57728,0.41656,0.45127,0.30888,1.18901,1.37992,1.26569,0.00934,0.00934,0.00934
22,4062.69,1.23828,1.64872,1.29188,0.58541,0.41448,0.45278,0.31032,1.18736,1.37568,1.26298,0.009307,0.009307,0.009307
23,4247.41,1.2336,1.63987,1.28771,0.57714,0.42036,0.45454,0.31196,1.18501,1.37109,1.26028,0.009274,0.009274,0.009274
24,4431.71,1.2293,1.62928,1.28445,0.58018,0.41981,0.45611,0.31292,1.18301,1.36703,1.25785,0.009241,0.009241,0.009241
25,4615.88,1.22538,1.62446,1.27907,0.58183,0.42026,0.45698,0.31404,1.18134,1.36411,1.25572,0.009208,0.009208,0.009208
26,4799.65,1.22526,1.61342,1.27684,0.57784,0.42337,0.4583,0.31495,1.17932,1.36134,1.25343,0.009175,0.009175,0.009175
27,4983.5,1.22349,1.61028,1.27494,0.58104,0.42433,0.46004,0.31629,1.17795,1.35845,1.25155,0.009142,0.009142,0.009142
28,5167.32,1.22076,1.60195,1.27117,0.58057,0.42484,0.46114,0.31732,1.17663,1.35572,1.24976,0.009109,0.009109,0.009109
29,5351.35,1.21653,1.59539,1.26857,0.57868,0.42564,0.46294,0.31867,1.17567,1.35369,1.24843,0.009076,0.009076,0.009076
30,5536.35,1.2147,1.59052,1.2659,0.57955,0.42611,0.46345,0.31944,1.17453,1.35229,1.24683,0.009043,0.009043,0.009043
31,5720.77,1.21269,1.5808,1.26196,0.58146,0.42746,0.46456,0.32034,1.17356,1.35138,1.24533,0.00901,0.00901,0.00901
32,5904.82,1.20812,1.572,1.25834,0.58147,0.42675,0.46521,0.32088,1.1723,1.35089,1.24357,0.008977,0.008977,0.008977
33,6088.38,1.20637,1.56886,1.25515,0.5749,0.4334,0.46635,0.32158,1.17111,1.35046,1.24192,0.008944,0.008944,0.008944
34,6272.34,1.20555,1.56791,1.2532,0.57648,0.43224,0.46687,0.32229,1.17041,1.35006,1.24047,0.008911,0.008911,0.008911
35,6456.82,1.20788,1.5662,1.25348,0.57931,0.43254,0.46757,0.32331,1.1694,1.35005,1.23894,0.008878,0.008878,0.008878
36,6641.09,1.20276,1.55758,1.24969,0.57762,0.43512,0.46867,0.32431,1.1686,1.34878,1.23728,0.008845,0.008845,0.008845
37,6825.19,1.20354,1.55112,1.24906,0.57733,0.4356,0.46921,0.32514,1.16731,1.34779,1.23547,0.008812,0.008812,0.008812
38,7009.35,1.19873,1.54618,1.24664,0.57809,0.43658,0.47031,0.32623,1.16609,1.34632,1.23359,0.008779,0.008779,0.008779
39,7193.05,1.20022,1.54537,1.24596,0.58594,0.43402,0.47107,0.32719,1.16473,1.34556,1.2316,0.008746,0.008746,0.008746
40,7376.65,1.19616,1.53709,1.24149,0.58672,0.43429,0.47212,0.32843,1.16353,1.34412,1.23005,0.008713,0.008713,0.008713
41,7559.93,1.19798,1.531,1.24206,0.58714,0.4357,0.47289,0.32909,1.16243,1.34188,1.2283,0.00868,0.00868,0.00868
42,7744.48,1.1964,1.5332,1.24115,0.58136,0.43828,0.47392,0.33007,1.16122,1.34087,1.22671,0.008647,0.008647,0.008647
43,7928.43,1.1945,1.52781,1.23991,0.58219,0.43906,0.47528,0.33109,1.15998,1.33869,1.22515,0.008614,0.008614,0.008614
44,8112.43,1.19013,1.52599,1.23871,0.58285,0.43925,0.47631,0.33191,1.15889,1.33631,1.22348,0.008581,0.008581,0.008581
45,8297.25,1.1906,1.52188,1.23564,0.58726,0.43836,0.47811,0.33331,1.15725,1.33338,1.22141,0.008548,0.008548,0.008548
46,8482.47,1.18928,1.51842,1.23517,0.58999,0.43818,0.47914,0.33428,1.15601,1.3306,1.21957,0.008515,0.008515,0.008515
47,8666.45,1.19017,1.51603,1.23513,0.58663,0.44044,0.48038,0.33516,1.15444,1.3273,1.21767,0.008482,0.008482,0.008482
48,8848.63,1.18846,1.51254,1.23353,0.59046,0.44152,0.48157,0.33644,1.15245,1.32392,1.21562,0.008449,0.008449,0.008449
49,9030.38,1.18794,1.50715,1.23226,0.59409,0.44238,0.48301,0.33748,1.1505,1.3201,1.2133,0.008416,0.008416,0.008416
50,9213.71,1.18548,1.50954,1.23083,0.59578,0.4423,0.48383,0.33831,1.14859,1.31633,1.21133,0.008383,0.008383,0.008383
51,9396.74,1.18299,1.50324,1.23027,0.59855,0.44266,0.48561,0.33984,1.14703,1.31213,1.20931,0.00835,0.00835,0.00835
52,9580.04,1.18459,1.49967,1.22932,0.60484,0.44243,0.48767,0.34118,1.14557,1.3085,1.20759,0.008317,0.008317,0.008317
53,9762.49,1.18169,1.49373,1.22845,0.60633,0.44303,0.48951,0.34257,1.14389,1.30432,1.20563,0.008284,0.008284,0.008284
54,9945.55,1.18054,1.49095,1.22706,0.61006,0.44264,0.4911,0.34384,1.14255,1.30044,1.20393,0.008251,0.008251,0.008251
55,10128.1,1.17886,1.49365,1.227,0.60122,0.44837,0.49262,0.34501,1.14093,1.29576,1.20213,0.008218,0.008218,0.008218
56,10310.9,1.17769,1.48896,1.22575,0.60507,0.44744,0.49431,0.34644,1.13913,1.29138,1.19998,0.008185,0.008185,0.008185
57,10494.1,1.17549,1.48662,1.22376,0.60698,0.44909,0.49584,0.34763,1.13691,1.28688,1.19798,0.008152,0.008152,0.008152
58,10677,1.18032,1.48349,1.22513,0.61026,0.44935,0.49671,0.34889,1.13539,1.28333,1.1962,0.008119,0.008119,0.008119
59,10859.9,1.17314,1.48134,1.22191,0.61143,0.45015,0.49807,0.35004,1.13421,1.27966,1.19468,0.008086,0.008086,0.008086
60,11043.7,1.17518,1.47818,1.22241,0.6104,0.45088,0.49934,0.35132,1.13285,1.27532,1.19307,0.008053,0.008053,0.008053
61,11226.5,1.17319,1.47643,1.22088,0.61246,0.45244,0.5011,0.35317,1.13146,1.27107,1.19145,0.00802,0.00802,0.00802
62,11409.5,1.17348,1.47535,1.22005,0.61138,0.45363,0.5019,0.35371,1.1301,1.26736,1.1901,0.007987,0.007987,0.007987
63,11592.5,1.17042,1.47029,1.21712,0.61245,0.45478,0.50332,0.3549,1.12868,1.26358,1.1884,0.007954,0.007954,0.007954
64,11775.4,1.17249,1.47186,1.21993,0.61353,0.45533,0.50494,0.35624,1.12719,1.25978,1.1869,0.007921,0.007921,0.007921
65,11958.3,1.16864,1.46541,1.21659,0.61594,0.45589,0.50625,0.35692,1.12632,1.25547,1.18563,0.007888,0.007888,0.007888
66,12141.2,1.17004,1.46825,1.21745,0.61167,0.45839,0.5072,0.3579,1.12533,1.25203,1.1844,0.007855,0.007855,0.007855
67,12324.4,1.16595,1.4615,1.21467,0.60587,0.46194,0.50832,0.35883,1.12427,1.24862,1.18308,0.007822,0.007822,0.007822
68,12507.4,1.16797,1.46451,1.21673,0.60501,0.46402,0.50978,0.35981,1.12308,1.24567,1.18184,0.007789,0.007789,0.007789
69,12690.3,1.16354,1.45811,1.21374,0.60689,0.46537,0.51059,0.36059,1.12191,1.24269,1.18046,0.007756,0.007756,0.007756
70,12873.3,1.16843,1.4588,1.21409,0.60992,0.46632,0.51222,0.3615,1.12072,1.23936,1.17923,0.007723,0.007723,0.007723
71,13054.9,1.1649,1.4534,1.21366,0.61135,0.46728,0.51357,0.36257,1.11927,1.23619,1.17787,0.00769,0.00769,0.00769
72,13237.8,1.16604,1.45374,1.21342,0.61229,0.46741,0.51478,0.36341,1.1182,1.23293,1.17658,0.007657,0.007657,0.007657
73,13420.4,1.16688,1.45296,1.21256,0.60459,0.47445,0.51567,0.36403,1.11699,1.22943,1.17544,0.007624,0.007624,0.007624
74,13603.1,1.16192,1.44714,1.21114,0.60649,0.4747,0.51619,0.3648,1.11613,1.22649,1.17449,0.007591,0.007591,0.007591
75,13785.8,1.16303,1.44431,1.21057,0.60964,0.47429,0.51742,0.36567,1.11514,1.22378,1.1735,0.007558,0.007558,0.007558
76,13969.3,1.16016,1.44446,1.20978,0.61304,0.4742,0.51842,0.36629,1.11439,1.221,1.17273,0.007525,0.007525,0.007525
77,14151.8,1.164,1.44564,1.2099,0.61366,0.47523,0.51964,0.36729,1.11326,1.21778,1.17157,0.007492,0.007492,0.007492
78,14335.3,1.16046,1.44227,1.20832,0.61476,0.4755,0.52024,0.36798,1.11236,1.21496,1.17066,0.007459,0.007459,0.007459
79,14517.6,1.15823,1.43739,1.20707,0.61249,0.47726,0.52078,0.36878,1.11173,1.21247,1.16975,0.007426,0.007426,0.007426
80,14700.7,1.15528,1.43721,1.20623,0.61538,0.4757,0.52199,0.36985,1.11095,1.20968,1.1686,0.007393,0.007393,0.007393
