epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1081.72,7.29105,12.7167,7.82743,0.0003,0.00298,0.00017,8e-05,6.53184,9.56354,6.63513,0.0700162,0.00333153,0.00333153
2,2153.65,5.04383,9.16972,4.85296,0.06303,0.06843,0.01053,0.00553,3.95206,7.18067,4.06837,0.040003,0.00665167,0.00665167
3,3223.28,3.92918,7.16504,3.70545,0.23928,0.09755,0.06244,0.0376,3.34185,5.62217,3.45046,0.00997663,0.0099586,0.0099586
4,4291.8,3.58684,5.98998,3.37361,0.26328,0.17579,0.1352,0.08415,3.06917,4.75946,3.18086,0.0099406,0.0099406,0.0099406
5,5360.7,3.38207,5.30982,3.1982,0.31362,0.2333,0.19848,0.12686,2.90664,4.23475,3.0404,0.0099208,0.0099208,0.0099208
6,6430.51,3.27738,4.93009,3.10148,0.37802,0.26799,0.24159,0.15739,2.81097,3.94349,2.9527,0.009901,0.009901,0.009901
7,7500.2,3.19281,4.66353,3.02386,0.40818,0.29735,0.28202,0.18598,2.72213,3.70686,2.87493,0.0098812,0.0098812,0.0098812
8,8570.08,3.13688,4.46318,2.9728,0.42401,0.32452,0.31474,0.21008,2.65833,3.53177,2.81972,0.0098614,0.0098614,0.0098614
9,9640.76,3.07341,4.30722,2.92969,0.46805,0.34281,0.34784,0.2337,2.60137,3.37944,2.77454,0.0098416,0.0098416,0.0098416
10,10711,3.03442,4.17381,2.89346,0.45645,0.36919,0.36616,0.24861,2.54924,3.25172,2.72902,0.0098218,0.0098218,0.0098218
11,11780.8,2.99815,4.06179,2.85993,0.49484,0.37658,0.39279,0.26874,2.51581,3.13826,2.69264,0.009802,0.009802,0.009802
12,12850.4,2.96805,3.97009,2.83,0.4969,0.40205,0.41222,0.28406,2.47715,3.04682,2.66127,0.0097822,0.0097822,0.0097822
13,13920.5,2.9432,3.88642,2.80899,0.52019,0.4125,0.42644,0.29567,2.44299,2.97449,2.6345,0.0097624,0.0097624,0.0097624
14,14990.5,2.91647,3.82566,2.78934,0.52909,0.42295,0.44289,0.30809,2.41451,2.89819,2.60765,0.0097426,0.0097426,0.0097426
15,16059.9,2.89976,3.76068,2.77098,0.55478,0.4304,0.4598,0.32094,2.38985,2.8279,2.58792,0.0097228,0.0097228,0.0097228
16,17129.6,2.87138,3.69819,2.75185,0.55087,0.44445,0.46851,0.32887,2.36893,2.78609,2.5699,0.009703,0.009703,0.009703
17,18198.4,2.8569,3.62877,2.73187,0.58225,0.44546,0.48191,0.33957,2.34714,2.72818,2.55111,0.0096832,0.0096832,0.0096832
18,19267.9,2.83747,3.6018,2.72017,0.56647,0.45999,0.48862,0.34541,2.33194,2.69321,2.54048,0.0096634,0.0096634,0.0096634
19,20338.1,2.82634,3.54465,2.70923,0.57861,0.46546,0.49655,0.35244,2.31734,2.64993,2.52535,0.0096436,0.0096436,0.0096436
20,21407.8,2.80698,3.51436,2.69613,0.57696,0.47926,0.50355,0.35847,2.30102,2.61933,2.51246,0.0096238,0.0096238,0.0096238
21,22477.3,2.79349,3.47889,2.68568,0.59321,0.48239,0.51135,0.36429,2.28586,2.59015,2.49536,0.009604,0.009604,0.009604
22,23547.9,2.78873,3.43361,2.67363,0.60449,0.48644,0.51911,0.37132,2.2729,2.5559,2.48353,0.0095842,0.0095842,0.0095842
23,24618.9,2.7657,3.40179,2.66318,0.61056,0.49042,0.52639,0.37701,2.26078,2.5311,2.47369,0.0095644,0.0095644,0.0095644
24,25690.1,2.76043,3.38113,2.6563,0.61582,0.49446,0.53129,0.38125,2.25104,2.50747,2.46601,0.0095446,0.0095446,0.0095446
25,26760.6,2.74074,3.33425,2.64134,0.61976,0.49744,0.53748,0.38626,2.24125,2.48003,2.45794,0.0095248,0.0095248,0.0095248
26,27830.3,2.74149,3.31864,2.63604,0.63215,0.49637,0.54171,0.38991,2.23349,2.46003,2.44982,0.009505,0.009505,0.009505
27,28899.2,2.73348,3.29324,2.62457,0.63133,0.50061,0.54553,0.39333,2.22565,2.44113,2.44374,0.0094852,0.0094852,0.0094852
28,29968,2.71871,3.26614,2.62111,0.64223,0.50216,0.55003,0.39728,2.21792,2.42164,2.43764,0.0094654,0.0094654,0.0094654
29,31037.7,2.70889,3.25244,2.61758,0.64512,0.50176,0.55419,0.40036,2.20946,2.40891,2.43194,0.0094456,0.0094456,0.0094456
30,32106.7,2.70196,3.23205,2.60754,0.63519,0.5104,0.55738,0.40337,2.20389,2.3964,2.42763,0.0094258,0.0094258,0.0094258
31,33175,2.70004,3.21233,2.60192,0.63549,0.51553,0.56056,0.40623,2.19818,2.38435,2.42265,0.009406,0.009406,0.009406
32,34242.9,2.69051,3.19206,2.59364,0.64433,0.51319,0.56332,0.40831,2.19263,2.37397,2.41828,0.0093862,0.0093862,0.0093862
33,35311.2,2.67779,3.17126,2.59004,0.64762,0.51531,0.56526,0.41039,2.18794,2.36409,2.41447,0.0093664,0.0093664,0.0093664
34,36379.5,2.67036,3.1509,2.58074,0.64595,0.51839,0.56654,0.41166,2.18385,2.35622,2.41034,0.0093466,0.0093466,0.0093466
35,37447.1,2.67186,3.1408,2.5796,0.64386,0.52227,0.56848,0.41366,2.17986,2.34738,2.40726,0.0093268,0.0093268,0.0093268
36,38515.2,2.66216,3.12438,2.571,0.64612,0.52304,0.57075,0.41541,2.17536,2.33921,2.40391,0.009307,0.009307,0.009307
37,39583.1,2.65731,3.10763,2.56922,0.65053,0.521,0.57215,0.41677,2.17125,2.33147,2.40154,0.0092872,0.0092872,0.0092872
38,40650.8,2.64751,3.08899,2.56107,0.64601,0.52591,0.57361,0.41826,2.16788,2.32434,2.39903,0.0092674,0.0092674,0.0092674
39,41718.7,2.65116,3.08078,2.55887,0.65174,0.52412,0.57509,0.41956,2.16536,2.31963,2.39621,0.0092476,0.0092476,0.0092476
40,42787.1,2.63518,3.05906,2.54828,0.6542,0.52311,0.57642,0.42081,2.1623,2.3142,2.39389,0.0092278,0.0092278,0.0092278
41,43854.6,2.6444,3.05675,2.54946,0.65588,0.52332,0.57772,0.42221,2.15929,2.30883,2.39173,0.009208,0.009208,0.009208
42,44922.2,2.63484,3.04582,2.54679,0.65239,0.52727,0.57885,0.42284,2.15635,2.30348,2.38947,0.0091882,0.0091882,0.0091882
43,45989.7,2.62554,3.03156,2.54296,0.65227,0.52806,0.57978,0.42376,2.1538,2.29922,2.38756,0.0091684,0.0091684,0.0091684
44,47057.5,2.61552,3.01983,2.53804,0.65212,0.53016,0.58112,0.42481,2.1516,2.29469,2.38545,0.0091486,0.0091486,0.0091486
45,48124.5,2.60751,3.01058,2.53381,0.65374,0.53005,0.58183,0.42577,2.14961,2.29035,2.38356,0.0091288,0.0091288,0.0091288
46,49190.7,2.61235,3.00066,2.53447,0.65124,0.53292,0.58302,0.42673,2.14778,2.28515,2.38195,0.009109,0.009109,0.009109
47,50257.4,2.61421,2.98648,2.52993,0.65273,0.53323,0.58403,0.42764,2.145,2.28233,2.37987,0.0090892,0.0090892,0.0090892
48,51324.1,2.60504,2.99301,2.52704,0.65644,0.53302,0.58509,0.42853,2.14225,2.27864,2.37796,0.0090694,0.0090694,0.0090694
49,52391.7,2.60365,2.97341,2.52714,0.6479,0.5386,0.58652,0.42965,2.14154,2.27425,2.37728,0.0090496,0.0090496,0.0090496
50,53459.5,2.60265,2.96877,2.52182,0.6548,0.53535,0.58779,0.4314,2.13966,2.27,2.37599,0.0090298,0.0090298,0.0090298
51,54527.3,2.59393,2.95335,2.5176,0.65988,0.53372,0.58834,0.43197,2.1379,2.26658,2.37433,0.00901,0.00901,0.00901
52,55595.3,2.58904,2.94398,2.51589,0.66107,0.53406,0.58905,0.43256,2.13517,2.26336,2.37307,0.0089902,0.0089902,0.0089902
53,56663.2,2.58569,2.94252,2.51656,0.65358,0.53942,0.59026,0.43364,2.13396,2.26058,2.3724,0.0089704,0.0089704,0.0089704
54,57731.1,2.5819,2.93167,2.51117,0.65886,0.53791,0.59138,0.43452,2.13212,2.25894,2.37141,0.0089506,0.0089506,0.0089506
55,58799.7,2.57877,2.91783,2.50477,0.65848,0.53883,0.59235,0.4352,2.13071,2.25683,2.37036,0.0089308,0.0089308,0.0089308
56,59867.9,2.57917,2.91209,2.50545,0.65813,0.53991,0.5931,0.43572,2.12939,2.25345,2.36918,0.008911,0.008911,0.008911
57,60935.8,2.56875,2.91005,2.49903,0.65917,0.54166,0.59413,0.43645,2.12783,2.25046,2.36823,0.0088912,0.0088912,0.0088912
58,62003.3,2.57032,2.89617,2.49576,0.66501,0.53979,0.59531,0.4372,2.12665,2.24846,2.36698,0.0088714,0.0088714,0.0088714
59,63070.5,2.56553,2.90419,2.49978,0.66503,0.54084,0.59588,0.43801,2.12558,2.24562,2.36584,0.0088516,0.0088516,0.0088516
60,64137.9,2.57105,2.89696,2.49895,0.66797,0.54017,0.59679,0.43881,2.12413,2.24364,2.36528,0.0088318,0.0088318,0.0088318
61,65206.4,2.5644,2.88205,2.49273,0.66928,0.54036,0.59744,0.4396,2.12327,2.24093,2.3646,0.008812,0.008812,0.008812
62,66274.6,2.55929,2.87697,2.49457,0.66864,0.54139,0.59839,0.44068,2.12168,2.23874,2.36387,0.0087922,0.0087922,0.0087922
63,67343.1,2.56088,2.86272,2.48665,0.67026,0.54279,0.59936,0.4417,2.1204,2.23638,2.36357,0.0087724,0.0087724,0.0087724
64,68411.1,2.55614,2.87295,2.48773,0.66552,0.54752,0.60046,0.44279,2.11835,2.2345,2.36276,0.0087526,0.0087526,0.0087526
65,69479.2,2.55519,2.86221,2.48326,0.66988,0.54744,0.6013,0.44335,2.11736,2.23207,2.36161,0.0087328,0.0087328,0.0087328
66,70547.3,2.54642,2.85597,2.48612,0.66982,0.54768,0.6022,0.44384,2.11621,2.22937,2.3607,0.008713,0.008713,0.008713
67,71615.7,2.5405,2.84301,2.4761,0.66662,0.55141,0.60292,0.4449,2.11542,2.22734,2.35977,0.0086932,0.0086932,0.0086932
68,72684.2,2.54354,2.85885,2.48286,0.67326,0.54929,0.60369,0.4455,2.11452,2.22391,2.35885,0.0086734,0.0086734,0.0086734
