epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.851,3.00067,4.83678,3.45296,0.4867,0.02271,0.01733,0.00761,2.25752,3.52285,2.60457,0.00333153,0.00333153,0.00333153
2,618.559,1.88919,3.36901,2.0798,0.26482,0.12272,0.0851,0.04687,1.77836,2.74724,1.95494,0.00665167,0.00665167,0.00665167
3,928.517,1.64619,2.80916,1.77174,0.28812,0.20489,0.15482,0.09128,1.60184,2.31137,1.71414,0.0099586,0.0099586,0.0099586
4,1237.36,1.52791,2.45749,1.61952,0.3666,0.25864,0.24096,0.14943,1.46707,1.9908,1.57048,0.0099406,0.0099406,0.0099406
5,1546.43,1.44749,2.22695,1.52984,0.43547,0.30319,0.29399,0.18881,1.39064,1.81296,1.48505,0.0099208,0.0099208,0.0099208
6,1855.87,1.39825,2.10154,1.47986,0.46008,0.3301,0.33013,0.21341,1.34434,1.70501,1.43939,0.009901,0.009901,0.009901
7,2165.01,1.36777,2.00921,1.44299,0.47399,0.35067,0.35571,0.23105,1.31095,1.63681,1.40398,0.0098812,0.0098812,0.0098812
8,2473.65,1.34698,1.94375,1.41687,0.49046,0.36763,0.37252,0.24487,1.28813,1.58741,1.38111,0.0098614,0.0098614,0.0098614
9,2782.77,1.32541,1.89218,1.39473,0.51163,0.37142,0.38381,0.25398,1.27297,1.55634,1.36381,0.0098416,0.0098416,0.0098416
10,3092.12,1.31373,1.84513,1.37823,0.51933,0.37523,0.39181,0.26027,1.26191,1.53452,1.35203,0.0098218,0.0098218,0.0098218
11,3401.89,1.29609,1.82021,1.36185,0.53313,0.3755,0.39822,0.26526,1.25423,1.51783,1.34256,0.009802,0.009802,0.009802
12,3710.1,1.28861,1.7858,1.3518,0.53288,0.38322,0.40342,0.27002,1.24808,1.50393,1.33488,0.0097822,0.0097822,0.0097822
13,4019.62,1.28085,1.76445,1.34273,0.52908,0.38942,0.40864,0.274,1.2423,1.4903,1.32769,0.0097624,0.0097624,0.0097624
14,4328.93,1.26848,1.73926,1.33034,0.52681,0.3949,0.4143,0.27832,1.23769,1.47811,1.32173,0.0097426,0.0097426,0.0097426
15,4637.97,1.26701,1.72486,1.32312,0.53619,0.39783,0.41931,0.28217,1.23201,1.4664,1.31471,0.0097228,0.0097228,0.0097228
16,4946.37,1.25971,1.70341,1.3155,0.5416,0.40096,0.42366,0.28609,1.22628,1.45585,1.30788,0.009703,0.009703,0.009703
17,5256.27,1.25584,1.68901,1.30813,0.53536,0.40418,0.42868,0.2906,1.22092,1.4455,1.30146,0.0096832,0.0096832,0.0096832
18,5565.51,1.24477,1.68184,1.30214,0.52731,0.41483,0.43344,0.29444,1.2162,1.43497,1.29536,0.0096634,0.0096634,0.0096634
19,5875.13,1.24363,1.66787,1.29556,0.53774,0.41608,0.43756,0.29782,1.21163,1.42568,1.28945,0.0096436,0.0096436,0.0096436
20,6183.85,1.23679,1.65813,1.29017,0.54219,0.41826,0.44142,0.30109,1.20673,1.41546,1.28343,0.0096238,0.0096238,0.0096238
21,6492.53,1.23563,1.64723,1.28512,0.54678,0.41966,0.44557,0.30433,1.20191,1.40429,1.27725,0.009604,0.009604,0.009604
22,6800.89,1.23125,1.63532,1.28073,0.5534,0.42283,0.45012,0.30778,1.19649,1.39376,1.27035,0.0095842,0.0095842,0.0095842
23,7110.16,1.22865,1.62495,1.27612,0.55103,0.43102,0.45412,0.31109,1.19173,1.3841,1.26421,0.0095644,0.0095644,0.0095644
24,7419.23,1.22342,1.61547,1.27414,0.55116,0.43457,0.4582,0.31438,1.1877,1.37437,1.2588,0.0095446,0.0095446,0.0095446
25,7727.62,1.22009,1.61041,1.26886,0.54812,0.44055,0.46225,0.31786,1.18318,1.36441,1.25362,0.0095248,0.0095248,0.0095248
26,8036.49,1.21942,1.60318,1.26645,0.55968,0.43854,0.46578,0.32027,1.17944,1.35458,1.24848,0.009505,0.009505,0.009505
27,8346.03,1.21779,1.59826,1.26403,0.56227,0.44104,0.47077,0.32347,1.17623,1.34517,1.24362,0.0094852,0.0094852,0.0094852
28,8654.41,1.21605,1.59068,1.26191,0.5662,0.44123,0.47398,0.32619,1.17254,1.33609,1.23921,0.0094654,0.0094654,0.0094654
29,8963.64,1.2103,1.58445,1.25821,0.56566,0.4472,0.47674,0.32815,1.16897,1.32792,1.23511,0.0094456,0.0094456,0.0094456
30,9273.52,1.20783,1.5823,1.25574,0.56806,0.44964,0.47896,0.33054,1.16566,1.32069,1.23109,0.0094258,0.0094258,0.0094258
31,9581.18,1.21159,1.57718,1.25513,0.56778,0.45494,0.48222,0.33254,1.16231,1.31377,1.22668,0.009406,0.009406,0.009406
32,9890.1,1.20489,1.56432,1.25103,0.57806,0.45121,0.48494,0.33488,1.15881,1.307,1.22253,0.0093862,0.0093862,0.0093862
33,10198.3,1.20144,1.55753,1.24823,0.57324,0.45872,0.48774,0.33676,1.15551,1.29935,1.2187,0.0093664,0.0093664,0.0093664
34,10507.3,1.2022,1.55943,1.24779,0.56558,0.46677,0.49044,0.33887,1.15231,1.29294,1.21486,0.0093466,0.0093466,0.0093466
35,10816,1.2009,1.55308,1.24543,0.56895,0.46375,0.49201,0.34112,1.14975,1.28759,1.21182,0.0093268,0.0093268,0.0093268
36,11124.2,1.20096,1.55653,1.24579,0.57283,0.46565,0.49479,0.34332,1.14741,1.28203,1.20911,0.009307,0.009307,0.009307
37,11432.1,1.19921,1.54754,1.24312,0.5809,0.4643,0.49673,0.34486,1.14552,1.27638,1.20643,0.0092872,0.0092872,0.0092872
38,11740.9,1.19506,1.53939,1.24,0.59345,0.45857,0.49832,0.34637,1.14327,1.2714,1.20383,0.0092674,0.0092674,0.0092674
39,12049,1.19585,1.53534,1.23961,0.59463,0.46203,0.5003,0.34779,1.14119,1.26605,1.20146,0.0092476,0.0092476,0.0092476
40,12358.1,1.19374,1.53143,1.23824,0.60083,0.46234,0.50152,0.34946,1.13868,1.26183,1.19895,0.0092278,0.0092278,0.0092278
41,12667.6,1.19698,1.53092,1.23921,0.59866,0.46495,0.50291,0.35047,1.13673,1.25747,1.19686,0.009208,0.009208,0.009208
42,12976,1.19563,1.52762,1.23778,0.6005,0.4646,0.50415,0.35163,1.1351,1.25401,1.19509,0.0091882,0.0091882,0.0091882
43,13284,1.19143,1.5236,1.23495,0.59781,0.4673,0.50539,0.35241,1.13393,1.25082,1.19347,0.0091684,0.0091684,0.0091684
44,13593.3,1.18639,1.52148,1.23221,0.59628,0.46995,0.50697,0.3539,1.13263,1.24746,1.19179,0.0091486,0.0091486,0.0091486
45,13901.4,1.18635,1.5167,1.23312,0.59762,0.47138,0.5089,0.35462,1.13137,1.24435,1.1905,0.0091288,0.0091288,0.0091288
46,14211.5,1.18753,1.51548,1.23167,0.59867,0.47341,0.5103,0.35591,1.12987,1.24033,1.18865,0.009109,0.009109,0.009109
47,14519.3,1.18925,1.51698,1.23263,0.60043,0.47712,0.51253,0.35741,1.1287,1.23768,1.18781,0.0090892,0.0090892,0.0090892
48,14828.3,1.18527,1.51072,1.22967,0.60326,0.47575,0.51346,0.35841,1.12755,1.23425,1.18654,0.0090694,0.0090694,0.0090694
49,15136.2,1.18255,1.50494,1.22785,0.60338,0.47903,0.51507,0.35962,1.12703,1.23132,1.18558,0.0090496,0.0090496,0.0090496
50,15445.7,1.1854,1.50829,1.22873,0.61667,0.47454,0.51629,0.3607,1.12597,1.22929,1.18479,0.0090298,0.0090298,0.0090298
51,15754.3,1.18265,1.50141,1.22748,0.62043,0.47499,0.51714,0.36178,1.12516,1.22743,1.18357,0.00901,0.00901,0.00901
52,16064,1.18207,1.50379,1.22681,0.62095,0.47502,0.51784,0.36292,1.12357,1.22586,1.18211,0.0089902,0.0089902,0.0089902
53,16372.2,1.17875,1.49383,1.22509,0.61764,0.47798,0.5186,0.36379,1.12225,1.2235,1.18072,0.0089704,0.0089704,0.0089704
54,16681.4,1.18347,1.49065,1.22436,0.61447,0.48036,0.52025,0.3647,1.1209,1.22179,1.17932,0.0089506,0.0089506,0.0089506
55,16989.8,1.17688,1.49451,1.22235,0.61145,0.48355,0.52087,0.3656,1.12038,1.21925,1.17819,0.0089308,0.0089308,0.0089308
56,17298.6,1.17833,1.49172,1.22332,0.61773,0.48093,0.52146,0.36617,1.11955,1.21793,1.17742,0.008911,0.008911,0.008911
57,17606.8,1.17652,1.49219,1.22155,0.62178,0.48134,0.52269,0.36691,1.11849,1.21599,1.17638,0.0088912,0.0088912,0.0088912
58,17916.3,1.17809,1.48511,1.22073,0.61939,0.48269,0.52389,0.36799,1.11717,1.21387,1.1754,0.0088714,0.0088714,0.0088714
59,18225,1.17481,1.48528,1.22039,0.61936,0.48253,0.52464,0.36895,1.11704,1.2124,1.17493,0.0088516,0.0088516,0.0088516
60,18534.5,1.17849,1.484,1.21998,0.61827,0.48346,0.52537,0.3696,1.11632,1.21008,1.17427,0.0088318,0.0088318,0.0088318
61,18842.9,1.17443,1.47907,1.21786,0.62068,0.48339,0.52596,0.37011,1.11518,1.20741,1.17305,0.008812,0.008812,0.008812
62,19152.4,1.1734,1.47834,1.21821,0.62006,0.485,0.5269,0.37111,1.11445,1.20616,1.1724,0.0087922,0.0087922,0.0087922
63,19460.9,1.17322,1.47368,1.21744,0.62476,0.48243,0.52747,0.37173,1.11438,1.20469,1.17196,0.0087724,0.0087724,0.0087724
64,19770.3,1.17308,1.47887,1.21772,0.62045,0.48643,0.52795,0.37247,1.1139,1.20297,1.17156,0.0087526,0.0087526,0.0087526
65,20078.8,1.17234,1.47195,1.21624,0.62199,0.48584,0.52843,0.37273,1.11288,1.20061,1.17028,0.0087328,0.0087328,0.0087328
66,20388,1.17045,1.47286,1.21597,0.62641,0.484,0.52872,0.37297,1.11139,1.19922,1.16902,0.008713,0.008713,0.008713
67,20696.4,1.16826,1.47429,1.21421,0.62063,0.48795,0.52949,0.37291,1.11105,1.19763,1.16888,0.0086932,0.0086932,0.0086932
68,21005.5,1.16622,1.47206,1.21482,0.61795,0.48931,0.53036,0.37379,1.11019,1.1963,1.1676,0.0086734,0.0086734,0.0086734
69,21314.1,1.17014,1.46698,1.21523,0.62099,0.48853,0.53088,0.37438,1.10993,1.19459,1.16708,0.0086536,0.0086536,0.0086536
70,21623,1.17017,1.46733,1.21408,0.6154,0.49187,0.53145,0.37514,1.10954,1.19257,1.16672,0.0086338,0.0086338,0.0086338
71,21932,1.16683,1.46288,1.2111,0.61516,0.49164,0.53248,0.37594,1.10837,1.19115,1.16541,0.008614,0.008614,0.008614
72,22241.5,1.16866,1.46292,1.21243,0.61059,0.49531,0.53259,0.37607,1.10754,1.18977,1.16479,0.0085942,0.0085942,0.0085942
73,22550.6,1.16742,1.46186,1.21236,0.61357,0.49413,0.53298,0.37645,1.10709,1.1882,1.16427,0.0085744,0.0085744,0.0085744
74,22859.3,1.16541,1.45834,1.2116,0.61892,0.49003,0.53294,0.37656,1.1061,1.18722,1.16334,0.0085546,0.0085546,0.0085546
75,23167.8,1.16555,1.45345,1.2101,0.6256,0.487,0.53363,0.37688,1.10498,1.1856,1.16238,0.0085348,0.0085348,0.0085348
76,23476,1.16412,1.45478,1.20946,0.6301,0.4845,0.53459,0.37758,1.1043,1.18433,1.16205,0.008515,0.008515,0.008515
77,23784.3,1.16683,1.4538,1.20994,0.62279,0.48989,0.53476,0.37781,1.10454,1.18285,1.16215,0.0084952,0.0084952,0.0084952
78,24093.1,1.1649,1.4511,1.20833,0.63075,0.48791,0.53572,0.37862,1.10377,1.18111,1.1613,0.0084754,0.0084754,0.0084754
79,24401,1.16315,1.45218,1.20816,0.6395,0.48211,0.53675,0.37976,1.1031,1.17983,1.16065,0.0084556,0.0084556,0.0084556
80,24709.8,1.16109,1.44675,1.20779,0.6326,0.48631,0.53658,0.37953,1.10293,1.17969,1.16026,0.0084358,0.0084358,0.0084358
81,25017.5,1.16323,1.44842,1.2075,0.63023,0.48632,0.5358,0.37917,1.10222,1.17897,1.15986,0.008416,0.008416,0.008416
82,25326.8,1.16139,1.45021,1.2078,0.6273,0.49078,0.53676,0.38039,1.10212,1.17902,1.15985,0.0083962,0.0083962,0.0083962
83,25635.2,1.16465,1.45007,1.20844,0.63046,0.48937,0.53695,0.3804,1.1018,1.1787,1.15925,0.0083764,0.0083764,0.0083764
84,25944.2,1.16084,1.44857,1.20733,0.62806,0.49002,0.53717,0.38071,1.10121,1.17744,1.15858,0.0083566,0.0083566,0.0083566
85,26252.2,1.16298,1.44181,1.20646,0.63034,0.48942,0.53793,0.38081,1.10076,1.17626,1.158,0.0083368,0.0083368,0.0083368
86,26562.4,1.15838,1.4415,1.20383,0.62851,0.49059,0.53805,0.38079,1.10073,1.17475,1.15762,0.008317,0.008317,0.008317
87,26871,1.16054,1.44231,1.2048,0.63225,0.49214,0.53807,0.38063,1.10055,1.17347,1.15744,0.0082972,0.0082972,0.0082972
88,27180.2,1.16005,1.44358,1.20581,0.6365,0.48809,0.53857,0.38102,1.09974,1.17255,1.15681,0.0082774,0.0082774,0.0082774
89,27488.6,1.15687,1.43529,1.204,0.64407,0.4866,0.53894,0.38127,1.09904,1.1712,1.15634,0.0082576,0.0082576,0.0082576
90,27798,1.15664,1.43761,1.20262,0.64069,0.48835,0.53973,0.38166,1.09923,1.17042,1.15611,0.0082378,0.0082378,0.0082378
91,28106.7,1.1605,1.44014,1.20515,0.63371,0.49192,0.54042,0.38211,1.09899,1.16852,1.15579,0.008218,0.008218,0.008218
92,28415.3,1.15776,1.43629,1.20409,0.63636,0.49,0.54071,0.38224,1.09859,1.16795,1.15562,0.0081982,0.0081982,0.0081982
93,28723.7,1.15706,1.43444,1.20171,0.63218,0.49431,0.5415,0.38287,1.09843,1.16698,1.1554,0.0081784,0.0081784,0.0081784
94,29031.7,1.15823,1.43558,1.20243,0.62938,0.49373,0.54169,0.38329,1.09773,1.16585,1.15451,0.0081586,0.0081586,0.0081586
95,29340.7,1.15755,1.43607,1.20261,0.62631,0.49775,0.54225,0.38384,1.09724,1.16458,1.15408,0.0081388,0.0081388,0.0081388
96,29648.9,1.15435,1.43039,1.20147,0.61912,0.50078,0.54298,0.38464,1.09686,1.16339,1.15343,0.008119,0.008119,0.008119
97,29958.2,1.15812,1.42933,1.20123,0.61963,0.50229,0.5431,0.38484,1.09676,1.16266,1.15323,0.0080992,0.0080992,0.0080992
98,30266.3,1.15408,1.42704,1.20074,0.61237,0.50679,0.54335,0.38504,1.09626,1.16188,1.15309,0.0080794,0.0080794,0.0080794
99,30575.1,1.15385,1.42677,1.20011,0.6149,0.50643,0.54386,0.38523,1.09581,1.16116,1.15219,0.0080596,0.0080596,0.0080596
100,30884.3,1.15346,1.42607,1.19961,0.61403,0.50813,0.54446,0.38602,1.09578,1.16014,1.15207,0.0080398,0.0080398,0.0080398
101,31193.7,1.15265,1.42528,1.19912,0.61462,0.50951,0.54444,0.3862,1.09556,1.15984,1.15142,0.00802,0.00802,0.00802
102,31502.4,1.15268,1.42599,1.2004,0.61987,0.50627,0.54533,0.38624,1.09471,1.15913,1.15071,0.0080002,0.0080002,0.0080002
103,31811,1.15337,1.42449,1.19843,0.61784,0.50592,0.54572,0.38666,1.09477,1.15878,1.15048,0.0079804,0.0079804,0.0079804
104,32119.8,1.15154,1.42038,1.19774,0.62195,0.50258,0.54563,0.38696,1.09465,1.15825,1.15027,0.0079606,0.0079606,0.0079606
105,32429.5,1.15195,1.41703,1.19744,0.63401,0.49707,0.54614,0.38756,1.09414,1.15791,1.14985,0.0079408,0.0079408,0.0079408
106,32738.8,1.1498,1.41683,1.19744,0.64099,0.49695,0.54663,0.38755,1.09415,1.1573,1.15,0.007921,0.007921,0.007921
107,33047.8,1.15317,1.4231,1.20023,0.62977,0.50273,0.54645,0.38758,1.09386,1.15635,1.14968,0.0079012,0.0079012,0.0079012
108,33356.5,1.15163,1.41876,1.19953,0.63131,0.50328,0.54695,0.38818,1.09434,1.15528,1.14995,0.0078814,0.0078814,0.0078814
109,33665.2,1.15006,1.41534,1.19723,0.64002,0.49993,0.54717,0.3885,1.09403,1.15422,1.15016,0.0078616,0.0078616,0.0078616
110,33974,1.15225,1.41626,1.1975,0.63797,0.50087,0.54797,0.38893,1.09322,1.15305,1.14959,0.0078418,0.0078418,0.0078418
111,34282.7,1.14953,1.41497,1.19665,0.63563,0.50339,0.54842,0.38957,1.09191,1.15241,1.14856,0.007822,0.007822,0.007822
112,34591.7,1.14603,1.41499,1.19626,0.63525,0.50329,0.54746,0.38919,1.09133,1.15213,1.14805,0.0078022,0.0078022,0.0078022
113,34901,1.14983,1.41724,1.19751,0.63059,0.50616,0.5475,0.3886,1.0916,1.15167,1.14808,0.0077824,0.0077824,0.0077824
114,35210.4,1.14859,1.41334,1.19591,0.62858,0.50865,0.54807,0.38918,1.09119,1.15197,1.14748,0.0077626,0.0077626,0.0077626
115,35519.3,1.15077,1.41418,1.19588,0.62474,0.51131,0.54901,0.3896,1.09164,1.15101,1.14753,0.0077428,0.0077428,0.0077428
116,35827.6,1.14975,1.41126,1.19581,0.62126,0.51298,0.54941,0.39036,1.09098,1.15004,1.14698,0.007723,0.007723,0.007723
117,36136.4,1.14597,1.40892,1.19354,0.62662,0.5097,0.54964,0.39062,1.0899,1.14849,1.14665,0.0077032,0.0077032,0.0077032
118,36445.1,1.14578,1.4096,1.19521,0.6212,0.51241,0.54975,0.39064,1.09042,1.14804,1.14688,0.0076834,0.0076834,0.0076834
119,36754.7,1.14739,1.40898,1.19418,0.63135,0.5042,0.54963,0.3907,1.0905,1.14825,1.14691,0.0076636,0.0076636,0.0076636
120,37063.5,1.14654,1.40457,1.19397,0.63755,0.50385,0.55006,0.39115,1.08985,1.14678,1.14655,0.0076438,0.0076438,0.0076438
121,37371.8,1.147,1.40706,1.19389,0.63075,0.50659,0.55029,0.39112,1.08883,1.14649,1.14606,0.007624,0.007624,0.007624
122,37681.5,1.14587,1.40335,1.19153,0.63108,0.50817,0.55011,0.3912,1.08828,1.14596,1.14569,0.0076042,0.0076042,0.0076042
123,37989.9,1.14268,1.40398,1.19307,0.63871,0.50325,0.55061,0.3918,1.08822,1.14503,1.14561,0.0075844,0.0075844,0.0075844
124,38298.5,1.14489,1.40323,1.19123,0.6407,0.5043,0.55111,0.39191,1.08864,1.14412,1.14571,0.0075646,0.0075646,0.0075646
125,38607.5,1.1434,1.4046,1.19288,0.64423,0.50344,0.5508,0.39226,1.08787,1.14429,1.14496,0.0075448,0.0075448,0.0075448
126,38915.5,1.1455,1.40374,1.19303,0.63279,0.51009,0.55096,0.39209,1.08779,1.14406,1.14444,0.007525,0.007525,0.007525
127,39224.6,1.14466,1.40378,1.19132,0.63111,0.51093,0.55079,0.39217,1.0875,1.14397,1.1438,0.0075052,0.0075052,0.0075052
128,39534.3,1.14796,1.40342,1.19293,0.63538,0.50866,0.55164,0.39265,1.0875,1.14381,1.14378,0.0074854,0.0074854,0.0074854
129,39842,1.14347,1.40017,1.19228,0.63761,0.50882,0.55267,0.39327,1.08761,1.14298,1.1437,0.0074656,0.0074656,0.0074656
130,40151.6,1.14272,1.39378,1.19028,0.63298,0.51089,0.55265,0.39294,1.08658,1.14216,1.14305,0.0074458,0.0074458,0.0074458
