epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.733,2.94582,4.72361,3.36819,0.44695,0.03727,0.02269,0.01006,2.18776,3.33051,2.51196,0.00333153,0.00333153,0.00333153
2,708.974,1.83938,3.25271,2.04655,0.18538,0.1446,0.10161,0.05709,1.72749,2.62438,1.91754,0.00665167,0.00665167,0.00665167
3,1063,1.59367,2.69888,1.75172,0.29947,0.22083,0.18189,0.10963,1.54341,2.20161,1.69862,0.0099586,0.0099586,0.0099586
4,1416.32,1.47383,2.34173,1.60766,0.41602,0.28395,0.26979,0.17121,1.40747,1.88282,1.55676,0.0099406,0.0099406,0.0099406
5,1770.28,1.39207,2.11256,1.52369,0.4578,0.32539,0.32325,0.21132,1.33393,1.71563,1.47805,0.0099208,0.0099208,0.0099208
6,2123.57,1.34253,1.98727,1.47197,0.47003,0.35426,0.36111,0.23976,1.28323,1.61594,1.42571,0.009901,0.009901,0.009901
7,2476.69,1.31243,1.89919,1.43616,0.51484,0.37052,0.38465,0.25762,1.25193,1.54545,1.3944,0.0098812,0.0098812,0.0098812
8,2829.79,1.29111,1.83537,1.40929,0.53015,0.37878,0.40065,0.27051,1.23177,1.4994,1.37186,0.0098614,0.0098614,0.0098614
9,3183.24,1.26844,1.78791,1.38751,0.54467,0.39371,0.41399,0.28082,1.21574,1.46725,1.35504,0.0098416,0.0098416,0.0098416
10,3536.58,1.25824,1.7425,1.37221,0.54413,0.40372,0.42162,0.28701,1.2062,1.44634,1.3439,0.0098218,0.0098218,0.0098218
11,3888.63,1.23983,1.7183,1.35439,0.55144,0.40714,0.42766,0.29254,1.19884,1.43052,1.33474,0.009802,0.009802,0.009802
12,4241.88,1.23102,1.68559,1.34262,0.54552,0.40959,0.43289,0.29637,1.19219,1.41707,1.32715,0.0097822,0.0097822,0.0097822
13,4594.26,1.22517,1.66529,1.33254,0.55259,0.41267,0.43755,0.30047,1.18587,1.40441,1.31959,0.0097624,0.0097624,0.0097624
14,4947.17,1.21275,1.63876,1.32134,0.56074,0.41452,0.44306,0.30476,1.1798,1.39242,1.31234,0.0097426,0.0097426,0.0097426
15,5298.98,1.21048,1.62714,1.31452,0.55664,0.42242,0.4471,0.30858,1.17485,1.38095,1.30518,0.0097228,0.0097228,0.0097228
16,5651.16,1.20386,1.60858,1.30629,0.55723,0.42597,0.452,0.31289,1.16919,1.37014,1.29808,0.009703,0.009703,0.009703
17,6004.49,1.20142,1.59434,1.29992,0.57016,0.42599,0.45662,0.31629,1.16417,1.35906,1.29134,0.0096832,0.0096832,0.0096832
18,6356.47,1.19008,1.58443,1.29378,0.568,0.43286,0.46136,0.32015,1.15898,1.34896,1.2843,0.0096634,0.0096634,0.0096634
19,6709.49,1.19016,1.57272,1.28858,0.56703,0.43825,0.4657,0.32423,1.15459,1.33827,1.27753,0.0096436,0.0096436,0.0096436
20,7062.17,1.18234,1.56256,1.28347,0.5675,0.4447,0.47034,0.32828,1.15029,1.328,1.27139,0.0096238,0.0096238,0.0096238
21,7414.43,1.18164,1.55221,1.27858,0.56525,0.44578,0.47426,0.33184,1.14649,1.31857,1.26601,0.009604,0.009604,0.009604
22,7767.4,1.17652,1.54128,1.2737,0.56394,0.44854,0.47794,0.33527,1.14204,1.30835,1.25962,0.0095842,0.0095842,0.0095842
23,8120.29,1.17357,1.53189,1.2679,0.57824,0.44379,0.48125,0.33803,1.13778,1.29902,1.25361,0.0095644,0.0095644,0.0095644
24,8472.95,1.17001,1.52237,1.26544,0.57567,0.45077,0.48522,0.34135,1.13384,1.28938,1.2479,0.0095446,0.0095446,0.0095446
25,8825.33,1.16606,1.51781,1.25973,0.57913,0.45349,0.48901,0.34435,1.12963,1.27992,1.2426,0.0095248,0.0095248,0.0095248
26,9178.79,1.16596,1.51007,1.25801,0.58743,0.45176,0.49189,0.34708,1.12625,1.27124,1.23752,0.009505,0.009505,0.009505
27,9531.11,1.16397,1.50834,1.25664,0.58787,0.45871,0.49593,0.34977,1.12287,1.26328,1.23313,0.0094852,0.0094852,0.0094852
28,9884.22,1.1624,1.4983,1.25285,0.6074,0.45374,0.49962,0.35257,1.11996,1.25497,1.22915,0.0094654,0.0094654,0.0094654
29,10235.9,1.15697,1.49275,1.2487,0.60537,0.46245,0.50261,0.35542,1.11705,1.2471,1.22521,0.0094456,0.0094456,0.0094456
30,10589.5,1.15503,1.4901,1.24684,0.61554,0.4614,0.50555,0.35798,1.11318,1.23939,1.22061,0.0094258,0.0094258,0.0094258
31,10942.1,1.1578,1.48432,1.24538,0.60627,0.46668,0.50783,0.36024,1.10982,1.23225,1.2166,0.009406,0.009406,0.009406
32,11294,1.15189,1.47519,1.24125,0.61184,0.46835,0.5102,0.36249,1.10668,1.22551,1.21273,0.0093862,0.0093862,0.0093862
33,11646.4,1.14913,1.46846,1.23828,0.61265,0.47062,0.51214,0.36449,1.10379,1.21866,1.20899,0.0093664,0.0093664,0.0093664
34,11999.2,1.14956,1.46947,1.23785,0.60799,0.47363,0.51392,0.36585,1.10058,1.21279,1.20506,0.0093466,0.0093466,0.0093466
35,12351.1,1.14876,1.46407,1.2356,0.61067,0.47398,0.51534,0.3672,1.09836,1.20693,1.20207,0.0093268,0.0093268,0.0093268
36,12704.4,1.1487,1.46546,1.23537,0.61487,0.47623,0.51763,0.36902,1.09652,1.20254,1.19938,0.009307,0.009307,0.009307
37,13056.8,1.14615,1.45687,1.23123,0.61226,0.48061,0.51989,0.37043,1.0953,1.19765,1.19712,0.0092872,0.0092872,0.0092872
38,13409.3,1.14295,1.44825,1.23014,0.61664,0.48067,0.52138,0.37182,1.09305,1.19361,1.19471,0.0092674,0.0092674,0.0092674
39,13762.2,1.14365,1.44697,1.22967,0.62361,0.47846,0.52274,0.37306,1.09113,1.18935,1.19213,0.0092476,0.0092476,0.0092476
40,14114,1.14154,1.44408,1.22759,0.61637,0.48359,0.52445,0.3746,1.0889,1.18471,1.18979,0.0092278,0.0092278,0.0092278
41,14466.6,1.14455,1.44299,1.22792,0.62232,0.4832,0.52611,0.37632,1.0876,1.18048,1.18786,0.009208,0.009208,0.009208
42,14819.8,1.14238,1.43981,1.22592,0.62501,0.48481,0.52757,0.37761,1.08603,1.17599,1.18572,0.0091882,0.0091882,0.0091882
43,15172.1,1.14015,1.43606,1.22413,0.62279,0.48654,0.52935,0.3789,1.08453,1.17266,1.1838,0.0091684,0.0091684,0.0091684
44,15525.8,1.13409,1.43274,1.22129,0.61652,0.49429,0.53153,0.38012,1.08319,1.16823,1.18254,0.0091486,0.0091486,0.0091486
45,15879.4,1.13514,1.42921,1.22131,0.62581,0.49197,0.53275,0.38154,1.08207,1.16515,1.18107,0.0091288,0.0091288,0.0091288
46,16231.8,1.13596,1.42747,1.22069,0.63047,0.49251,0.53399,0.3824,1.08065,1.16162,1.17964,0.009109,0.009109,0.009109
47,16584.8,1.13738,1.42812,1.22001,0.63686,0.48852,0.53513,0.38389,1.0796,1.16012,1.1779,0.0090892,0.0090892,0.0090892
48,16937.5,1.13517,1.42445,1.2176,0.63603,0.49073,0.53663,0.38481,1.07833,1.15791,1.17605,0.0090694,0.0090694,0.0090694
49,17290.6,1.13117,1.41808,1.21559,0.63215,0.49352,0.53726,0.38555,1.0779,1.15541,1.17504,0.0090496,0.0090496,0.0090496
50,17644,1.13475,1.422,1.21633,0.63355,0.49249,0.53919,0.38638,1.07695,1.1523,1.174,0.0090298,0.0090298,0.0090298
51,17997.1,1.13215,1.41381,1.21536,0.63476,0.49338,0.54067,0.38713,1.07604,1.14929,1.17248,0.00901,0.00901,0.00901
52,18349.2,1.13127,1.41601,1.21423,0.6311,0.49598,0.54212,0.38847,1.07537,1.14664,1.17132,0.0089902,0.0089902,0.0089902
53,18701.7,1.12646,1.40596,1.21032,0.62906,0.49903,0.54336,0.38921,1.07404,1.14365,1.16918,0.0089704,0.0089704,0.0089704
54,19055.1,1.13183,1.40302,1.21148,0.63002,0.50086,0.54412,0.39041,1.07365,1.14201,1.16825,0.0089506,0.0089506,0.0089506
55,19407.6,1.12558,1.40755,1.21042,0.63022,0.50292,0.54468,0.39078,1.07215,1.1407,1.16703,0.0089308,0.0089308,0.0089308
56,19761,1.12697,1.40619,1.20976,0.62648,0.50291,0.54519,0.39129,1.07073,1.13853,1.16554,0.008911,0.008911,0.008911
57,20113,1.12624,1.40483,1.20752,0.63328,0.50025,0.54572,0.39174,1.06989,1.13671,1.16392,0.0088912,0.0088912,0.0088912
58,20465.4,1.12779,1.40009,1.20833,0.64133,0.49712,0.54638,0.39227,1.06941,1.13543,1.16347,0.0088714,0.0088714,0.0088714
59,20818.5,1.12397,1.3994,1.20706,0.63057,0.50364,0.54762,0.39311,1.06807,1.13434,1.1622,0.0088516,0.0088516,0.0088516
60,21170.3,1.1288,1.39699,1.20679,0.64196,0.49987,0.54835,0.3935,1.06733,1.13241,1.16112,0.0088318,0.0088318,0.0088318
61,21523.6,1.12384,1.39467,1.20546,0.64728,0.49889,0.54905,0.39413,1.06665,1.13066,1.16045,0.008812,0.008812,0.008812
62,21876.6,1.12327,1.39224,1.20541,0.6461,0.49954,0.54989,0.39504,1.06572,1.12925,1.1598,0.0087922,0.0087922,0.0087922
63,22228.6,1.12226,1.38798,1.20447,0.64237,0.50053,0.55018,0.39522,1.06514,1.12783,1.15921,0.0087724,0.0087724,0.0087724
64,22581.6,1.12228,1.39137,1.20385,0.64468,0.50023,0.55101,0.39589,1.0642,1.12584,1.15872,0.0087526,0.0087526,0.0087526
65,22934.2,1.12257,1.38791,1.2039,0.63866,0.5043,0.55205,0.39697,1.06304,1.12388,1.15786,0.0087328,0.0087328,0.0087328
66,23286.5,1.11927,1.38771,1.2029,0.63108,0.50694,0.55255,0.3977,1.06276,1.12183,1.15749,0.008713,0.008713,0.008713
67,23639.5,1.11868,1.38767,1.20024,0.634,0.50935,0.55386,0.39852,1.06223,1.12004,1.15657,0.0086932,0.0086932,0.0086932
68,23991.6,1.11722,1.38596,1.201,0.65566,0.49863,0.55465,0.39905,1.06183,1.12009,1.1559,0.0086734,0.0086734,0.0086734
69,24343.9,1.11955,1.38236,1.20159,0.64649,0.50362,0.55464,0.39928,1.06069,1.11901,1.15485,0.0086536,0.0086536,0.0086536
70,24697.2,1.12009,1.38051,1.20021,0.6417,0.50817,0.55561,0.39962,1.06081,1.11738,1.15455,0.0086338,0.0086338,0.0086338
71,25049.5,1.11692,1.37883,1.1979,0.64852,0.50386,0.55581,0.39996,1.05966,1.11577,1.15343,0.008614,0.008614,0.008614
72,25402.5,1.11874,1.37738,1.19796,0.65035,0.50262,0.55612,0.40026,1.05886,1.11456,1.15238,0.0085942,0.0085942,0.0085942
73,25754.7,1.11806,1.37626,1.198,0.63823,0.50952,0.55672,0.40087,1.05819,1.1131,1.15141,0.0085744,0.0085744,0.0085744
74,26107.6,1.11645,1.37349,1.19772,0.63801,0.51112,0.55771,0.40173,1.05752,1.11133,1.15063,0.0085546,0.0085546,0.0085546
75,26460.3,1.11594,1.36901,1.19562,0.65143,0.5049,0.55842,0.40219,1.05687,1.11071,1.14977,0.0085348,0.0085348,0.0085348
76,26813.4,1.115,1.37017,1.19556,0.64722,0.50684,0.55851,0.40271,1.05601,1.10908,1.14863,0.008515,0.008515,0.008515
77,27166.5,1.11827,1.3674,1.19669,0.64341,0.5104,0.55903,0.40293,1.05581,1.10742,1.14827,0.0084952,0.0084952,0.0084952
78,27519.9,1.11511,1.36592,1.19388,0.64696,0.50988,0.55973,0.40378,1.05595,1.10614,1.14793,0.0084754,0.0084754,0.0084754
79,27872.6,1.11316,1.36938,1.19401,0.64303,0.50994,0.55955,0.40393,1.05456,1.10513,1.14716,0.0084556,0.0084556,0.0084556
80,28225.5,1.11045,1.3626,1.19335,0.63975,0.51246,0.55955,0.40405,1.05429,1.10434,1.14704,0.0084358,0.0084358,0.0084358
81,28578.5,1.11455,1.36317,1.19348,0.63911,0.51303,0.56003,0.40471,1.05354,1.10455,1.14631,0.008416,0.008416,0.008416
82,28931.2,1.11122,1.36398,1.19364,0.64554,0.51156,0.56036,0.40524,1.05356,1.10365,1.14592,0.0083962,0.0083962,0.0083962
83,29284.3,1.11451,1.36773,1.19452,0.64643,0.51204,0.56082,0.40537,1.05319,1.10246,1.14555,0.0083764,0.0083764,0.0083764
84,29637.4,1.11135,1.36511,1.19378,0.647,0.51246,0.56158,0.40605,1.05287,1.1014,1.14506,0.0083566,0.0083566,0.0083566
85,29990,1.11288,1.35997,1.19269,0.64868,0.51217,0.56228,0.40629,1.05186,1.10055,1.14445,0.0083368,0.0083368,0.0083368
86,30343.4,1.10878,1.35794,1.19039,0.6464,0.51361,0.56269,0.40643,1.05122,1.1008,1.14384,0.008317,0.008317,0.008317
87,30697,1.11,1.35968,1.19063,0.64863,0.5117,0.56348,0.40665,1.05147,1.10034,1.14335,0.0082972,0.0082972,0.0082972
88,31049.9,1.11073,1.35946,1.19198,0.65378,0.5107,0.56364,0.40734,1.0509,1.09892,1.14295,0.0082774,0.0082774,0.0082774
89,31402.5,1.10701,1.35194,1.18964,0.65434,0.51314,0.56458,0.40791,1.04997,1.09714,1.14226,0.0082576,0.0082576,0.0082576
90,31755.5,1.10837,1.35317,1.18966,0.6653,0.5074,0.5652,0.40817,1.04985,1.09632,1.14173,0.0082378,0.0082378,0.0082378
91,32107.7,1.1114,1.35675,1.19152,0.66585,0.50717,0.5652,0.40862,1.04961,1.09525,1.14148,0.008218,0.008218,0.008218
92,32461.1,1.10869,1.35464,1.18995,0.65531,0.51232,0.56574,0.40883,1.04895,1.09431,1.14071,0.0081982,0.0081982,0.0081982
93,32814.4,1.10778,1.35153,1.18866,0.66104,0.51163,0.56625,0.40898,1.04899,1.09371,1.14058,0.0081784,0.0081784,0.0081784
94,33167.7,1.10865,1.35203,1.18826,0.66872,0.50763,0.56596,0.40891,1.04874,1.0929,1.14037,0.0081586,0.0081586,0.0081586
95,33520.5,1.10903,1.35385,1.1889,0.66734,0.50801,0.56621,0.40924,1.04869,1.09168,1.14014,0.0081388,0.0081388,0.0081388
96,33872.7,1.10551,1.34848,1.18767,0.67526,0.50445,0.56611,0.4091,1.04924,1.09078,1.14004,0.008119,0.008119,0.008119
97,34226.3,1.11033,1.34711,1.18825,0.66801,0.50731,0.56654,0.40922,1.0494,1.09039,1.13964,0.0080992,0.0080992,0.0080992
98,34579,1.10488,1.34498,1.18596,0.66407,0.50915,0.56677,0.40968,1.04871,1.08945,1.13902,0.0080794,0.0080794,0.0080794
99,34932,1.10555,1.34438,1.18729,0.65751,0.51186,0.56667,0.41008,1.04829,1.08807,1.13888,0.0080596,0.0080596,0.0080596
100,35286.1,1.1054,1.34436,1.1864,0.65684,0.51429,0.56778,0.41032,1.04885,1.08708,1.1392,0.0080398,0.0080398,0.0080398
101,35639.3,1.10331,1.34247,1.18606,0.65527,0.51582,0.56831,0.41048,1.04853,1.08647,1.13898,0.00802,0.00802,0.00802
102,35992.2,1.10267,1.34335,1.18596,0.65622,0.51384,0.56829,0.4104,1.048,1.08614,1.13839,0.0080002,0.0080002,0.0080002
