epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.134,2.97795,4.80136,3.41761,0.46696,0.02248,0.01628,0.00705,2.24102,3.49911,2.55798,0.00333153,0.00333153,0.00333153
2,728.712,1.92643,3.39311,2.11329,0.26974,0.13278,0.08813,0.04772,1.77787,2.69069,1.9318,0.00664287,0.00664287,0.00664287
3,1094.24,1.69722,2.8447,1.83033,0.26354,0.1996,0.15377,0.08896,1.60979,2.34749,1.72876,0.00993221,0.00993221,0.00993221
4,1459.49,1.58059,2.49546,1.67911,0.39294,0.25756,0.23803,0.14614,1.47265,2.01016,1.57142,0.009901,0.009901,0.009901
5,1824.55,1.50028,2.26522,1.59426,0.4307,0.30119,0.29094,0.18493,1.39963,1.83535,1.49384,0.009868,0.009868,0.009868
6,2189.33,1.45009,2.14195,1.54293,0.44526,0.32339,0.3244,0.20881,1.3504,1.72801,1.44819,0.009835,0.009835,0.009835
7,2553.98,1.42127,2.04959,1.50617,0.49231,0.34115,0.34922,0.22749,1.31926,1.66047,1.41324,0.009802,0.009802,0.009802
8,2918.78,1.4005,1.98357,1.47917,0.50412,0.35334,0.36615,0.23984,1.29853,1.61142,1.38882,0.009769,0.009769,0.009769
9,3283.49,1.37772,1.93244,1.45801,0.51235,0.36387,0.37943,0.24995,1.28339,1.57877,1.37421,0.009736,0.009736,0.009736
10,3648.45,1.36737,1.88387,1.44149,0.5153,0.3713,0.38654,0.25566,1.27321,1.55619,1.36377,0.009703,0.009703,0.009703
11,4013.11,1.3487,1.85673,1.42403,0.52678,0.37201,0.39209,0.26017,1.26504,1.5398,1.35477,0.00967,0.00967,0.00967
12,4377.2,1.34079,1.82099,1.41403,0.53951,0.37216,0.39731,0.26424,1.25831,1.52669,1.34784,0.009637,0.009637,0.009637
13,4742.16,1.33414,1.80055,1.40514,0.52824,0.38006,0.40129,0.26774,1.25191,1.51336,1.34039,0.009604,0.009604,0.009604
14,5107.21,1.32525,1.77543,1.39598,0.52796,0.38645,0.40657,0.27171,1.24519,1.49987,1.33288,0.009571,0.009571,0.009571
15,5472.58,1.31977,1.75756,1.38667,0.53579,0.39051,0.41121,0.27557,1.23933,1.48788,1.32616,0.009538,0.009538,0.009538
16,5837.29,1.31173,1.74029,1.37602,0.54203,0.39301,0.41641,0.27992,1.23337,1.47579,1.31927,0.009505,0.009505,0.009505
17,6202.56,1.30845,1.72519,1.36962,0.54177,0.39927,0.42139,0.28384,1.22676,1.46249,1.31154,0.009472,0.009472,0.009472
