epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.433,3.03389,4.86257,3.48705,0.53193,0.01716,0.01015,0.00413,2.39226,3.66716,2.73169,0.00333153,0.00333153,0.00333153
2,715.276,2.04344,3.58934,2.2583,0.21358,0.09993,0.06358,0.03312,1.89046,2.85494,2.09374,0.00664287,0.00664287,0.00664287
3,1068.22,1.77848,3.06041,1.94437,0.27415,0.16457,0.12285,0.06874,1.70832,2.49363,1.85186,0.00993221,0.00993221,0.00993221
4,1419.24,1.63998,2.67935,1.77879,0.3234,0.21882,0.18278,0.10766,1.58609,2.23485,1.71872,0.009901,0.009901,0.009901
5,1770.25,1.55548,2.41818,1.68423,0.34995,0.2603,0.23359,0.14135,1.5205,2.05301,1.63497,0.009868,0.009868,0.009868
6,2121.27,1.49887,2.26296,1.62456,0.42048,0.28258,0.26849,0.1652,1.46253,1.93731,1.57751,0.009835,0.009835,0.009835
7,2471.89,1.46071,2.14477,1.57882,0.43538,0.3057,0.29557,0.18542,1.4182,1.84896,1.52628,0.009802,0.009802,0.009802
8,2822.96,1.43417,2.05973,1.54802,0.46413,0.31635,0.31827,0.20259,1.39214,1.7738,1.49632,0.009769,0.009769,0.009769
9,3173.63,1.40532,1.99342,1.51854,0.46871,0.33362,0.33545,0.21541,1.36552,1.71501,1.46793,0.009736,0.009736,0.009736
10,3524.69,1.38883,1.93198,1.4954,0.49029,0.3453,0.3541,0.2293,1.34025,1.66374,1.44147,0.009703,0.009703,0.009703
11,3875.76,1.36655,1.89623,1.47518,0.50242,0.3637,0.37287,0.24302,1.31975,1.61979,1.41918,0.00967,0.00967,0.00967
12,4226.77,1.35611,1.84965,1.46138,0.52128,0.36651,0.38487,0.25244,1.30464,1.57838,1.40181,0.009637,0.009637,0.009637
13,4577.9,1.34464,1.81914,1.44885,0.52558,0.37866,0.39676,0.26136,1.28986,1.551,1.38672,0.009604,0.009604,0.009604
14,4928.5,1.332,1.78361,1.43653,0.51941,0.39424,0.40601,0.2699,1.27497,1.51245,1.37203,0.009571,0.009571,0.009571
15,5279.42,1.32453,1.76162,1.42537,0.51769,0.40785,0.41662,0.27734,1.26532,1.49748,1.36162,0.009538,0.009538,0.009538
16,5629.95,1.31425,1.73274,1.41355,0.54169,0.39838,0.42462,0.28365,1.25529,1.47462,1.3498,0.009505,0.009505,0.009505
17,5981.09,1.30891,1.70974,1.40434,0.53953,0.40596,0.43252,0.28967,1.24401,1.44844,1.33709,0.009472,0.009472,0.009472
18,6331.97,1.29618,1.69548,1.39754,0.55634,0.41021,0.43845,0.29417,1.23699,1.42978,1.32974,0.009439,0.009439,0.009439
19,6682.52,1.29302,1.67722,1.39066,0.54335,0.41983,0.44394,0.29969,1.22793,1.41501,1.32233,0.009406,0.009406,0.009406
20,7033.44,1.2829,1.66023,1.38213,0.56382,0.41959,0.4487,0.30314,1.21952,1.40055,1.31242,0.009373,0.009373,0.009373
