epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.854,7.34243,12.7117,7.92069,0.00011,0.00371,7e-05,2e-05,6.3068,9.75689,6.49507,0.0700324,0.00332973,0.00332973
2,872.648,4.72935,8.71778,4.47428,0.35137,0.01566,0.01143,0.00624,nan,nan,nan,0.0400192,0.00664987,0.00664987
3,1299.57,3.82334,7.08362,3.55414,0.16994,0.09441,0.05056,0.03041,3.32896,5.82112,3.50026,0.00999285,0.00995681,0.00995681
4,1726.66,3.43872,5.96352,3.20174,0.23129,0.15778,0.11506,0.07198,3.08091,4.9547,3.23596,0.0099406,0.0099406,0.0099406
5,2153.64,3.23821,5.24916,3.02555,0.28295,0.21799,0.17649,0.11398,2.8933,4.36418,3.06505,0.0099208,0.0099208,0.0099208
6,2581.03,3.11983,4.86165,2.9301,0.36779,0.26115,0.22527,0.14769,2.8002,4.02456,2.96274,0.009901,0.009901,0.009901
7,3008.56,3.02965,4.58497,2.8618,0.40413,0.28403,0.26822,0.17816,2.71538,3.81248,2.89209,0.0098812,0.0098812,0.0098812
8,3436.28,2.96158,4.37503,2.80667,0.42495,0.31804,0.30759,0.20606,2.63812,3.57477,2.82272,0.0098614,0.0098614,0.0098614
9,3863.6,2.90097,4.21416,2.75878,0.44209,0.34198,0.3347,0.22697,2.58867,3.44031,2.77538,0.0098416,0.0098416,0.0098416
10,4290.98,2.86081,4.06036,2.72677,0.48274,0.35194,0.35832,0.24485,2.54294,3.29333,2.74464,0.0098218,0.0098218,0.0098218
11,4718.16,2.81658,3.95059,2.69585,0.48912,0.36863,0.38358,0.264,2.50658,3.17697,2.70334,0.009802,0.009802,0.009802
12,5145.7,2.80533,3.8601,2.66767,0.51143,0.39055,0.40401,0.27935,2.46776,3.07201,2.67266,0.0097822,0.0097822,0.0097822
13,5572.94,2.77443,3.77471,2.63985,0.51202,0.41241,0.42383,0.29473,2.43358,2.99288,2.64387,0.0097624,0.0097624,0.0097624
14,6000.14,2.74655,3.69401,2.62042,0.5488,0.41728,0.43817,0.30526,2.41261,2.91468,2.62191,0.0097426,0.0097426,0.0097426
15,6427.22,2.73446,3.63228,2.60582,0.53942,0.43142,0.45168,0.31659,2.38104,2.86037,2.59547,0.0097228,0.0097228,0.0097228
16,6854.15,2.70646,3.58574,2.59173,0.56859,0.44042,0.46691,0.32851,2.36373,2.78713,2.57941,0.009703,0.009703,0.009703
17,7280.91,2.69641,3.52167,2.57702,0.57549,0.45053,0.47836,0.33843,2.34286,2.74654,2.56117,0.0096832,0.0096832,0.0096832
18,7708.32,2.66472,3.46314,2.56071,0.58348,0.45723,0.48704,0.34577,2.32489,2.70141,2.54431,0.0096634,0.0096634,0.0096634
19,8135.73,2.64115,3.4078,2.5425,0.58408,0.46332,0.4962,0.35372,2.30653,2.66017,2.52791,0.0096436,0.0096436,0.0096436
20,8563.15,2.63449,3.37911,2.53599,0.59215,0.47646,0.50712,0.36187,2.29116,2.61309,2.51437,0.0096238,0.0096238,0.0096238
21,8990.45,2.62023,3.34664,2.52672,0.61063,0.47334,0.51333,0.36854,2.27394,2.58202,2.50086,0.009604,0.009604,0.009604
22,9417.52,2.59804,3.30684,2.51231,0.6047,0.48513,0.51975,0.37358,2.2574,2.55113,2.48891,0.0095842,0.0095842,0.0095842
23,9844.87,2.5981,3.2729,2.5026,0.61745,0.48601,0.52672,0.37928,2.25018,2.52143,2.47927,0.0095644,0.0095644,0.0095644
24,10272,2.57213,3.23757,2.4928,0.61121,0.49456,0.53338,0.38444,2.23735,2.50271,2.46644,0.0095446,0.0095446,0.0095446
