epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.295,3.163,5.1703,3.6081,0.00322,0.1102,0.00484,0.00198,2.30159,3.81936,2.67475,0.00333153,0.00333153,0.00333153
2,935.114,2.01771,3.69066,2.23627,0.22309,0.06986,0.03016,0.01629,1.83548,inf,2.0611,0.00665167,0.00665167,0.00665167
3,1388.14,1.74836,3.14286,1.91521,0.22519,0.15067,0.09916,0.05816,1.64789,2.54692,1.79843,0.0099586,0.0099586,0.0099586
4,1838.29,1.59042,2.67888,1.74567,0.29937,0.22051,0.17799,0.10954,1.50322,2.18012,1.66837,0.0099406,0.0099406,0.0099406
5,2287.96,1.48924,2.3498,1.65156,0.36875,0.26241,0.24053,0.15223,1.41889,1.9655,1.58821,0.0099208,0.0099208,0.0099208
6,2737.22,1.42318,2.15856,1.59356,0.41113,0.29323,0.28232,0.18377,1.3569,1.8229,1.53331,0.009901,0.009901,0.009901
7,3186.96,1.37833,2.02133,1.54992,0.46984,0.31837,0.32242,0.21324,1.31306,1.71045,1.48625,0.0098812,0.0098812,0.0098812
8,3636.65,1.34687,1.92718,1.51869,0.47465,0.34528,0.34521,0.23014,1.27528,1.62842,1.4548,0.0098614,0.0098614,0.0098614
9,4086.36,1.31547,1.85573,1.49303,0.51038,0.35925,0.36777,0.24819,1.24987,1.56411,1.42655,0.0098416,0.0098416,0.0098416
10,4536.26,1.29721,1.79264,1.47247,0.52004,0.37353,0.3903,0.26383,1.22833,1.50876,1.40839,0.0098218,0.0098218,0.0098218
11,4985.55,1.27218,1.75197,1.45337,0.5224,0.39651,0.40909,0.27906,1.20839,1.46495,1.38889,0.009802,0.009802,0.009802
12,5435.1,1.26053,1.70552,1.44147,0.54445,0.39931,0.42186,0.28864,1.19149,1.42653,1.37329,0.0097822,0.0097822,0.0097822
13,5884.49,1.25115,1.67679,1.43112,0.54521,0.41251,0.43173,0.29771,1.17824,1.39698,1.3605,0.0097624,0.0097624,0.0097624
14,6333.98,1.23602,1.64264,1.42061,0.54615,0.42395,0.44461,0.30815,1.16507,1.3646,1.34973,0.0097426,0.0097426,0.0097426
15,6783.62,1.22895,1.62151,1.41037,0.57001,0.42957,0.45306,0.31505,1.15013,1.346,1.3372,0.0097228,0.0097228,0.0097228
16,7232.59,1.21931,1.59315,1.40084,0.56639,0.43274,0.4589,0.32033,1.14139,1.32296,1.32846,0.009703,0.009703,0.009703
