epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,938.952,5.47086,10.7761,6.20994,0.36217,0.01949,0.00973,0.00494,4.07779,8.70221,4.37277,0.00333243,0.00333243,0.00333243
2,1907.69,3.65246,7.18856,3.81037,0.24188,0.10486,0.07047,0.04094,3.37654,6.10386,3.56018,0.00664377,0.00664377,0.00664377
3,2876.4,3.39729,5.93435,3.47686,0.28961,0.19192,0.1495,0.09171,3.16547,5.00239,3.29079,0.0099331,0.0099331,0.0099331
4,3845.12,3.25711,5.22112,3.28872,0.35944,0.26047,0.23148,0.14748,2.97283,4.32024,3.07314,0.009901,0.009901,0.009901
5,4812.09,3.11109,4.74022,3.13303,0.41312,0.29785,0.28174,0.18428,2.84566,3.97127,2.93814,0.009868,0.009868,0.009868
6,5777.73,3.02035,4.47274,3.0368,0.43666,0.32485,0.31631,0.21018,2.76959,3.76041,2.85963,0.009835,0.009835,0.009835
7,6743.37,2.96362,4.28985,2.97042,0.46195,0.34018,0.33922,0.2277,2.71824,3.63379,2.80198,0.009802,0.009802,0.009802
8,7709.07,2.91715,4.14919,2.91864,0.47199,0.35342,0.3538,0.23833,2.68567,3.54904,2.76897,0.009769,0.009769,0.009769
9,8673.06,2.8877,4.05125,2.88074,0.47749,0.36101,0.36323,0.24619,2.65942,3.49526,2.74273,0.009736,0.009736,0.009736
10,9637.25,2.85709,3.96173,2.84287,0.48829,0.36524,0.37185,0.25304,2.64154,3.45224,2.7222,0.009703,0.009703,0.009703
11,10599.2,2.83053,3.88602,2.81559,0.50161,0.3664,0.37872,0.25883,2.62725,3.41312,2.70602,0.00967,0.00967,0.00967
12,11561.6,2.8106,3.82782,2.78918,0.50878,0.37159,0.38499,0.26435,2.61325,3.37947,2.68843,0.009637,0.009637,0.009637
13,12522.8,2.79302,3.76885,2.76802,0.51884,0.3738,0.39136,0.26909,2.60167,3.34437,2.67281,0.009604,0.009604,0.009604
14,13483.8,2.77675,3.73124,2.74724,0.52428,0.37437,0.39753,0.27381,2.58929,3.31396,2.65656,0.009571,0.009571,0.009571
15,14444.2,2.76303,3.69577,2.72756,0.52974,0.3782,0.4029,0.27815,2.57474,3.28753,2.63919,0.009538,0.009538,0.009538
16,15404.7,2.74971,3.65787,2.7103,0.54055,0.38011,0.40877,0.28278,2.56358,3.25633,2.62077,0.009505,0.009505,0.009505
17,16363.9,2.73789,3.62014,2.69768,0.52491,0.39279,0.41465,0.28755,2.55231,3.22662,2.60531,0.009472,0.009472,0.009472
18,17323.6,2.72894,3.59539,2.68358,0.53377,0.39412,0.42067,0.29235,2.54097,3.19725,2.58998,0.009439,0.009439,0.009439
19,18282.8,2.71615,3.56299,2.66951,0.54441,0.39888,0.42736,0.29767,2.52822,3.16604,2.57408,0.009406,0.009406,0.009406
20,19241.1,2.70911,3.54644,2.65867,0.54389,0.41014,0.43352,0.30239,2.51602,3.13497,2.55809,0.009373,0.009373,0.009373
21,20197.7,2.69954,3.52132,2.64971,0.55604,0.40956,0.43968,0.30762,2.50162,3.10369,2.54201,0.00934,0.00934,0.00934
22,21155.2,2.6936,3.50018,2.6384,0.56249,0.41108,0.44449,0.31145,2.48851,3.0747,2.5272,0.009307,0.009307,0.009307
23,22112.1,2.68641,3.48128,2.63151,0.56613,0.41759,0.45073,0.31669,2.47802,3.04462,2.51394,0.009274,0.009274,0.009274
24,23068.9,2.67873,3.46522,2.62108,0.57261,0.42304,0.45582,0.32052,2.46568,3.0172,2.49961,0.009241,0.009241,0.009241
25,24025.5,2.67413,3.4474,2.61215,0.57702,0.42955,0.46156,0.32526,2.45623,2.98673,2.48724,0.009208,0.009208,0.009208
26,24982,2.66845,3.42528,2.60507,0.58133,0.4335,0.46648,0.32903,2.44844,2.95752,2.47664,0.009175,0.009175,0.009175
27,25937.5,2.66032,3.42123,2.59889,0.58926,0.43433,0.47156,0.33318,2.43822,2.93091,2.46503,0.009142,0.009142,0.009142
28,26893.5,2.65635,3.4029,2.59148,0.59063,0.43704,0.47668,0.3366,2.43026,2.90566,2.45489,0.009109,0.009109,0.009109
29,27848.9,2.65349,3.38642,2.58642,0.59239,0.44187,0.48042,0.33939,2.42249,2.88359,2.44474,0.009076,0.009076,0.009076
30,28805.5,2.643,3.37652,2.58094,0.59635,0.44427,0.4855,0.34336,2.41506,2.8622,2.43517,0.009043,0.009043,0.009043
31,29761,2.64104,3.3691,2.57474,0.59958,0.44926,0.4891,0.34632,2.40944,2.84241,2.42722,0.00901,0.00901,0.00901
32,30717.4,2.63748,3.35415,2.56671,0.59783,0.45573,0.49209,0.34912,2.40336,2.82447,2.41896,0.008977,0.008977,0.008977
