epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.524,6.1991,11.7106,7.13752,0.00629,0.03653,0.0055,0.00199,4.60905,8.09978,5.07799,0.00333153,0.00333153,0.00333153
2,545.508,3.8181,7.82276,3.97257,0.21829,0.07198,0.04497,0.0258,3.5405,5.94825,3.72768,0.00665167,0.00665167,0.00665167
3,816.96,3.3788,6.08985,3.42875,0.25808,0.16497,0.12301,0.07398,3.24103,4.98536,3.33081,0.0099586,0.0099586,0.0099586
4,1085.82,3.17583,5.20869,3.16135,0.34976,0.24757,0.21894,0.13884,2.99223,4.19951,3.06253,0.0099406,0.0099406,0.0099406
5,1352.26,3.02109,4.69178,3.00421,0.40813,0.29185,0.27816,0.18268,2.84703,3.79482,2.91622,0.0099208,0.0099208,0.0099208
6,1622.16,2.92711,4.41013,2.91023,0.44939,0.32088,0.31951,0.21394,2.7527,3.57329,2.81941,0.009901,0.009901,0.009901
7,1893.94,2.87048,4.21172,2.84294,0.47542,0.34616,0.3499,0.23772,2.6842,3.41015,2.7508,0.0098812,0.0098812,0.0098812
8,2166.09,2.82687,4.07302,2.79412,0.48551,0.36174,0.36904,0.25222,2.64293,3.31723,2.70789,0.0098614,0.0098614,0.0098614
9,2438.64,2.78494,3.96578,2.75374,0.48706,0.37086,0.38133,0.26286,2.61644,3.24926,2.67803,0.0098416,0.0098416,0.0098416
10,2710.52,2.76531,3.8779,2.7223,0.4996,0.38104,0.38997,0.26943,2.59523,3.2042,2.6565,0.0098218,0.0098218,0.0098218
11,2983.09,2.73033,3.81729,2.68756,0.49416,0.39299,0.39795,0.27587,2.57945,3.17044,2.63812,0.009802,0.009802,0.009802
12,3254.31,2.7171,3.74948,2.66561,0.50707,0.39329,0.40356,0.28061,2.56811,3.14219,2.62333,0.0097822,0.0097822,0.0097822
13,3525.91,2.7035,3.70531,2.64483,0.51462,0.39723,0.40876,0.28482,2.55715,3.11706,2.60874,0.0097624,0.0097624,0.0097624
14,3797.9,2.67631,3.64849,2.62488,0.51642,0.40244,0.41368,0.28878,2.54581,3.09533,2.59563,0.0097426,0.0097426,0.0097426
