epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,893.877,2.85849,4.60585,3.31026,0.34005,0.05158,0.02865,0.01381,2.09104,3.21647,2.41846,0.00333153,0.00333153,0.00333153
2,1788.19,1.81099,3.14971,2.04031,0.26107,0.16501,0.12452,0.07264,1.64661,2.45648,1.84928,0.00664287,0.00664287,0.00664287
3,2681.13,1.57334,2.56694,1.76221,0.34047,0.25145,0.21339,0.13186,1.46375,2.09399,1.65766,0.00993221,0.00993221,0.00993221
4,3573.79,1.44917,2.20223,1.62961,0.44727,0.32185,0.31696,0.20775,1.32156,1.71905,1.51205,0.009901,0.009901,0.009901
5,4469,1.35556,1.96076,1.53942,0.49129,0.36968,0.37372,0.25057,1.23716,1.55412,1.43204,0.009868,0.009868,0.009868
6,5364.85,1.30574,1.82558,1.49147,0.54871,0.39543,0.41375,0.28332,1.18614,1.44742,1.38455,0.009835,0.009835,0.009835
7,6260.7,1.26945,1.74061,1.45733,0.53337,0.42044,0.43961,0.30448,1.1523,1.37651,1.35361,0.009802,0.009802,0.009802
8,7156.45,1.24663,1.67639,1.43337,0.5545,0.43662,0.45775,0.31858,1.13136,1.33347,1.33393,0.009769,0.009769,0.009769
9,8050.25,1.22522,1.62374,1.4112,0.57788,0.44321,0.47129,0.32931,1.11467,1.30567,1.31863,0.009736,0.009736,0.009736
10,8945.76,1.214,1.58775,1.39798,0.59371,0.44359,0.479,0.3362,1.10478,1.28651,1.30853,0.009703,0.009703,0.009703
11,9838.21,1.20118,1.55434,1.38251,0.60005,0.44505,0.48554,0.34179,1.097,1.27152,1.30094,0.00967,0.00967,0.00967
12,10735.7,1.19061,1.52892,1.37072,0.59361,0.45678,0.49143,0.34704,1.09067,1.2579,1.29399,0.009637,0.009637,0.009637
