loss_bbox: 0.2844 (0.4416)  loss_giou: 0.7648 (0.9212)  loss_vfl: 1.1486 (1.0782)  
loss_bbox: 0.2693 (0.2724)  loss_giou: 0.6772 (0.7101)  loss_vfl: 1.0089 (1.0411)  
loss_bbox: 0.2526 (0.2517)  loss_giou: 0.5853 (0.6701)  loss_vfl: 1.0417 (0.9871)  
loss_bbox: 0.2429 (0.2399)  loss_giou: 0.6041 (0.6489)  loss_vfl: 0.9555 (0.9527)  
loss_bbox: 0.2349 (0.2321)  loss_giou: 0.6292 (0.6329)  loss_vfl: 0.9149 (0.9303)  
loss_bbox: 0.2067 (0.2252)  loss_giou: 0.6068 (0.6228)  loss_vfl: 0.8953 (0.9127)  
loss_bbox: 0.1879 (0.2215)  loss_giou: 0.6079 (0.6134)  loss_vfl: 0.9300 (0.8993)  
loss_bbox: 0.1980 (0.2167)  loss_giou: 0.5875 (0.6053)  loss_vfl: 0.8444 (0.8891)  
loss_bbox: 0.2131 (0.2139)  loss_giou: 0.5968 (0.5993)  loss_vfl: 0.8773 (0.8787)  
loss_bbox: 0.2186 (0.2109)  loss_giou: 0.5380 (0.5927)  loss_vfl: 0.8524 (0.8698)  
loss_bbox: 0.1943 (0.2078)  loss_giou: 0.5953 (0.5873)  loss_vfl: 0.8447 (0.8628)  
loss_bbox: 0.1976 (0.2055)  loss_giou: 0.5129 (0.5826)  loss_vfl: 0.8992 (0.8561)  
loss_bbox: 0.1986 (0.2031)  loss_giou: 0.5122 (0.5810)  loss_vfl: 0.8696 (0.8500)  
loss_bbox: 0.1872 (0.2025)  loss_giou: 0.5578 (0.5744)  loss_vfl: 0.8489 (0.8450)  
loss_bbox: 0.1992 (0.2000)  loss_giou: 0.4638 (0.5721)  loss_vfl: 0.9197 (0.8416)  
loss_bbox: 0.1913 (0.1993)  loss_giou: 0.5917 (0.5708)  loss_vfl: 0.8128 (0.8368)  
loss_bbox: 0.1695 (0.1965)  loss_giou: 0.5809 (0.5678)  loss_vfl: 0.8059 (0.8336)  
loss_bbox: 0.2035 (0.1959)  loss_giou: 0.5195 (0.5637)  loss_vfl: 0.8958 (0.8298)  
loss_bbox: 0.1953 (0.1937)  loss_giou: 0.5016 (0.5620)  loss_vfl: 0.8563 (0.8254)  
loss_bbox: 0.1901 (0.1929)  loss_giou: 0.5756 (0.5598)  loss_vfl: 0.7622 (0.8227)  
loss_bbox: 0.1722 (0.1925)  loss_giou: 0.5564 (0.5571)  loss_vfl: 0.8198 (0.8206)  
loss_bbox: 0.1804 (0.1911)  loss_giou: 0.4874 (0.5549)  loss_vfl: 0.8501 (0.8185)  
loss_bbox: 0.1634 (0.1896)  loss_giou: 0.5290 (0.5514)  loss_vfl: 0.8404 (0.8152)  
loss_bbox: 0.1786 (0.1891)  loss_giou: 0.4815 (0.5505)  loss_vfl: 0.8327 (0.8113)  
loss_bbox: 0.1864 (0.1885)  loss_giou: 0.5168 (0.5482)  loss_vfl: 0.8151 (0.8108)  
loss_bbox: 0.1731 (0.1871)  loss_giou: 0.4394 (0.5477)  loss_vfl: 0.8292 (0.8064)  
loss_bbox: 0.1620 (0.1863)  loss_giou: 0.5018 (0.5443)  loss_vfl: 0.8399 (0.8057)  
loss_bbox: 0.1856 (0.1867)  loss_giou: 0.5200 (0.5449)  loss_vfl: 0.7818 (0.8015)  
loss_bbox: 0.1647 (0.1842)  loss_giou: 0.5706 (0.5424)  loss_vfl: 0.7661 (0.8014)  
loss_bbox: 0.1827 (0.1844)  loss_giou: 0.5057 (0.5418)  loss_vfl: 0.8226 (0.7997)  
loss_bbox: 0.1776 (0.1843)  loss_giou: 0.4882 (0.5379)  loss_vfl: 0.8223 (0.7971)  
loss_bbox: 0.1905 (0.1830)  loss_giou: 0.5452 (0.5380)  loss_vfl: 0.7308 (0.7953)  
loss_bbox: 0.1747 (0.1822)  loss_giou: 0.5110 (0.5366)  loss_vfl: 0.7885 (0.7932)  
loss_bbox: 0.1690 (0.1812)  loss_giou: 0.4980 (0.5357)  loss_vfl: 0.7671 (0.7925)  
loss_bbox: 0.1844 (0.1811)  loss_giou: 0.5261 (0.5351)  loss_vfl: 0.7630 (0.7900)  
loss_bbox: 0.1652 (0.1798)  loss_giou: 0.4714 (0.5338)  loss_vfl: 0.7739 (0.7883)  
loss_bbox: 0.2030 (0.1801)  loss_giou: 0.5315 (0.5299)  loss_vfl: 0.7717 (0.7880)  
loss_bbox: 0.1796 (0.1795)  loss_giou: 0.5066 (0.5308)  loss_vfl: 0.7633 (0.7867)  
loss_bbox: 0.1798 (0.1785)  loss_giou: 0.5379 (0.5297)  loss_vfl: 0.7723 (0.7847)  
loss_bbox: 0.1752 (0.1783)  loss_giou: 0.5222 (0.5300)  loss_vfl: 0.7975 (0.7833)  
loss_bbox: 0.1677 (0.1784)  loss_giou: 0.4554 (0.5276)  loss_vfl: 0.7638 (0.7827)  
loss_bbox: 0.1750 (0.1770)  loss_giou: 0.4930 (0.5274)  loss_vfl: 0.7915 (0.7804)  
loss_bbox: 0.1827 (0.1766)  loss_giou: 0.4982 (0.5260)  loss_vfl: 0.7717 (0.7776)  
loss_bbox: 0.1603 (0.1762)  loss_giou: 0.5126 (0.5238)  loss_vfl: 0.7644 (0.7778)  
loss_bbox: 0.1606 (0.1764)  loss_giou: 0.5094 (0.5248)  loss_vfl: 0.7573 (0.7744)  
loss_bbox: 0.1546 (0.1750)  loss_giou: 0.4998 (0.5256)  loss_vfl: 0.7363 (0.7743)  
loss_bbox: 0.1615 (0.1752)  loss_giou: 0.5279 (0.5222)  loss_vfl: 0.7610 (0.7721)  
loss_bbox: 0.1738 (0.1746)  loss_giou: 0.5598 (0.5214)  loss_vfl: 0.7397 (0.7735)  
loss_bbox: 0.1608 (0.1741)  loss_giou: 0.5118 (0.5212)  loss_vfl: 0.7483 (0.7718)  
loss_bbox: 0.1807 (0.1739)  loss_giou: 0.5038 (0.5206)  loss_vfl: 0.7111 (0.7700)  
loss_bbox: 0.1766 (0.1733)  loss_giou: 0.4570 (0.5194)  loss_vfl: 0.7482 (0.7694)  
loss_bbox: 0.1647 (0.1735)  loss_giou: 0.4955 (0.5180)  loss_vfl: 0.7638 (0.7679)  
loss_bbox: 0.1570 (0.1727)  loss_giou: 0.4751 (0.5181)  loss_vfl: 0.7507 (0.7663)  
loss_bbox: 0.1627 (0.1726)  loss_giou: 0.4681 (0.5176)  loss_vfl: 0.7597 (0.7649)  
loss_bbox: 0.1776 (0.1721)  loss_giou: 0.4811 (0.5174)  loss_vfl: 0.7633 (0.7636)  
loss_bbox: 0.1735 (0.1721)  loss_giou: 0.4792 (0.5149)  loss_vfl: 0.7572 (0.7637)  
loss_bbox: 0.1705 (0.1714)  loss_giou: 0.4848 (0.5143)  loss_vfl: 0.7552 (0.7632)  
loss_bbox: 0.1634 (0.1710)  loss_giou: 0.5211 (0.5144)  loss_vfl: 0.7272 (0.7607)  
loss_bbox: 0.1633 (0.1704)  loss_giou: 0.5048 (0.5127)  loss_vfl: 0.7750 (0.7602)  
loss_bbox: 0.1818 (0.1705)  loss_giou: 0.5015 (0.5122)  loss_vfl: 0.7538 (0.7583)  
loss_bbox: 0.1541 (0.1703)  loss_giou: 0.4714 (0.5119)  loss_vfl: 0.7518 (0.7600)  
loss_bbox: 0.1649 (0.1696)  loss_giou: 0.4627 (0.5123)  loss_vfl: 0.7592 (0.7582)  
loss_bbox: 0.1764 (0.1690)  loss_giou: 0.4895 (0.5103)  loss_vfl: 0.7481 (0.7577)  
loss_bbox: 0.1748 (0.1687)  loss_giou: 0.4918 (0.5114)  loss_vfl: 0.6902 (0.7558)  
loss_bbox: 0.1582 (0.1689)  loss_giou: 0.5257 (0.5093)  loss_vfl: 0.7298 (0.7557)  
loss_bbox: 0.1657 (0.1687)  loss_giou: 0.4713 (0.5062)  loss_vfl: 0.7873 (0.7555)  
loss_bbox: 0.1539 (0.1685)  loss_giou: 0.5019 (0.5077)  loss_vfl: 0.7466 (0.7545)  
loss_bbox: 0.1542 (0.1689)  loss_giou: 0.4420 (0.5072)  loss_vfl: 0.7376 (0.7523)  
loss_bbox: 0.1527 (0.1679)  loss_giou: 0.5106 (0.5069)  loss_vfl: 0.7410 (0.7517)  
loss_bbox: 0.1644 (0.1681)  loss_giou: 0.4596 (0.5060)  loss_vfl: 0.7878 (0.7507)  
loss_bbox: 0.1596 (0.1674)  loss_giou: 0.4910 (0.5061)  loss_vfl: 0.7369 (0.7500)  
loss_bbox: 0.1583 (0.1667)  loss_giou: 0.5165 (0.5056)  loss_vfl: 0.7180 (0.7494)  
