loss_bbox: 0.2808 (0.4365)  loss_giou: 0.7532 (0.9041)  loss_vfl: 1.0710 (1.0973)
loss_bbox: 0.2256 (0.2650)  loss_giou: 0.6683 (0.6985)  loss_vfl: 1.0508 (1.0595)
loss_bbox: 0.2372 (0.2451)  loss_giou: 0.6180 (0.6597)  loss_vfl: 0.9790 (0.9995)
loss_bbox: 0.2428 (0.2327)  loss_giou: 0.5991 (0.6366)  loss_vfl: 0.9631 (0.9639)
loss_bbox: 0.2157 (0.2255)  loss_giou: 0.6190 (0.6220)  loss_vfl: 0.8838 (0.9373)
loss_bbox: 0.2055 (0.2187)  loss_giou: 0.5914 (0.6105)  loss_vfl: 0.8633 (0.9174)
loss_bbox: 0.2220 (0.2146)  loss_giou: 0.5433 (0.5999)  loss_vfl: 0.9414 (0.9052)
loss_bbox: 0.2024 (0.2098)  loss_giou: 0.5891 (0.5930)  loss_vfl: 0.8831 (0.8938)
loss_bbox: 0.1919 (0.2067)  loss_giou: 0.6007 (0.5842)  loss_vfl: 0.8816 (0.8856)
loss_bbox: 0.1895 (0.2033)  loss_giou: 0.5273 (0.5800)  loss_vfl: 0.8579 (0.8761)
loss_bbox: 0.1867 (0.2015)  loss_giou: 0.5300 (0.5756)  loss_vfl: 0.8223 (0.8677)
loss_bbox: 0.1716 (0.1991)  loss_giou: 0.5609 (0.5705)  loss_vfl: 0.8340 (0.8611)
loss_bbox: 0.1759 (0.1973)  loss_giou: 0.5609 (0.5651)  loss_vfl: 0.8186 (0.8561)
loss_bbox: 0.2214 (0.1940)  loss_giou: 0.5614 (0.5612)  loss_vfl: 0.8525 (0.8520)
loss_bbox: 0.1786 (0.1934)  loss_giou: 0.4986 (0.5568)  loss_vfl: 0.8503 (0.8467)
loss_bbox: 0.1781 (0.1919)  loss_giou: 0.5294 (0.5564)  loss_vfl: 0.8762 (0.8412)
loss_bbox: 0.1877 (0.1895)  loss_giou: 0.6011 (0.5526)  loss_vfl: 0.7742 (0.8372)
